date,ADA/USDT
2025-01-09 00:00:00+00:00,0.9045
2025-01-10 00:00:00+00:00,0.9303
2025-01-11 00:00:00+00:00,0.9955
2025-01-12 00:00:00+00:00,0.9677
2025-01-13 00:00:00+00:00,0.9444
2025-01-14 00:00:00+00:00,0.9972
2025-01-15 00:00:00+00:00,1.0755
2025-01-16 00:00:00+00:00,1.0892
2025-01-17 00:00:00+00:00,1.133
2025-01-18 00:00:00+00:00,1.1045
2025-01-19 00:00:00+00:00,0.993
2025-01-20 00:00:00+00:00,1.0094
2025-01-21 00:00:00+00:00,1.0058
2025-01-22 00:00:00+00:00,0.9827
2025-01-23 00:00:00+00:00,0.9867
2025-01-24 00:00:00+00:00,0.9712
2025-01-25 00:00:00+00:00,0.9766
2025-01-26 00:00:00+00:00,0.953
2025-01-27 00:00:00+00:00,0.9345
2025-01-28 00:00:00+00:00,0.9169
2025-01-29 00:00:00+00:00,0.9399
2025-01-30 00:00:00+00:00,0.9595
2025-01-31 00:00:00+00:00,0.9429
2025-02-01 00:00:00+00:00,0.8948
2025-02-02 00:00:00+00:00,0.8052
2025-02-03 00:00:00+00:00,0.812
2025-02-04 00:00:00+00:00,0.7439
2025-02-05 00:00:00+00:00,0.7325
2025-02-06 00:00:00+00:00,0.7052
2025-02-07 00:00:00+00:00,0.7072
2025-02-08 00:00:00+00:00,0.7005
2025-02-09 00:00:00+00:00,0.6814
2025-02-10 00:00:00+00:00,0.7121
2025-02-11 00:00:00+00:00,0.7781
2025-02-12 00:00:00+00:00,0.7997
2025-02-13 00:00:00+00:00,0.8107
2025-02-14 00:00:00+00:00,0.7998
2025-02-15 00:00:00+00:00,0.7811
2025-02-16 00:00:00+00:00,0.7714
2025-02-17 00:00:00+00:00,0.8089
2025-02-18 00:00:00+00:00,0.7541
2025-02-19 00:00:00+00:00,0.7738
2025-02-20 00:00:00+00:00,0.8036
2025-02-21 00:00:00+00:00,0.7621
2025-02-22 00:00:00+00:00,0.7734
2025-02-23 00:00:00+00:00,0.7697
2025-02-24 00:00:00+00:00,0.6816
2025-02-25 00:00:00+00:00,0.6832
2025-02-26 00:00:00+00:00,0.6474
2025-02-27 00:00:00+00:00,0.6451
2025-02-28 00:00:00+00:00,0.6328
2025-03-01 00:00:00+00:00,0.6593
2025-03-02 00:00:00+00:00,1.135
2025-03-03 00:00:00+00:00,0.8578
2025-03-04 00:00:00+00:00,0.9409
2025-03-05 00:00:00+00:00,0.9741
2025-03-06 00:00:00+00:00,0.9065
2025-03-07 00:00:00+00:00,0.8181
2025-03-08 00:00:00+00:00,0.8052
2025-03-09 00:00:00+00:00,0.7215
2025-03-10 00:00:00+00:00,0.6712
2025-03-11 00:00:00+00:00,0.7241
2025-03-12 00:00:00+00:00,0.736
2025-03-13 00:00:00+00:00,0.703
2025-03-14 00:00:00+00:00,0.7373
2025-03-15 00:00:00+00:00,0.7468
2025-03-16 00:00:00+00:00,0.7049
2025-03-17 00:00:00+00:00,0.7175
2025-03-18 00:00:00+00:00,0.7017
2025-03-19 00:00:00+00:00,0.7436
2025-03-20 00:00:00+00:00,0.718
2025-03-21 00:00:00+00:00,0.705
2025-03-22 00:00:00+00:00,0.7014
2025-03-23 00:00:00+00:00,0.7107
2025-03-24 00:00:00+00:00,0.732
2025-03-25 00:00:00+00:00,0.7448
2025-03-26 00:00:00+00:00,0.7287
2025-03-27 00:00:00+00:00,0.7381
2025-03-28 00:00:00+00:00,0.7062
2025-03-29 00:00:00+00:00,0.6732
2025-03-30 00:00:00+00:00,0.6612
2025-03-31 00:00:00+00:00,0.6618
2025-04-01 00:00:00+00:00,0.677
2025-04-02 00:00:00+00:00,0.64
2025-04-03 00:00:00+00:00,0.6508
2025-04-04 00:00:00+00:00,0.6603
2025-04-05 00:00:00+00:00,0.6547
2025-04-06 00:00:00+00:00,0.5737
2025-04-07 00:00:00+00:00,0.5864
2025-04-08 00:00:00+00:00,0.5583
2025-04-09 00:00:00+00:00,0.6315
2025-04-10 00:00:00+00:00,0.6094
2025-04-11 00:00:00+00:00,0.6239
2025-04-12 00:00:00+00:00,0.6595
2025-04-13 00:00:00+00:00,0.6383
2025-04-14 00:00:00+00:00,0.6353
2025-04-15 00:00:00+00:00,0.6091
2025-04-16 00:00:00+00:00,0.6105
2025-04-17 00:00:00+00:00,0.6167
2025-04-18 00:00:00+00:00,0.6275
2025-04-19 00:00:00+00:00,0.6282
2025-04-20 00:00:00+00:00,0.6202
2025-04-21 00:00:00+00:00,0.6242
2025-04-22 00:00:00+00:00,0.6794
2025-04-23 00:00:00+00:00,0.6977
2025-04-24 00:00:00+00:00,0.7219
2025-04-25 00:00:00+00:00,0.7135
2025-04-26 00:00:00+00:00,0.707
2025-04-27 00:00:00+00:00,0.7032
2025-04-28 00:00:00+00:00,0.7056
2025-04-29 00:00:00+00:00,0.6958
2025-04-30 00:00:00+00:00,0.6816
2025-05-01 00:00:00+00:00,0.705
2025-05-02 00:00:00+00:00,0.6981
2025-05-03 00:00:00+00:00,0.6995
2025-05-04 00:00:00+00:00,0.6762
2025-05-05 00:00:00+00:00,0.6622
2025-05-06 00:00:00+00:00,0.6789
2025-05-07 00:00:00+00:00,0.6715
2025-05-08 00:00:00+00:00,0.7693
2025-05-09 00:00:00+00:00,0.7774
2025-05-10 00:00:00+00:00,0.8406
2025-05-11 00:00:00+00:00,0.8053
2025-05-12 00:00:00+00:00,0.817
2025-05-13 00:00:00+00:00,0.8299
2025-05-14 00:00:00+00:00,0.7986
2025-05-15 00:00:00+00:00,0.7624
2025-05-16 00:00:00+00:00,0.7588
2025-05-17 00:00:00+00:00,0.7427
2025-05-18 00:00:00+00:00,0.7596
2025-05-19 00:00:00+00:00,0.7425
2025-05-20 00:00:00+00:00,0.746
2025-05-21 00:00:00+00:00,0.7693
2025-05-22 00:00:00+00:00,0.8093
2025-05-23 00:00:00+00:00,0.7471
2025-05-24 00:00:00+00:00,0.7467
2025-05-25 00:00:00+00:00,0.7598
2025-05-26 00:00:00+00:00,0.7604
2025-05-27 00:00:00+00:00,0.7583
2025-05-28 00:00:00+00:00,0.7476
2025-05-29 00:00:00+00:00,0.7221
2025-05-30 00:00:00+00:00,0.6889
2025-05-31 00:00:00+00:00,0.6858
2025-06-01 00:00:00+00:00,0.6855
2025-06-02 00:00:00+00:00,0.6896
2025-06-03 00:00:00+00:00,0.6837
2025-06-04 00:00:00+00:00,0.6654
2025-06-05 00:00:00+00:00,0.6256
2025-06-06 00:00:00+00:00,0.6554
2025-06-07 00:00:00+00:00,0.6645
2025-06-08 00:00:00+00:00,0.6703
2025-06-09 00:00:00+00:00,0.7049
2025-06-10 00:00:00+00:00,0.7167
2025-06-11 00:00:00+00:00,0.698
2025-06-12 00:00:00+00:00,0.6613
2025-06-13 00:00:00+00:00,0.642
2025-06-14 00:00:00+00:00,0.6247
2025-06-15 00:00:00+00:00,0.6334
2025-06-16 00:00:00+00:00,0.6303
2025-06-17 00:00:00+00:00,0.609
2025-06-18 00:00:00+00:00,0.6039
2025-06-19 00:00:00+00:00,0.602
2025-06-20 00:00:00+00:00,0.5774
2025-06-21 00:00:00+00:00,0.5561
2025-06-22 00:00:00+00:00,0.5419
2025-06-23 00:00:00+00:00,0.5823
2025-06-24 00:00:00+00:00,0.5875
2025-06-25 00:00:00+00:00,0.5671
2025-06-26 00:00:00+00:00,0.5543
2025-06-27 00:00:00+00:00,0.5587
2025-06-28 00:00:00+00:00,0.5654
2025-06-29 00:00:00+00:00,0.5773
2025-06-30 00:00:00+00:00,0.5722
2025-07-01 00:00:00+00:00,0.542
2025-07-02 00:00:00+00:00,0.584
2025-07-03 00:00:00+00:00,0.5992
2025-07-04 00:00:00+00:00,0.5724
2025-07-05 00:00:00+00:00,0.5755
2025-07-06 00:00:00+00:00,0.5858
2025-07-07 00:00:00+00:00,0.5805
2025-07-08 00:00:00+00:00,0.5884
2025-07-09 00:00:00+00:00,0.6227
2025-07-10 00:00:00+00:00,0.6775
2025-07-11 00:00:00+00:00,0.7094
2025-07-12 00:00:00+00:00,0.7089
2025-07-13 00:00:00+00:00,0.7367
2025-07-14 00:00:00+00:00,0.7352
2025-07-15 00:00:00+00:00,0.7466
2025-07-16 00:00:00+00:00,0.7644
2025-07-17 00:00:00+00:00,0.8216
2025-07-18 00:00:00+00:00,0.8158
2025-07-19 00:00:00+00:00,0.8298
2025-07-20 00:00:00+00:00,0.858
2025-07-21 00:00:00+00:00,0.8891
2025-07-22 00:00:00+00:00,0.9034
2025-07-23 00:00:00+00:00,0.816
2025-07-24 00:00:00+00:00,0.806
2025-07-25 00:00:00+00:00,0.8158
2025-07-26 00:00:00+00:00,0.8198
2025-07-27 00:00:00+00:00,0.832
2025-07-28 00:00:00+00:00,0.7932
2025-07-29 00:00:00+00:00,0.7828
2025-07-30 00:00:00+00:00,0.7634
2025-07-31 00:00:00+00:00,0.7392
2025-08-01 00:00:00+00:00,0.7141
2025-08-02 00:00:00+00:00,0.6975
2025-08-03 00:00:00+00:00,0.727
2025-08-04 00:00:00+00:00,0.7549
2025-08-05 00:00:00+00:00,0.7258
2025-08-06 00:00:00+00:00,0.7413
2025-08-07 00:00:00+00:00,0.7874
2025-08-08 00:00:00+00:00,0.7911
2025-08-09 00:00:00+00:00,0.8029
2025-08-10 00:00:00+00:00,0.8014
