date,APT/USDT
2024-11-03 00:00:00+00:00,8.19
2024-11-04 00:00:00+00:00,8.06
2024-11-05 00:00:00+00:00,8.46
2024-11-06 00:00:00+00:00,9.57
2024-11-07 00:00:00+00:00,9.82
2024-11-08 00:00:00+00:00,9.72
2024-11-09 00:00:00+00:00,10.44
2024-11-10 00:00:00+00:00,10.9
2024-11-11 00:00:00+00:00,13.72
2024-11-12 00:00:00+00:00,12.36
2024-11-13 00:00:00+00:00,11.72
2024-11-14 00:00:00+00:00,11.24
2024-11-15 00:00:00+00:00,11.88
2024-11-16 00:00:00+00:00,12.31
2024-11-17 00:00:00+00:00,11.79
2024-11-18 00:00:00+00:00,12.05
2024-11-19 00:00:00+00:00,11.81
2024-11-20 00:00:00+00:00,11.78
2024-11-21 00:00:00+00:00,12.07
2024-11-22 00:00:00+00:00,12.48
2024-11-23 00:00:00+00:00,12.74
2024-11-24 00:00:00+00:00,12.52
2024-11-25 00:00:00+00:00,11.82
2024-11-26 00:00:00+00:00,12.0
2024-11-27 00:00:00+00:00,12.65
2024-11-28 00:00:00+00:00,12.77
2024-11-29 00:00:00+00:00,13.28
2024-11-30 00:00:00+00:00,13.39
2024-12-01 00:00:00+00:00,13.44
2024-12-02 00:00:00+00:00,13.73
2024-12-03 00:00:00+00:00,14.51
2024-12-04 00:00:00+00:00,14.14
2024-12-05 00:00:00+00:00,13.63
2024-12-06 00:00:00+00:00,14.67
2024-12-07 00:00:00+00:00,14.58
2024-12-08 00:00:00+00:00,14.5
2024-12-09 00:00:00+00:00,11.95
2024-12-10 00:00:00+00:00,11.63
2024-12-11 00:00:00+00:00,12.87
2024-12-12 00:00:00+00:00,13.67
2024-12-13 00:00:00+00:00,14.21
2024-12-14 00:00:00+00:00,13.42
2024-12-15 00:00:00+00:00,13.65
2024-12-16 00:00:00+00:00,13.93
2024-12-17 00:00:00+00:00,12.94
2024-12-18 00:00:00+00:00,11.83
2024-12-19 00:00:00+00:00,11.38
2024-12-20 00:00:00+00:00,10.86
2024-12-21 00:00:00+00:00,9.53
2024-12-22 00:00:00+00:00,9.23
2024-12-23 00:00:00+00:00,9.7
2024-12-24 00:00:00+00:00,9.82
2024-12-25 00:00:00+00:00,9.56
2024-12-26 00:00:00+00:00,8.81
2024-12-27 00:00:00+00:00,8.73
2024-12-28 00:00:00+00:00,9.19
2024-12-29 00:00:00+00:00,8.88
2024-12-30 00:00:00+00:00,8.88
2024-12-31 00:00:00+00:00,8.71
2025-01-01 00:00:00+00:00,9.02
2025-01-02 00:00:00+00:00,9.3
2025-01-03 00:00:00+00:00,9.81
2025-01-04 00:00:00+00:00,10.0
2025-01-05 00:00:00+00:00,10.09
2025-01-06 00:00:00+00:00,10.17
2025-01-07 00:00:00+00:00,9.66
2025-01-08 00:00:00+00:00,9.02
2025-01-09 00:00:00+00:00,8.65
2025-01-10 00:00:00+00:00,9.13
2025-01-11 00:00:00+00:00,9.12
2025-01-12 00:00:00+00:00,8.83
2025-01-13 00:00:00+00:00,8.48
2025-01-14 00:00:00+00:00,9.01
2025-01-15 00:00:00+00:00,9.46
2025-01-16 00:00:00+00:00,9.24
2025-01-17 00:00:00+00:00,9.75
2025-01-18 00:00:00+00:00,9.33
2025-01-19 00:00:00+00:00,8.5
2025-01-20 00:00:00+00:00,8.55
2025-01-21 00:00:00+00:00,8.74
2025-01-22 00:00:00+00:00,8.5
2025-01-23 00:00:00+00:00,8.33
2025-01-24 00:00:00+00:00,8.21
2025-01-25 00:00:00+00:00,8.1
2025-01-26 00:00:00+00:00,7.83
2025-01-27 00:00:00+00:00,7.62
2025-01-28 00:00:00+00:00,7.22
2025-01-29 00:00:00+00:00,7.43
2025-01-30 00:00:00+00:00,7.84
2025-01-31 00:00:00+00:00,7.8
2025-02-01 00:00:00+00:00,7.05
2025-02-02 00:00:00+00:00,6.16
2025-02-03 00:00:00+00:00,6.5
2025-02-04 00:00:00+00:00,6.08
2025-02-05 00:00:00+00:00,5.97
2025-02-06 00:00:00+00:00,5.73
2025-02-07 00:00:00+00:00,5.72
2025-02-08 00:00:00+00:00,5.84
2025-02-09 00:00:00+00:00,5.91
2025-02-10 00:00:00+00:00,6.2
2025-02-11 00:00:00+00:00,5.88
2025-02-12 00:00:00+00:00,6.15
2025-02-13 00:00:00+00:00,6.14
2025-02-14 00:00:00+00:00,6.1
2025-02-15 00:00:00+00:00,6.0
2025-02-16 00:00:00+00:00,5.81
2025-02-17 00:00:00+00:00,5.93
