date,AXS/USDT
2025-03-17 00:00:00+00:00,3.43
2025-03-18 00:00:00+00:00,3.371
2025-03-19 00:00:00+00:00,3.473
2025-03-20 00:00:00+00:00,3.406
2025-03-21 00:00:00+00:00,3.315
2025-03-22 00:00:00+00:00,3.41
2025-03-23 00:00:00+00:00,3.355
2025-03-24 00:00:00+00:00,3.514
2025-03-25 00:00:00+00:00,3.587
2025-03-26 00:00:00+00:00,3.45
2025-03-27 00:00:00+00:00,3.389
2025-03-28 00:00:00+00:00,3.128
2025-03-29 00:00:00+00:00,2.909
2025-03-30 00:00:00+00:00,2.916
2025-03-31 00:00:00+00:00,2.928
2025-04-01 00:00:00+00:00,2.973
2025-04-02 00:00:00+00:00,2.699
2025-04-03 00:00:00+00:00,2.719
2025-04-04 00:00:00+00:00,2.758
2025-04-05 00:00:00+00:00,2.724
2025-04-06 00:00:00+00:00,2.462
2025-04-07 00:00:00+00:00,2.395
2025-04-08 00:00:00+00:00,2.203
2025-04-09 00:00:00+00:00,2.412
2025-04-10 00:00:00+00:00,2.344
2025-04-11 00:00:00+00:00,2.403
2025-04-12 00:00:00+00:00,2.436
2025-04-13 00:00:00+00:00,2.261
2025-04-14 00:00:00+00:00,2.231
2025-04-15 00:00:00+00:00,2.172
2025-04-16 00:00:00+00:00,2.155
2025-04-17 00:00:00+00:00,2.218
2025-04-18 00:00:00+00:00,2.247
2025-04-19 00:00:00+00:00,2.312
2025-04-20 00:00:00+00:00,2.309
2025-04-21 00:00:00+00:00,2.279
2025-04-22 00:00:00+00:00,2.465
2025-04-23 00:00:00+00:00,2.515
2025-04-24 00:00:00+00:00,2.593
2025-04-25 00:00:00+00:00,2.621
2025-04-26 00:00:00+00:00,2.646
2025-04-27 00:00:00+00:00,2.489
2025-04-28 00:00:00+00:00,2.586
2025-04-29 00:00:00+00:00,2.489
2025-04-30 00:00:00+00:00,2.496
2025-05-01 00:00:00+00:00,2.611
2025-05-02 00:00:00+00:00,2.605
2025-05-03 00:00:00+00:00,2.452
2025-05-04 00:00:00+00:00,2.34
2025-05-05 00:00:00+00:00,2.324
2025-05-06 00:00:00+00:00,2.3
2025-05-07 00:00:00+00:00,2.352
2025-05-08 00:00:00+00:00,2.74
2025-05-09 00:00:00+00:00,2.875
2025-05-10 00:00:00+00:00,3.188
2025-05-11 00:00:00+00:00,3.131
2025-05-12 00:00:00+00:00,3.139
2025-05-13 00:00:00+00:00,3.263
2025-05-14 00:00:00+00:00,3.423
2025-05-15 00:00:00+00:00,3.052
2025-05-16 00:00:00+00:00,3.019
2025-05-17 00:00:00+00:00,2.915
2025-05-18 00:00:00+00:00,3.05
2025-05-19 00:00:00+00:00,2.999
2025-05-20 00:00:00+00:00,3.0
2025-05-21 00:00:00+00:00,2.994
2025-05-22 00:00:00+00:00,3.16
2025-05-23 00:00:00+00:00,2.848
2025-05-24 00:00:00+00:00,2.844
2025-05-25 00:00:00+00:00,2.845
2025-05-26 00:00:00+00:00,2.813
2025-05-27 00:00:00+00:00,2.873
2025-05-28 00:00:00+00:00,2.88
2025-05-29 00:00:00+00:00,2.813
2025-05-30 00:00:00+00:00,2.485
2025-05-31 00:00:00+00:00,2.533
2025-06-01 00:00:00+00:00,2.564
2025-06-02 00:00:00+00:00,2.601
2025-06-03 00:00:00+00:00,2.577
2025-06-04 00:00:00+00:00,2.462
2025-06-05 00:00:00+00:00,2.321
2025-06-06 00:00:00+00:00,2.375
2025-06-07 00:00:00+00:00,2.452
2025-06-08 00:00:00+00:00,2.402
2025-06-09 00:00:00+00:00,2.553
2025-06-10 00:00:00+00:00,2.691
2025-06-11 00:00:00+00:00,2.58
2025-06-12 00:00:00+00:00,2.427
2025-06-13 00:00:00+00:00,2.339
2025-06-14 00:00:00+00:00,2.325
2025-06-15 00:00:00+00:00,2.315
2025-06-16 00:00:00+00:00,2.355
2025-06-17 00:00:00+00:00,2.263
2025-06-18 00:00:00+00:00,2.266
2025-06-19 00:00:00+00:00,2.242
2025-06-20 00:00:00+00:00,2.195
2025-06-21 00:00:00+00:00,2.102
2025-06-22 00:00:00+00:00,2.041
2025-06-23 00:00:00+00:00,2.256
2025-06-24 00:00:00+00:00,2.287
2025-06-25 00:00:00+00:00,2.228
2025-06-26 00:00:00+00:00,2.164
2025-06-27 00:00:00+00:00,2.178
2025-06-28 00:00:00+00:00,2.209
2025-06-29 00:00:00+00:00,2.338
2025-06-30 00:00:00+00:00,2.258
2025-07-01 00:00:00+00:00,2.129
