date,BERA/USDT
2025-02-06 00:00:00+00:00,8.717
2025-02-07 00:00:00+00:00,7.7
2025-02-08 00:00:00+00:00,6.053
2025-02-09 00:00:00+00:00,5.187
2025-02-10 00:00:00+00:00,5.282
2025-02-11 00:00:00+00:00,5.81
2025-02-12 00:00:00+00:00,5.885
2025-02-13 00:00:00+00:00,5.598
2025-02-14 00:00:00+00:00,5.904
2025-02-15 00:00:00+00:00,5.657
2025-02-16 00:00:00+00:00,5.611
2025-02-17 00:00:00+00:00,6.141
2025-02-18 00:00:00+00:00,6.247
2025-02-19 00:00:00+00:00,6.61
2025-02-20 00:00:00+00:00,8.807
2025-02-21 00:00:00+00:00,7.493
2025-02-22 00:00:00+00:00,7.503
2025-02-23 00:00:00+00:00,6.913
2025-02-24 00:00:00+00:00,6.79
2025-02-25 00:00:00+00:00,6.778
2025-02-26 00:00:00+00:00,7.404
2025-02-27 00:00:00+00:00,8.111
2025-02-28 00:00:00+00:00,8.679
2025-03-01 00:00:00+00:00,8.267
2025-03-02 00:00:00+00:00,8.546
2025-03-03 00:00:00+00:00,6.815
2025-03-04 00:00:00+00:00,6.62
2025-03-05 00:00:00+00:00,6.936
2025-03-06 00:00:00+00:00,6.768
2025-03-07 00:00:00+00:00,6.629
2025-03-08 00:00:00+00:00,6.77
2025-03-09 00:00:00+00:00,5.78
2025-03-10 00:00:00+00:00,5.583
2025-03-11 00:00:00+00:00,5.876
2025-03-12 00:00:00+00:00,6.257
2025-03-13 00:00:00+00:00,5.918
2025-03-14 00:00:00+00:00,6.13
2025-03-15 00:00:00+00:00,6.478
2025-03-16 00:00:00+00:00,6.357
2025-03-17 00:00:00+00:00,6.62
2025-03-18 00:00:00+00:00,5.927
2025-03-19 00:00:00+00:00,6.157
2025-03-20 00:00:00+00:00,6.065
2025-03-21 00:00:00+00:00,6.717
2025-03-22 00:00:00+00:00,6.78
2025-03-23 00:00:00+00:00,6.747
2025-03-24 00:00:00+00:00,7.97
2025-03-25 00:00:00+00:00,8.061
2025-03-26 00:00:00+00:00,7.725
2025-03-27 00:00:00+00:00,8.568
2025-03-28 00:00:00+00:00,8.526
2025-03-29 00:00:00+00:00,7.41
2025-03-30 00:00:00+00:00,7.243
2025-03-31 00:00:00+00:00,6.873
2025-04-01 00:00:00+00:00,7.188
2025-04-02 00:00:00+00:00,6.528
2025-04-03 00:00:00+00:00,6.156
2025-04-04 00:00:00+00:00,5.828
2025-04-05 00:00:00+00:00,5.829
2025-04-06 00:00:00+00:00,4.698
2025-04-07 00:00:00+00:00,4.34
2025-04-08 00:00:00+00:00,3.612
2025-04-09 00:00:00+00:00,4.161
2025-04-10 00:00:00+00:00,3.869
2025-04-11 00:00:00+00:00,4.126
2025-04-12 00:00:00+00:00,4.235
2025-04-13 00:00:00+00:00,3.9
2025-04-14 00:00:00+00:00,3.999
2025-04-15 00:00:00+00:00,3.902
2025-04-16 00:00:00+00:00,3.663
2025-04-17 00:00:00+00:00,3.528
2025-04-18 00:00:00+00:00,3.294
2025-04-19 00:00:00+00:00,3.369
2025-04-20 00:00:00+00:00,3.319
2025-04-21 00:00:00+00:00,3.44
2025-04-22 00:00:00+00:00,3.671
2025-04-23 00:00:00+00:00,3.63
2025-04-24 00:00:00+00:00,3.608
2025-04-25 00:00:00+00:00,3.757
2025-04-26 00:00:00+00:00,3.757
2025-04-27 00:00:00+00:00,3.643
2025-04-28 00:00:00+00:00,3.678
2025-04-29 00:00:00+00:00,3.71
2025-04-30 00:00:00+00:00,3.548
2025-05-01 00:00:00+00:00,3.499
2025-05-02 00:00:00+00:00,3.407
2025-05-03 00:00:00+00:00,3.139
2025-05-04 00:00:00+00:00,2.902
2025-05-05 00:00:00+00:00,2.946
2025-05-06 00:00:00+00:00,2.908
2025-05-07 00:00:00+00:00,3.004
2025-05-08 00:00:00+00:00,3.565
2025-05-09 00:00:00+00:00,3.854
2025-05-10 00:00:00+00:00,4.388
2025-05-11 00:00:00+00:00,4.328
2025-05-12 00:00:00+00:00,3.998
2025-05-13 00:00:00+00:00,4.083
2025-05-14 00:00:00+00:00,3.829
2025-05-15 00:00:00+00:00,3.46
2025-05-16 00:00:00+00:00,3.251
2025-05-17 00:00:00+00:00,3.082
2025-05-18 00:00:00+00:00,3.247
2025-05-19 00:00:00+00:00,3.124
2025-05-20 00:00:00+00:00,3.133
2025-05-21 00:00:00+00:00,3.161
2025-05-22 00:00:00+00:00,3.281
2025-05-23 00:00:00+00:00,3.02
2025-05-24 00:00:00+00:00,3.022
2025-05-25 00:00:00+00:00,2.932
2025-05-26 00:00:00+00:00,2.827
2025-05-27 00:00:00+00:00,2.894
2025-05-28 00:00:00+00:00,2.879
2025-05-29 00:00:00+00:00,2.756
2025-05-30 00:00:00+00:00,2.257
2025-05-31 00:00:00+00:00,2.319
2025-06-01 00:00:00+00:00,2.499
