date,DASH/USDT
2025-01-09 00:00:00+00:00,36.85
2025-01-10 00:00:00+00:00,37.56
2025-01-11 00:00:00+00:00,37.29
2025-01-12 00:00:00+00:00,36.84
2025-01-13 00:00:00+00:00,35.41
2025-01-14 00:00:00+00:00,37.75
2025-01-15 00:00:00+00:00,40.1
2025-01-16 00:00:00+00:00,39.49
2025-01-17 00:00:00+00:00,43.56
2025-01-18 00:00:00+00:00,40.0
2025-01-19 00:00:00+00:00,35.72
2025-01-20 00:00:00+00:00,36.3
2025-01-21 00:00:00+00:00,36.86
2025-01-22 00:00:00+00:00,35.83
2025-01-23 00:00:00+00:00,35.5
2025-01-24 00:00:00+00:00,34.99
2025-01-25 00:00:00+00:00,35.22
2025-01-26 00:00:00+00:00,33.81
2025-01-27 00:00:00+00:00,33.2
2025-01-28 00:00:00+00:00,31.02
2025-01-29 00:00:00+00:00,32.09
2025-01-30 00:00:00+00:00,34.1
2025-01-31 00:00:00+00:00,33.91
2025-02-01 00:00:00+00:00,30.43
2025-02-02 00:00:00+00:00,26.89
2025-02-03 00:00:00+00:00,26.88
2025-02-04 00:00:00+00:00,25.68
2025-02-05 00:00:00+00:00,25.32
2025-02-06 00:00:00+00:00,24.56
2025-02-07 00:00:00+00:00,25.04
2025-02-08 00:00:00+00:00,25.77
2025-02-09 00:00:00+00:00,25.8
2025-02-10 00:00:00+00:00,27.08
2025-02-11 00:00:00+00:00,27.01
2025-02-12 00:00:00+00:00,27.92
2025-02-13 00:00:00+00:00,27.74
2025-02-14 00:00:00+00:00,27.95
2025-02-15 00:00:00+00:00,27.07
2025-02-16 00:00:00+00:00,26.77
2025-02-17 00:00:00+00:00,26.48
2025-02-18 00:00:00+00:00,25.78
2025-02-19 00:00:00+00:00,26.54
2025-02-20 00:00:00+00:00,27.66
2025-02-21 00:00:00+00:00,26.62
2025-02-22 00:00:00+00:00,27.36
2025-02-23 00:00:00+00:00,27.1
2025-02-24 00:00:00+00:00,24.13
2025-02-25 00:00:00+00:00,25.34
2025-02-26 00:00:00+00:00,26.39
2025-02-27 00:00:00+00:00,26.19
2025-02-28 00:00:00+00:00,25.92
2025-03-01 00:00:00+00:00,25.46
2025-03-02 00:00:00+00:00,27.34
2025-03-03 00:00:00+00:00,24.06
2025-03-04 00:00:00+00:00,24.18
2025-03-05 00:00:00+00:00,24.96
2025-03-06 00:00:00+00:00,24.41
2025-03-07 00:00:00+00:00,24.23
2025-03-08 00:00:00+00:00,24.08
2025-03-09 00:00:00+00:00,21.99
2025-03-10 00:00:00+00:00,20.99
2025-03-11 00:00:00+00:00,21.73
2025-03-12 00:00:00+00:00,22.17
2025-03-13 00:00:00+00:00,22.14
2025-03-14 00:00:00+00:00,22.62
2025-03-15 00:00:00+00:00,23.14
2025-03-16 00:00:00+00:00,22.67
2025-03-17 00:00:00+00:00,23.31
2025-03-18 00:00:00+00:00,24.12
2025-03-19 00:00:00+00:00,24.3
2025-03-20 00:00:00+00:00,23.67
2025-03-21 00:00:00+00:00,22.96
2025-03-22 00:00:00+00:00,23.34
2025-03-23 00:00:00+00:00,23.37
2025-03-24 00:00:00+00:00,23.95
2025-03-25 00:00:00+00:00,24.08
2025-03-26 00:00:00+00:00,24.02
2025-03-27 00:00:00+00:00,23.91
2025-03-28 00:00:00+00:00,22.88
2025-03-29 00:00:00+00:00,21.41
2025-03-30 00:00:00+00:00,22.03
2025-03-31 00:00:00+00:00,22.35
2025-04-01 00:00:00+00:00,22.6
2025-04-02 00:00:00+00:00,21.47
2025-04-03 00:00:00+00:00,21.63
2025-04-04 00:00:00+00:00,21.68
2025-04-05 00:00:00+00:00,21.45
2025-04-06 00:00:00+00:00,19.96
2025-04-07 00:00:00+00:00,19.69
2025-04-08 00:00:00+00:00,18.98
2025-04-09 00:00:00+00:00,20.77
2025-04-10 00:00:00+00:00,19.93
2025-04-11 00:00:00+00:00,20.52
2025-04-12 00:00:00+00:00,21.32
2025-04-13 00:00:00+00:00,20.61
2025-04-14 00:00:00+00:00,20.55
2025-04-15 00:00:00+00:00,20.25
2025-04-16 00:00:00+00:00,20.16
2025-04-17 00:00:00+00:00,20.4
2025-04-18 00:00:00+00:00,20.88
2025-04-19 00:00:00+00:00,21.07
2025-04-20 00:00:00+00:00,21.26
2025-04-21 00:00:00+00:00,20.97
2025-04-22 00:00:00+00:00,22.13
2025-04-23 00:00:00+00:00,22.41
2025-04-24 00:00:00+00:00,22.2
2025-04-25 00:00:00+00:00,22.37
2025-04-26 00:00:00+00:00,22.58
2025-04-27 00:00:00+00:00,21.35
2025-04-28 00:00:00+00:00,23.57
2025-04-29 00:00:00+00:00,23.12
2025-04-30 00:00:00+00:00,23.51
2025-05-01 00:00:00+00:00,23.15
2025-05-02 00:00:00+00:00,23.66
2025-05-03 00:00:00+00:00,22.5
2025-05-04 00:00:00+00:00,21.91
2025-05-05 00:00:00+00:00,21.78
2025-05-06 00:00:00+00:00,21.16
2025-05-07 00:00:00+00:00,21.42
2025-05-08 00:00:00+00:00,23.2
2025-05-09 00:00:00+00:00,23.95
2025-05-10 00:00:00+00:00,25.2
2025-05-11 00:00:00+00:00,24.58
2025-05-12 00:00:00+00:00,24.81
2025-05-13 00:00:00+00:00,25.7
2025-05-14 00:00:00+00:00,24.78
2025-05-15 00:00:00+00:00,23.7
2025-05-16 00:00:00+00:00,23.4
2025-05-17 00:00:00+00:00,22.88
2025-05-18 00:00:00+00:00,23.9
2025-05-19 00:00:00+00:00,23.42
2025-05-20 00:00:00+00:00,23.57
2025-05-21 00:00:00+00:00,24.0
2025-05-22 00:00:00+00:00,25.02
2025-05-23 00:00:00+00:00,23.36
2025-05-24 00:00:00+00:00,23.23
2025-05-25 00:00:00+00:00,23.68
2025-05-26 00:00:00+00:00,23.54
2025-05-27 00:00:00+00:00,23.98
2025-05-28 00:00:00+00:00,23.82
2025-05-29 00:00:00+00:00,23.2
2025-05-30 00:00:00+00:00,21.8
2025-05-31 00:00:00+00:00,21.89
2025-06-01 00:00:00+00:00,22.14
2025-06-02 00:00:00+00:00,22.33
2025-06-03 00:00:00+00:00,22.36
2025-06-04 00:00:00+00:00,21.52
2025-06-05 00:00:00+00:00,20.55
2025-06-06 00:00:00+00:00,21.27
2025-06-07 00:00:00+00:00,21.66
2025-06-08 00:00:00+00:00,21.5
2025-06-09 00:00:00+00:00,22.32
2025-06-10 00:00:00+00:00,22.69
2025-06-11 00:00:00+00:00,21.89
2025-06-12 00:00:00+00:00,20.71
2025-06-13 00:00:00+00:00,20.46
2025-06-14 00:00:00+00:00,20.2
2025-06-15 00:00:00+00:00,20.13
