date,DOT/USDT
2025-01-09 00:00:00+00:00,6.559
2025-01-10 00:00:00+00:00,6.732
2025-01-11 00:00:00+00:00,6.742
2025-01-12 00:00:00+00:00,6.632
2025-01-13 00:00:00+00:00,6.396
2025-01-14 00:00:00+00:00,6.665
2025-01-15 00:00:00+00:00,7.165
2025-01-16 00:00:00+00:00,7.15
2025-01-17 00:00:00+00:00,7.503
2025-01-18 00:00:00+00:00,7.043
2025-01-19 00:00:00+00:00,6.247
2025-01-20 00:00:00+00:00,6.381
2025-01-21 00:00:00+00:00,6.622
2025-01-22 00:00:00+00:00,6.447
2025-01-23 00:00:00+00:00,6.351
2025-01-24 00:00:00+00:00,6.32
2025-01-25 00:00:00+00:00,6.323
2025-01-26 00:00:00+00:00,6.177
2025-01-27 00:00:00+00:00,5.953
2025-01-28 00:00:00+00:00,5.649
2025-01-29 00:00:00+00:00,5.768
2025-01-30 00:00:00+00:00,6.125
2025-01-31 00:00:00+00:00,6.321
2025-02-01 00:00:00+00:00,5.905
2025-02-02 00:00:00+00:00,5.153
2025-02-03 00:00:00+00:00,5.176
2025-02-04 00:00:00+00:00,4.742
2025-02-05 00:00:00+00:00,4.689
2025-02-06 00:00:00+00:00,4.49
2025-02-07 00:00:00+00:00,4.593
2025-02-08 00:00:00+00:00,4.745
2025-02-09 00:00:00+00:00,4.762
2025-02-10 00:00:00+00:00,4.845
2025-02-11 00:00:00+00:00,4.809
2025-02-12 00:00:00+00:00,5.227
2025-02-13 00:00:00+00:00,5.131
2025-02-14 00:00:00+00:00,5.17
2025-02-15 00:00:00+00:00,5.022
2025-02-16 00:00:00+00:00,4.88
2025-02-17 00:00:00+00:00,4.89
2025-02-18 00:00:00+00:00,4.769
2025-02-19 00:00:00+00:00,4.886
2025-02-20 00:00:00+00:00,5.047
2025-02-21 00:00:00+00:00,5.061
2025-02-22 00:00:00+00:00,5.043
2025-02-23 00:00:00+00:00,4.953
2025-02-24 00:00:00+00:00,4.416
2025-02-25 00:00:00+00:00,4.64
2025-02-26 00:00:00+00:00,4.754
2025-02-27 00:00:00+00:00,4.934
2025-02-28 00:00:00+00:00,4.712
2025-03-01 00:00:00+00:00,4.664
2025-03-02 00:00:00+00:00,5.205
2025-03-03 00:00:00+00:00,4.473
2025-03-04 00:00:00+00:00,4.33
2025-03-05 00:00:00+00:00,4.526
2025-03-06 00:00:00+00:00,4.431
2025-03-07 00:00:00+00:00,4.413
2025-03-08 00:00:00+00:00,4.289
2025-03-09 00:00:00+00:00,4.019
2025-03-10 00:00:00+00:00,3.868
2025-03-11 00:00:00+00:00,4.042
2025-03-12 00:00:00+00:00,3.968
2025-03-13 00:00:00+00:00,3.981
2025-03-14 00:00:00+00:00,4.187
2025-03-15 00:00:00+00:00,4.349
2025-03-16 00:00:00+00:00,4.298
2025-03-17 00:00:00+00:00,4.37
2025-03-18 00:00:00+00:00,4.45
2025-03-19 00:00:00+00:00,4.538
2025-03-20 00:00:00+00:00,4.399
2025-03-21 00:00:00+00:00,4.499
2025-03-22 00:00:00+00:00,4.446
2025-03-23 00:00:00+00:00,4.502
2025-03-24 00:00:00+00:00,4.62
2025-03-25 00:00:00+00:00,4.637
2025-03-26 00:00:00+00:00,4.694
2025-03-27 00:00:00+00:00,4.625
2025-03-28 00:00:00+00:00,4.282
2025-03-29 00:00:00+00:00,4.05
2025-03-30 00:00:00+00:00,4.042
2025-03-31 00:00:00+00:00,4.02
2025-04-01 00:00:00+00:00,4.171
2025-04-02 00:00:00+00:00,3.965
2025-04-03 00:00:00+00:00,4.059
2025-04-04 00:00:00+00:00,4.035
2025-04-05 00:00:00+00:00,3.956
2025-04-06 00:00:00+00:00,3.683
2025-04-07 00:00:00+00:00,3.593
2025-04-08 00:00:00+00:00,3.378
2025-04-09 00:00:00+00:00,3.643
2025-04-10 00:00:00+00:00,3.463
2025-04-11 00:00:00+00:00,3.557
