date,DUSK/USDT
2025-03-17 00:00:00+00:00,0.0992
2025-03-18 00:00:00+00:00,0.0979
2025-03-19 00:00:00+00:00,0.1014
2025-03-20 00:00:00+00:00,0.0966
2025-03-21 00:00:00+00:00,0.0939
2025-03-22 00:00:00+00:00,0.0975
2025-03-23 00:00:00+00:00,0.095
2025-03-24 00:00:00+00:00,0.0963
2025-03-25 00:00:00+00:00,0.0957
2025-03-26 00:00:00+00:00,0.09
2025-03-27 00:00:00+00:00,0.088
2025-03-28 00:00:00+00:00,0.0785
2025-03-29 00:00:00+00:00,0.0758
2025-03-30 00:00:00+00:00,0.0783
2025-03-31 00:00:00+00:00,0.0764
2025-04-01 00:00:00+00:00,0.0782
2025-04-02 00:00:00+00:00,0.0703
2025-04-03 00:00:00+00:00,0.0684
2025-04-04 00:00:00+00:00,0.0691
2025-04-05 00:00:00+00:00,0.0682
2025-04-06 00:00:00+00:00,0.0608
2025-04-07 00:00:00+00:00,0.0639
2025-04-08 00:00:00+00:00,0.0634
2025-04-09 00:00:00+00:00,0.0712
2025-04-10 00:00:00+00:00,0.0685
2025-04-11 00:00:00+00:00,0.0714
2025-04-12 00:00:00+00:00,0.0752
2025-04-13 00:00:00+00:00,0.0697
2025-04-14 00:00:00+00:00,0.07
2025-04-15 00:00:00+00:00,0.0688
2025-04-16 00:00:00+00:00,0.067
2025-04-17 00:00:00+00:00,0.0692
2025-04-18 00:00:00+00:00,0.0722
2025-04-19 00:00:00+00:00,0.0765
2025-04-20 00:00:00+00:00,0.0799
2025-04-21 00:00:00+00:00,0.0803
2025-04-22 00:00:00+00:00,0.0859
2025-04-23 00:00:00+00:00,0.0886
2025-04-24 00:00:00+00:00,0.0896
2025-04-25 00:00:00+00:00,0.0903
2025-04-26 00:00:00+00:00,0.0928
2025-04-27 00:00:00+00:00,0.0843
2025-04-28 00:00:00+00:00,0.0868
2025-04-29 00:00:00+00:00,0.0834
2025-04-30 00:00:00+00:00,0.0861
2025-05-01 00:00:00+00:00,0.0863
2025-05-02 00:00:00+00:00,0.0858
2025-05-03 00:00:00+00:00,0.0782
2025-05-04 00:00:00+00:00,0.0759
2025-05-05 00:00:00+00:00,0.078
2025-05-06 00:00:00+00:00,0.0759
2025-05-07 00:00:00+00:00,0.0758
2025-05-08 00:00:00+00:00,0.0878
2025-05-09 00:00:00+00:00,0.094
2025-05-10 00:00:00+00:00,0.1019
2025-05-11 00:00:00+00:00,0.1007
2025-05-12 00:00:00+00:00,0.1026
2025-05-13 00:00:00+00:00,0.1063
2025-05-14 00:00:00+00:00,0.1009
2025-05-15 00:00:00+00:00,0.0887
2025-05-16 00:00:00+00:00,0.0875
2025-05-17 00:00:00+00:00,0.0862
2025-05-18 00:00:00+00:00,0.0903
2025-05-19 00:00:00+00:00,0.0879
2025-05-20 00:00:00+00:00,0.0905
2025-05-21 00:00:00+00:00,0.089
2025-05-22 00:00:00+00:00,0.0948
2025-05-23 00:00:00+00:00,0.0842
2025-05-24 00:00:00+00:00,0.0832
2025-05-25 00:00:00+00:00,0.0814
2025-05-26 00:00:00+00:00,0.0805
2025-05-27 00:00:00+00:00,0.0823
2025-05-28 00:00:00+00:00,0.0805
2025-05-29 00:00:00+00:00,0.0761
2025-05-30 00:00:00+00:00,0.0665
2025-05-31 00:00:00+00:00,0.0682
2025-06-01 00:00:00+00:00,0.07
2025-06-02 00:00:00+00:00,0.0721
2025-06-03 00:00:00+00:00,0.0707
2025-06-04 00:00:00+00:00,0.0666
2025-06-05 00:00:00+00:00,0.0627
2025-06-06 00:00:00+00:00,0.0619
2025-06-07 00:00:00+00:00,0.064
2025-06-08 00:00:00+00:00,0.0622
2025-06-09 00:00:00+00:00,0.0668
2025-06-10 00:00:00+00:00,0.0683
2025-06-11 00:00:00+00:00,0.0629
