date,EIGEN/USDT
2024-11-03 00:00:00+00:00,2.447
2024-11-04 00:00:00+00:00,2.361
2024-11-05 00:00:00+00:00,2.405
2024-11-06 00:00:00+00:00,2.877
2024-11-07 00:00:00+00:00,3.181
2024-11-08 00:00:00+00:00,3.037
2024-11-09 00:00:00+00:00,3.244
2024-11-10 00:00:00+00:00,3.189
2024-11-11 00:00:00+00:00,3.234
2024-11-12 00:00:00+00:00,2.792
2024-11-13 00:00:00+00:00,2.548
2024-11-14 00:00:00+00:00,2.395
2024-11-15 00:00:00+00:00,2.441
2024-11-16 00:00:00+00:00,2.496
2024-11-17 00:00:00+00:00,2.401
2024-11-18 00:00:00+00:00,2.688
2024-11-19 00:00:00+00:00,2.417
2024-11-20 00:00:00+00:00,2.222
2024-11-21 00:00:00+00:00,2.609
2024-11-22 00:00:00+00:00,2.596
2024-11-23 00:00:00+00:00,2.777
2024-11-24 00:00:00+00:00,2.935
2024-11-25 00:00:00+00:00,3.169
2024-11-26 00:00:00+00:00,3.375
2024-11-27 00:00:00+00:00,3.85
2024-11-28 00:00:00+00:00,3.633
2024-11-29 00:00:00+00:00,3.569
2024-11-30 00:00:00+00:00,3.625
2024-12-01 00:00:00+00:00,3.837
2024-12-02 00:00:00+00:00,3.858
2024-12-03 00:00:00+00:00,3.958
2024-12-04 00:00:00+00:00,3.853
2024-12-05 00:00:00+00:00,3.817
2024-12-06 00:00:00+00:00,4.734
2024-12-07 00:00:00+00:00,4.461
2024-12-08 00:00:00+00:00,4.776
2024-12-09 00:00:00+00:00,4.563
2024-12-10 00:00:00+00:00,4.287
2024-12-11 00:00:00+00:00,5.125
2024-12-12 00:00:00+00:00,4.909
2024-12-13 00:00:00+00:00,4.905
2024-12-14 00:00:00+00:00,4.633
2024-12-15 00:00:00+00:00,5.022
2024-12-16 00:00:00+00:00,5.496
2024-12-17 00:00:00+00:00,5.07
2024-12-18 00:00:00+00:00,4.964
2024-12-19 00:00:00+00:00,4.226
2024-12-20 00:00:00+00:00,4.185
2024-12-21 00:00:00+00:00,3.768
2024-12-22 00:00:00+00:00,3.609
2024-12-23 00:00:00+00:00,3.903
2024-12-24 00:00:00+00:00,3.975
2024-12-25 00:00:00+00:00,3.762
2024-12-26 00:00:00+00:00,3.335
2024-12-27 00:00:00+00:00,3.4
2024-12-28 00:00:00+00:00,3.577
2024-12-29 00:00:00+00:00,3.323
2024-12-30 00:00:00+00:00,3.672
2024-12-31 00:00:00+00:00,3.519
2025-01-01 00:00:00+00:00,3.633
2025-01-02 00:00:00+00:00,3.752
2025-01-03 00:00:00+00:00,4.036
2025-01-04 00:00:00+00:00,4.051
2025-01-05 00:00:00+00:00,4.119
2025-01-06 00:00:00+00:00,4.055
2025-01-07 00:00:00+00:00,3.567
2025-01-08 00:00:00+00:00,3.421
2025-01-09 00:00:00+00:00,3.201
2025-01-10 00:00:00+00:00,3.118
2025-01-11 00:00:00+00:00,3.102
2025-01-12 00:00:00+00:00,3.088
2025-01-13 00:00:00+00:00,2.979
2025-01-14 00:00:00+00:00,3.11
2025-01-15 00:00:00+00:00,3.409
2025-01-16 00:00:00+00:00,3.262
2025-01-17 00:00:00+00:00,3.447
2025-01-18 00:00:00+00:00,2.853
2025-01-19 00:00:00+00:00,2.701
2025-01-20 00:00:00+00:00,2.736
2025-01-21 00:00:00+00:00,2.771
2025-01-22 00:00:00+00:00,2.593
2025-01-23 00:00:00+00:00,2.734
2025-01-24 00:00:00+00:00,2.751
2025-01-25 00:00:00+00:00,2.806
2025-01-26 00:00:00+00:00,2.654
2025-01-27 00:00:00+00:00,2.579
2025-01-28 00:00:00+00:00,2.421
2025-01-29 00:00:00+00:00,2.629
2025-01-30 00:00:00+00:00,2.803
2025-01-31 00:00:00+00:00,3.004
2025-02-01 00:00:00+00:00,2.572
2025-02-02 00:00:00+00:00,2.172
2025-02-03 00:00:00+00:00,2.186
2025-02-04 00:00:00+00:00,1.97
2025-02-05 00:00:00+00:00,1.88
2025-02-06 00:00:00+00:00,1.689
2025-02-07 00:00:00+00:00,1.698
2025-02-08 00:00:00+00:00,1.822
2025-02-09 00:00:00+00:00,1.664
2025-02-10 00:00:00+00:00,1.711
2025-02-11 00:00:00+00:00,1.655
2025-02-12 00:00:00+00:00,1.744
2025-02-13 00:00:00+00:00,1.712
2025-02-14 00:00:00+00:00,1.744
2025-02-15 00:00:00+00:00,1.615
2025-02-16 00:00:00+00:00,1.699
2025-02-17 00:00:00+00:00,1.81
2025-02-18 00:00:00+00:00,1.677
2025-02-19 00:00:00+00:00,1.721
2025-02-20 00:00:00+00:00,1.959
2025-02-21 00:00:00+00:00,1.97
2025-02-22 00:00:00+00:00,1.956
2025-02-23 00:00:00+00:00,1.893
2025-02-24 00:00:00+00:00,1.536
2025-02-25 00:00:00+00:00,1.644
2025-02-26 00:00:00+00:00,1.726
2025-02-27 00:00:00+00:00,1.709
2025-02-28 00:00:00+00:00,1.707
2025-03-01 00:00:00+00:00,1.601
2025-03-02 00:00:00+00:00,1.786
2025-03-03 00:00:00+00:00,1.423
2025-03-04 00:00:00+00:00,1.419
2025-03-05 00:00:00+00:00,1.482
2025-03-06 00:00:00+00:00,1.387
2025-03-07 00:00:00+00:00,1.291
2025-03-08 00:00:00+00:00,1.308
2025-03-09 00:00:00+00:00,1.151
2025-03-10 00:00:00+00:00,1.087
2025-03-11 00:00:00+00:00,1.125
2025-03-12 00:00:00+00:00,1.134
2025-03-13 00:00:00+00:00,1.068
2025-03-14 00:00:00+00:00,1.132
2025-03-15 00:00:00+00:00,1.169
2025-03-16 00:00:00+00:00,1.094
2025-03-17 00:00:00+00:00,1.168
2025-03-18 00:00:00+00:00,1.157
2025-03-19 00:00:00+00:00,1.21
2025-03-20 00:00:00+00:00,1.156
2025-03-21 00:00:00+00:00,1.14
2025-03-22 00:00:00+00:00,1.205
2025-03-23 00:00:00+00:00,1.186
2025-03-24 00:00:00+00:00,1.178
2025-03-25 00:00:00+00:00,1.183
2025-03-26 00:00:00+00:00,1.152
2025-03-27 00:00:00+00:00,1.164
2025-03-28 00:00:00+00:00,1.027
2025-03-29 00:00:00+00:00,0.945
2025-03-30 00:00:00+00:00,0.94
2025-03-31 00:00:00+00:00,0.93
2025-04-01 00:00:00+00:00,0.916
2025-04-02 00:00:00+00:00,0.82
2025-04-03 00:00:00+00:00,0.823
2025-04-04 00:00:00+00:00,0.825
2025-04-05 00:00:00+00:00,0.817
2025-04-06 00:00:00+00:00,0.745
2025-04-07 00:00:00+00:00,0.757
2025-04-08 00:00:00+00:00,0.691
2025-04-09 00:00:00+00:00,0.817
2025-04-10 00:00:00+00:00,0.784
2025-04-11 00:00:00+00:00,0.816
2025-04-12 00:00:00+00:00,0.862
2025-04-13 00:00:00+00:00,0.809
2025-04-14 00:00:00+00:00,0.797
2025-04-15 00:00:00+00:00,0.771
2025-04-16 00:00:00+00:00,0.786
2025-04-17 00:00:00+00:00,0.791
2025-04-18 00:00:00+00:00,0.821
2025-04-19 00:00:00+00:00,0.841
2025-04-20 00:00:00+00:00,0.837
2025-04-21 00:00:00+00:00,0.828
2025-04-22 00:00:00+00:00,0.916
2025-04-23 00:00:00+00:00,0.947
2025-04-24 00:00:00+00:00,0.961
2025-04-25 00:00:00+00:00,0.975
2025-04-26 00:00:00+00:00,1.019
