date,ENA/USDT
2025-03-17 00:00:00+00:00,0.3769
2025-03-18 00:00:00+00:00,0.3677
2025-03-19 00:00:00+00:00,0.3933
2025-03-20 00:00:00+00:00,0.3837
2025-03-21 00:00:00+00:00,0.3506
2025-03-22 00:00:00+00:00,0.3554
2025-03-23 00:00:00+00:00,0.3705
2025-03-24 00:00:00+00:00,0.4087
2025-03-25 00:00:00+00:00,0.4245
2025-03-26 00:00:00+00:00,0.4091
2025-03-27 00:00:00+00:00,0.4296
2025-03-28 00:00:00+00:00,0.3854
2025-03-29 00:00:00+00:00,0.3641
2025-03-30 00:00:00+00:00,0.3698
2025-03-31 00:00:00+00:00,0.3437
2025-04-01 00:00:00+00:00,0.3692
2025-04-02 00:00:00+00:00,0.3309
2025-04-03 00:00:00+00:00,0.3146
2025-04-04 00:00:00+00:00,0.3187
2025-04-05 00:00:00+00:00,0.3199
2025-04-06 00:00:00+00:00,0.2763
2025-04-07 00:00:00+00:00,0.2923
2025-04-08 00:00:00+00:00,0.2753
2025-04-09 00:00:00+00:00,0.3165
2025-04-10 00:00:00+00:00,0.3025
2025-04-11 00:00:00+00:00,0.3156
2025-04-12 00:00:00+00:00,0.3423
2025-04-13 00:00:00+00:00,0.3079
2025-04-14 00:00:00+00:00,0.2961
2025-04-15 00:00:00+00:00,0.2738
2025-04-16 00:00:00+00:00,0.2703
2025-04-17 00:00:00+00:00,0.2761
2025-04-18 00:00:00+00:00,0.2812
2025-04-19 00:00:00+00:00,0.2851
2025-04-20 00:00:00+00:00,0.286
2025-04-21 00:00:00+00:00,0.2874
2025-04-22 00:00:00+00:00,0.3215
2025-04-23 00:00:00+00:00,0.3401
2025-04-24 00:00:00+00:00,0.3566
2025-04-25 00:00:00+00:00,0.3631
2025-04-26 00:00:00+00:00,0.3649
2025-04-27 00:00:00+00:00,0.344
2025-04-28 00:00:00+00:00,0.335
2025-04-29 00:00:00+00:00,0.3105
2025-04-30 00:00:00+00:00,0.3196
2025-05-01 00:00:00+00:00,0.3223
2025-05-02 00:00:00+00:00,0.3074
2025-05-03 00:00:00+00:00,0.2915
2025-05-04 00:00:00+00:00,0.2861
2025-05-05 00:00:00+00:00,0.2621
2025-05-06 00:00:00+00:00,0.2698
2025-05-07 00:00:00+00:00,0.2674
2025-05-08 00:00:00+00:00,0.3407
2025-05-09 00:00:00+00:00,0.3679
2025-05-10 00:00:00+00:00,0.4189
2025-05-11 00:00:00+00:00,0.4083
2025-05-12 00:00:00+00:00,0.387
2025-05-13 00:00:00+00:00,0.4545
2025-05-14 00:00:00+00:00,0.4079
2025-05-15 00:00:00+00:00,0.3671
2025-05-16 00:00:00+00:00,0.3788
2025-05-17 00:00:00+00:00,0.3499
2025-05-18 00:00:00+00:00,0.3904
2025-05-19 00:00:00+00:00,0.3696
2025-05-20 00:00:00+00:00,0.3778
2025-05-21 00:00:00+00:00,0.3959
2025-05-22 00:00:00+00:00,0.4167
2025-05-23 00:00:00+00:00,0.3706
2025-05-24 00:00:00+00:00,0.3682
2025-05-25 00:00:00+00:00,0.3784
2025-05-26 00:00:00+00:00,0.3863
2025-05-27 00:00:00+00:00,0.398
2025-05-28 00:00:00+00:00,0.39
2025-05-29 00:00:00+00:00,0.3732
2025-05-30 00:00:00+00:00,0.301
2025-05-31 00:00:00+00:00,0.3057
2025-06-01 00:00:00+00:00,0.3135
2025-06-02 00:00:00+00:00,0.3228
2025-06-03 00:00:00+00:00,0.3378
2025-06-04 00:00:00+00:00,0.3142
2025-06-05 00:00:00+00:00,0.2839
2025-06-06 00:00:00+00:00,0.2978
2025-06-07 00:00:00+00:00,0.3213
2025-06-08 00:00:00+00:00,0.317
2025-06-09 00:00:00+00:00,0.3435
2025-06-10 00:00:00+00:00,0.3705
2025-06-11 00:00:00+00:00,0.3459
2025-06-12 00:00:00+00:00,0.3111
2025-06-13 00:00:00+00:00,0.3005
2025-06-14 00:00:00+00:00,0.2925
2025-06-15 00:00:00+00:00,0.3031
2025-06-16 00:00:00+00:00,0.2943
2025-06-17 00:00:00+00:00,0.2799
2025-06-18 00:00:00+00:00,0.2855
2025-06-19 00:00:00+00:00,0.2827
2025-06-20 00:00:00+00:00,0.2655
2025-06-21 00:00:00+00:00,0.2501
2025-06-22 00:00:00+00:00,0.2382
2025-06-23 00:00:00+00:00,0.2692
2025-06-24 00:00:00+00:00,0.2691
2025-06-25 00:00:00+00:00,0.2578
2025-06-26 00:00:00+00:00,0.2499
2025-06-27 00:00:00+00:00,0.2537
2025-06-28 00:00:00+00:00,0.2651
2025-06-29 00:00:00+00:00,0.2784
2025-06-30 00:00:00+00:00,0.2665
2025-07-01 00:00:00+00:00,0.2527
2025-07-02 00:00:00+00:00,0.276
2025-07-03 00:00:00+00:00,0.2761
2025-07-04 00:00:00+00:00,0.2532
2025-07-05 00:00:00+00:00,0.255
2025-07-06 00:00:00+00:00,0.2619
2025-07-07 00:00:00+00:00,0.2563
2025-07-08 00:00:00+00:00,0.2655
2025-07-09 00:00:00+00:00,0.2874
2025-07-10 00:00:00+00:00,0.3175
2025-07-11 00:00:00+00:00,0.3379
2025-07-12 00:00:00+00:00,0.3226
2025-07-13 00:00:00+00:00,0.3429
2025-07-14 00:00:00+00:00,0.3372
2025-07-15 00:00:00+00:00,0.3611
2025-07-16 00:00:00+00:00,0.3716
2025-07-17 00:00:00+00:00,0.3786
2025-07-18 00:00:00+00:00,0.3901
2025-07-19 00:00:00+00:00,0.4338
2025-07-20 00:00:00+00:00,0.4914
2025-07-21 00:00:00+00:00,0.5171
2025-07-22 00:00:00+00:00,0.5084
2025-07-23 00:00:00+00:00,0.4603
2025-07-24 00:00:00+00:00,0.4719
2025-07-25 00:00:00+00:00,0.6019
2025-07-26 00:00:00+00:00,0.6186
2025-07-27 00:00:00+00:00,0.6697
2025-07-28 00:00:00+00:00,0.6335
2025-07-29 00:00:00+00:00,0.5708
2025-07-30 00:00:00+00:00,0.6082
2025-07-31 00:00:00+00:00,0.5695
2025-08-01 00:00:00+00:00,0.5795
2025-08-02 00:00:00+00:00,0.5217
2025-08-03 00:00:00+00:00,0.5937
2025-08-04 00:00:00+00:00,0.604
2025-08-05 00:00:00+00:00,0.5799
2025-08-06 00:00:00+00:00,0.6013
2025-08-07 00:00:00+00:00,0.6372
2025-08-08 00:00:00+00:00,0.6445
2025-08-09 00:00:00+00:00,0.7363
2025-08-10 00:00:00+00:00,0.7973
2025-08-11 00:00:00+00:00,0.7949
2025-08-12 00:00:00+00:00,0.81
2025-08-13 00:00:00+00:00,0.7762
2025-08-14 00:00:00+00:00,0.7159
2025-08-15 00:00:00+00:00,0.7194
2025-08-16 00:00:00+00:00,0.733
2025-08-17 00:00:00+00:00,0.7093
2025-08-18 00:00:00+00:00,0.6772
2025-08-19 00:00:00+00:00,0.6362
2025-08-20 00:00:00+00:00,0.6571
2025-08-21 00:00:00+00:00,0.6289
2025-08-22 00:00:00+00:00,0.7533
2025-08-23 00:00:00+00:00,0.7401
2025-08-24 00:00:00+00:00,0.6945
2025-08-25 00:00:00+00:00,0.6217
2025-08-26 00:00:00+00:00,0.6289
2025-08-27 00:00:00+00:00,0.6097
2025-08-28 00:00:00+00:00,0.6767
2025-08-29 00:00:00+00:00,0.6413
2025-08-30 00:00:00+00:00,0.6545
2025-08-31 00:00:00+00:00,0.6398
2025-09-01 00:00:00+00:00,0.6287
2025-09-02 00:00:00+00:00,0.6875
2025-09-03 00:00:00+00:00,0.7306
2025-09-04 00:00:00+00:00,0.6473
2025-09-05 00:00:00+00:00,0.7319
2025-09-06 00:00:00+00:00,0.7375
2025-09-07 00:00:00+00:00,0.7371
2025-09-08 00:00:00+00:00,0.7816
2025-09-09 00:00:00+00:00,0.8067
2025-09-10 00:00:00+00:00,0.7788
2025-09-11 00:00:00+00:00,0.7798
