date,ETC/USDT
2024-11-03 00:00:00+00:00,17.8
2024-11-04 00:00:00+00:00,17.6
2024-11-05 00:00:00+00:00,18.22
2024-11-06 00:00:00+00:00,19.69
2024-11-07 00:00:00+00:00,20.27
2024-11-08 00:00:00+00:00,20.45
2024-11-09 00:00:00+00:00,21.76
2024-11-10 00:00:00+00:00,23.02
2024-11-11 00:00:00+00:00,24.37
2024-11-12 00:00:00+00:00,22.75
2024-11-13 00:00:00+00:00,22.09
2024-11-14 00:00:00+00:00,21.8
2024-11-15 00:00:00+00:00,22.99
2024-11-16 00:00:00+00:00,26.73
2024-11-17 00:00:00+00:00,25.84
2024-11-18 00:00:00+00:00,27.04
2024-11-19 00:00:00+00:00,26.16
2024-11-20 00:00:00+00:00,25.37
2024-11-21 00:00:00+00:00,27.34
2024-11-22 00:00:00+00:00,28.52
2024-11-23 00:00:00+00:00,29.64
2024-11-24 00:00:00+00:00,28.84
2024-11-25 00:00:00+00:00,29.77
2024-11-26 00:00:00+00:00,28.33
2024-11-27 00:00:00+00:00,32.9
2024-11-28 00:00:00+00:00,31.91
2024-11-29 00:00:00+00:00,31.94
2024-11-30 00:00:00+00:00,32.7
2024-12-01 00:00:00+00:00,33.32
2024-12-02 00:00:00+00:00,33.87
2024-12-03 00:00:00+00:00,34.72
2024-12-04 00:00:00+00:00,37.7
2024-12-05 00:00:00+00:00,35.61
2024-12-06 00:00:00+00:00,38.27
2024-12-07 00:00:00+00:00,37.2
2024-12-08 00:00:00+00:00,37.08
2024-12-09 00:00:00+00:00,31.35
2024-12-10 00:00:00+00:00,30.19
2024-12-11 00:00:00+00:00,33.49
2024-12-12 00:00:00+00:00,33.82
2024-12-13 00:00:00+00:00,34.01
2024-12-14 00:00:00+00:00,32.56
2024-12-15 00:00:00+00:00,33.79
2024-12-16 00:00:00+00:00,33.21
2024-12-17 00:00:00+00:00,32.5
2024-12-18 00:00:00+00:00,29.4
2024-12-19 00:00:00+00:00,26.72
2024-12-20 00:00:00+00:00,27.44
2024-12-21 00:00:00+00:00,26.03
2024-12-22 00:00:00+00:00,25.98
2024-12-23 00:00:00+00:00,27.55
2024-12-24 00:00:00+00:00,27.94
2024-12-25 00:00:00+00:00,27.32
2024-12-26 00:00:00+00:00,25.87
2024-12-27 00:00:00+00:00,25.99
2024-12-28 00:00:00+00:00,26.57
2024-12-29 00:00:00+00:00,25.54
2024-12-30 00:00:00+00:00,25.44
2024-12-31 00:00:00+00:00,25.06
2025-01-01 00:00:00+00:00,25.81
2025-01-02 00:00:00+00:00,26.9
2025-01-03 00:00:00+00:00,28.44
2025-01-04 00:00:00+00:00,28.36
2025-01-05 00:00:00+00:00,28.13
2025-01-06 00:00:00+00:00,28.67
2025-01-07 00:00:00+00:00,25.9
2025-01-08 00:00:00+00:00,25.26
2025-01-09 00:00:00+00:00,24.88
2025-01-10 00:00:00+00:00,25.66
2025-01-11 00:00:00+00:00,25.55
2025-01-12 00:00:00+00:00,25.26
2025-01-13 00:00:00+00:00,24.59
2025-01-14 00:00:00+00:00,25.4
2025-01-15 00:00:00+00:00,27.13
2025-01-16 00:00:00+00:00,26.7
2025-01-17 00:00:00+00:00,28.26
2025-01-18 00:00:00+00:00,26.93
2025-01-19 00:00:00+00:00,25.43
2025-01-20 00:00:00+00:00,25.8
2025-01-21 00:00:00+00:00,27.12
2025-01-22 00:00:00+00:00,26.83
2025-01-23 00:00:00+00:00,29.02
2025-01-24 00:00:00+00:00,27.39
2025-01-25 00:00:00+00:00,27.04
2025-01-26 00:00:00+00:00,26.19
2025-01-27 00:00:00+00:00,26.0
2025-01-28 00:00:00+00:00,24.98
2025-01-29 00:00:00+00:00,25.54
2025-01-30 00:00:00+00:00,26.28
2025-01-31 00:00:00+00:00,26.83
2025-02-01 00:00:00+00:00,24.96
2025-02-02 00:00:00+00:00,22.5
2025-02-03 00:00:00+00:00,22.05
2025-02-04 00:00:00+00:00,20.66
2025-02-05 00:00:00+00:00,20.69
2025-02-06 00:00:00+00:00,19.69
2025-02-07 00:00:00+00:00,19.81
2025-02-08 00:00:00+00:00,20.12
2025-02-09 00:00:00+00:00,20.15
2025-02-10 00:00:00+00:00,20.68
2025-02-11 00:00:00+00:00,20.22
2025-02-12 00:00:00+00:00,21.38
2025-02-13 00:00:00+00:00,21.14
2025-02-14 00:00:00+00:00,21.39
2025-02-15 00:00:00+00:00,20.8
2025-02-16 00:00:00+00:00,20.45
2025-02-17 00:00:00+00:00,20.9
2025-02-18 00:00:00+00:00,20.18
2025-02-19 00:00:00+00:00,21.17
2025-02-20 00:00:00+00:00,20.93
2025-02-21 00:00:00+00:00,20.22
2025-02-22 00:00:00+00:00,20.47
2025-02-23 00:00:00+00:00,20.75
2025-02-24 00:00:00+00:00,18.64
2025-02-25 00:00:00+00:00,18.89
2025-02-26 00:00:00+00:00,18.76
2025-02-27 00:00:00+00:00,18.71
2025-02-28 00:00:00+00:00,19.57
2025-03-01 00:00:00+00:00,19.05
2025-03-02 00:00:00+00:00,21.0
2025-03-03 00:00:00+00:00,18.7
2025-03-04 00:00:00+00:00,18.96
2025-03-05 00:00:00+00:00,20.5
2025-03-06 00:00:00+00:00,19.96
2025-03-07 00:00:00+00:00,20.41
2025-03-08 00:00:00+00:00,20.23
2025-03-09 00:00:00+00:00,17.93
2025-03-10 00:00:00+00:00,16.88
2025-03-11 00:00:00+00:00,17.86
2025-03-12 00:00:00+00:00,17.98
2025-03-13 00:00:00+00:00,17.9
2025-03-14 00:00:00+00:00,18.02
2025-03-15 00:00:00+00:00,17.95
2025-03-16 00:00:00+00:00,17.48
2025-03-17 00:00:00+00:00,17.83
2025-03-18 00:00:00+00:00,17.69
