date,ETHFI/USDT
2025-01-09 00:00:00+00:00,1.87
2025-01-10 00:00:00+00:00,1.923
2025-01-11 00:00:00+00:00,1.906
2025-01-12 00:00:00+00:00,1.862
2025-01-13 00:00:00+00:00,1.785
2025-01-14 00:00:00+00:00,1.904
2025-01-15 00:00:00+00:00,2.049
2025-01-16 00:00:00+00:00,2.024
2025-01-17 00:00:00+00:00,2.125
2025-01-18 00:00:00+00:00,1.889
2025-01-19 00:00:00+00:00,1.79
2025-01-20 00:00:00+00:00,1.786
2025-01-21 00:00:00+00:00,1.832
2025-01-22 00:00:00+00:00,1.743
2025-01-23 00:00:00+00:00,1.753
2025-01-24 00:00:00+00:00,1.688
2025-01-25 00:00:00+00:00,1.713
2025-01-26 00:00:00+00:00,1.669
2025-01-27 00:00:00+00:00,1.609
2025-01-28 00:00:00+00:00,1.44
2025-01-29 00:00:00+00:00,1.529
2025-01-30 00:00:00+00:00,1.582
2025-01-31 00:00:00+00:00,1.645
2025-02-01 00:00:00+00:00,1.444
2025-02-02 00:00:00+00:00,1.177
2025-02-03 00:00:00+00:00,1.286
2025-02-04 00:00:00+00:00,1.181
2025-02-05 00:00:00+00:00,1.161
2025-02-06 00:00:00+00:00,1.087
2025-02-07 00:00:00+00:00,1.09
2025-02-08 00:00:00+00:00,1.136
2025-02-09 00:00:00+00:00,1.115
2025-02-10 00:00:00+00:00,1.129
2025-02-11 00:00:00+00:00,1.096
2025-02-12 00:00:00+00:00,1.188
2025-02-13 00:00:00+00:00,1.17
2025-02-14 00:00:00+00:00,1.177
2025-02-15 00:00:00+00:00,1.111
2025-02-16 00:00:00+00:00,1.097
2025-02-17 00:00:00+00:00,1.147
2025-02-18 00:00:00+00:00,1.093
2025-02-19 00:00:00+00:00,1.115
2025-02-20 00:00:00+00:00,1.161
2025-02-21 00:00:00+00:00,1.116
2025-02-22 00:00:00+00:00,1.17
2025-02-23 00:00:00+00:00,1.152
2025-02-24 00:00:00+00:00,0.949
2025-02-25 00:00:00+00:00,0.965
2025-02-26 00:00:00+00:00,0.956
2025-02-27 00:00:00+00:00,0.967
2025-02-28 00:00:00+00:00,0.949
2025-03-01 00:00:00+00:00,0.926
2025-03-02 00:00:00+00:00,1.056
2025-03-03 00:00:00+00:00,0.854
2025-03-04 00:00:00+00:00,0.843
2025-03-05 00:00:00+00:00,0.856
2025-03-06 00:00:00+00:00,0.841
2025-03-07 00:00:00+00:00,0.807
2025-03-08 00:00:00+00:00,0.796
2025-03-09 00:00:00+00:00,0.673
2025-03-10 00:00:00+00:00,0.647
2025-03-11 00:00:00+00:00,0.675
2025-03-12 00:00:00+00:00,0.685
2025-03-13 00:00:00+00:00,0.665
2025-03-14 00:00:00+00:00,0.687
2025-03-15 00:00:00+00:00,0.701
2025-03-16 00:00:00+00:00,0.662
