date,EUR/USDT
2025-03-17 00:00:00+00:00,1.0917
2025-03-18 00:00:00+00:00,1.0938
2025-03-19 00:00:00+00:00,1.0907
2025-03-20 00:00:00+00:00,1.0855
2025-03-21 00:00:00+00:00,1.0818
2025-03-22 00:00:00+00:00,1.0816
2025-03-23 00:00:00+00:00,1.0834
2025-03-24 00:00:00+00:00,1.0798
2025-03-25 00:00:00+00:00,1.0787
2025-03-26 00:00:00+00:00,1.0734
2025-03-27 00:00:00+00:00,1.0801
2025-03-28 00:00:00+00:00,1.0825
2025-03-29 00:00:00+00:00,1.0815
2025-03-30 00:00:00+00:00,1.0819
2025-03-31 00:00:00+00:00,1.0823
2025-04-01 00:00:00+00:00,1.0796
2025-04-02 00:00:00+00:00,1.0905
2025-04-03 00:00:00+00:00,1.1045
2025-04-04 00:00:00+00:00,1.0966
2025-04-05 00:00:00+00:00,1.0972
2025-04-06 00:00:00+00:00,1.0998
2025-04-07 00:00:00+00:00,1.0911
2025-04-08 00:00:00+00:00,1.0983
2025-04-09 00:00:00+00:00,1.095
2025-04-10 00:00:00+00:00,1.1258
2025-04-11 00:00:00+00:00,1.1366
2025-04-12 00:00:00+00:00,1.1346
2025-04-13 00:00:00+00:00,1.1338
2025-04-14 00:00:00+00:00,1.1331
2025-04-15 00:00:00+00:00,1.1287
2025-04-16 00:00:00+00:00,1.1394
2025-04-17 00:00:00+00:00,1.1369
2025-04-18 00:00:00+00:00,1.1386
2025-04-19 00:00:00+00:00,1.1396
2025-04-20 00:00:00+00:00,1.1445
2025-04-21 00:00:00+00:00,1.1514
2025-04-22 00:00:00+00:00,1.136
2025-04-23 00:00:00+00:00,1.1325
2025-04-24 00:00:00+00:00,1.1369
2025-04-25 00:00:00+00:00,1.1352
2025-04-26 00:00:00+00:00,1.1352
2025-04-27 00:00:00+00:00,1.1337
2025-04-28 00:00:00+00:00,1.1401
2025-04-29 00:00:00+00:00,1.1379
2025-04-30 00:00:00+00:00,1.1323
2025-05-01 00:00:00+00:00,1.13
2025-05-02 00:00:00+00:00,1.1288
2025-05-03 00:00:00+00:00,1.1283
2025-05-04 00:00:00+00:00,1.1311
2025-05-05 00:00:00+00:00,1.1308
2025-05-06 00:00:00+00:00,1.1339
2025-05-07 00:00:00+00:00,1.1304
2025-05-08 00:00:00+00:00,1.1243
2025-05-09 00:00:00+00:00,1.126
2025-05-10 00:00:00+00:00,1.1267
2025-05-11 00:00:00+00:00,1.1263
2025-05-12 00:00:00+00:00,1.1102
2025-05-13 00:00:00+00:00,1.1185
2025-05-14 00:00:00+00:00,1.1175
2025-05-15 00:00:00+00:00,1.1184
2025-05-16 00:00:00+00:00,1.1156
2025-05-17 00:00:00+00:00,1.1151
2025-05-18 00:00:00+00:00,1.1186
2025-05-19 00:00:00+00:00,1.1234
2025-05-20 00:00:00+00:00,1.1287
2025-05-21 00:00:00+00:00,1.1336
2025-05-22 00:00:00+00:00,1.1293
2025-05-23 00:00:00+00:00,1.1357
2025-05-24 00:00:00+00:00,1.135
2025-05-25 00:00:00+00:00,1.1364
2025-05-26 00:00:00+00:00,1.1385
2025-05-27 00:00:00+00:00,1.1335
2025-05-28 00:00:00+00:00,1.1226
2025-05-29 00:00:00+00:00,1.1368
2025-05-30 00:00:00+00:00,1.1335
2025-05-31 00:00:00+00:00,1.1325
2025-06-01 00:00:00+00:00,1.1339
2025-06-02 00:00:00+00:00,1.1447
2025-06-03 00:00:00+00:00,1.1376
2025-06-04 00:00:00+00:00,1.1413
2025-06-05 00:00:00+00:00,1.1441
2025-06-06 00:00:00+00:00,1.1385
2025-06-07 00:00:00+00:00,1.1391
2025-06-08 00:00:00+00:00,1.1401
2025-06-09 00:00:00+00:00,1.1428
2025-06-10 00:00:00+00:00,1.1438
2025-06-11 00:00:00+00:00,1.1506
2025-06-12 00:00:00+00:00,1.1592
2025-06-13 00:00:00+00:00,1.154
2025-06-14 00:00:00+00:00,1.1537
2025-06-15 00:00:00+00:00,1.154
2025-06-16 00:00:00+00:00,1.155
2025-06-17 00:00:00+00:00,1.1487
2025-06-18 00:00:00+00:00,1.1475
2025-06-19 00:00:00+00:00,1.1516
2025-06-20 00:00:00+00:00,1.1509
2025-06-21 00:00:00+00:00,1.1509
2025-06-22 00:00:00+00:00,1.1497
2025-06-23 00:00:00+00:00,1.1588
2025-06-24 00:00:00+00:00,1.1605
2025-06-25 00:00:00+00:00,1.1677
2025-06-26 00:00:00+00:00,1.1689
2025-06-27 00:00:00+00:00,1.1708
2025-06-28 00:00:00+00:00,1.1712
2025-06-29 00:00:00+00:00,1.1727
2025-06-30 00:00:00+00:00,1.1784
2025-07-01 00:00:00+00:00,1.1799
2025-07-02 00:00:00+00:00,1.1799
2025-07-03 00:00:00+00:00,1.1764
2025-07-04 00:00:00+00:00,1.1763
2025-07-05 00:00:00+00:00,1.1764
2025-07-06 00:00:00+00:00,1.1776
2025-07-07 00:00:00+00:00,1.1736
2025-07-08 00:00:00+00:00,1.1721
2025-07-09 00:00:00+00:00,1.1737
2025-07-10 00:00:00+00:00,1.1789
2025-07-11 00:00:00+00:00,1.1751
2025-07-12 00:00:00+00:00,1.1767
2025-07-13 00:00:00+00:00,1.1728
2025-07-14 00:00:00+00:00,1.1678
2025-07-15 00:00:00+00:00,1.1613
2025-07-16 00:00:00+00:00,1.1634
2025-07-17 00:00:00+00:00,1.1624
2025-07-18 00:00:00+00:00,1.1625
2025-07-19 00:00:00+00:00,1.1625
2025-07-20 00:00:00+00:00,1.1632
2025-07-21 00:00:00+00:00,1.1691
2025-07-22 00:00:00+00:00,1.1736
2025-07-23 00:00:00+00:00,1.1768
2025-07-24 00:00:00+00:00,1.175
2025-07-25 00:00:00+00:00,1.1746
2025-07-26 00:00:00+00:00,1.1744
2025-07-27 00:00:00+00:00,1.1757
2025-07-28 00:00:00+00:00,1.1597
