date,FIL/USDT
2025-03-17 00:00:00+00:00,3.022
2025-03-18 00:00:00+00:00,2.924
2025-03-19 00:00:00+00:00,3.087
2025-03-20 00:00:00+00:00,3.049
2025-03-21 00:00:00+00:00,2.918
2025-03-22 00:00:00+00:00,2.99
2025-03-23 00:00:00+00:00,3.028
2025-03-24 00:00:00+00:00,3.129
2025-03-25 00:00:00+00:00,3.131
2025-03-26 00:00:00+00:00,3.026
2025-03-27 00:00:00+00:00,3.021
2025-03-28 00:00:00+00:00,2.828
2025-03-29 00:00:00+00:00,2.745
2025-03-30 00:00:00+00:00,2.755
2025-03-31 00:00:00+00:00,2.778
2025-04-01 00:00:00+00:00,2.837
2025-04-02 00:00:00+00:00,2.702
2025-04-03 00:00:00+00:00,2.73
2025-04-04 00:00:00+00:00,2.765
2025-04-05 00:00:00+00:00,2.697
2025-04-06 00:00:00+00:00,2.376
2025-04-07 00:00:00+00:00,2.369
2025-04-08 00:00:00+00:00,2.266
2025-04-09 00:00:00+00:00,2.474
2025-04-10 00:00:00+00:00,2.348
2025-04-11 00:00:00+00:00,2.455
2025-04-12 00:00:00+00:00,2.561
2025-04-13 00:00:00+00:00,2.494
2025-04-14 00:00:00+00:00,2.531
2025-04-15 00:00:00+00:00,2.416
2025-04-16 00:00:00+00:00,2.387
2025-04-17 00:00:00+00:00,2.383
2025-04-18 00:00:00+00:00,2.454
2025-04-19 00:00:00+00:00,2.638
2025-04-20 00:00:00+00:00,2.648
2025-04-21 00:00:00+00:00,2.611
2025-04-22 00:00:00+00:00,2.714
2025-04-23 00:00:00+00:00,2.789
2025-04-24 00:00:00+00:00,2.858
2025-04-25 00:00:00+00:00,2.859
2025-04-26 00:00:00+00:00,2.861
2025-04-27 00:00:00+00:00,2.706
2025-04-28 00:00:00+00:00,2.765
2025-04-29 00:00:00+00:00,2.741
2025-04-30 00:00:00+00:00,2.768
2025-05-01 00:00:00+00:00,2.84
2025-05-02 00:00:00+00:00,2.803
2025-05-03 00:00:00+00:00,2.65
2025-05-04 00:00:00+00:00,2.631
2025-05-05 00:00:00+00:00,2.613
2025-05-06 00:00:00+00:00,2.587
2025-05-07 00:00:00+00:00,2.586
2025-05-08 00:00:00+00:00,2.931
2025-05-09 00:00:00+00:00,3.022
2025-05-10 00:00:00+00:00,3.245
2025-05-11 00:00:00+00:00,3.141
