date,ICP/USDT
2025-03-17 00:00:00+00:00,5.891
2025-03-18 00:00:00+00:00,5.811
2025-03-19 00:00:00+00:00,5.988
2025-03-20 00:00:00+00:00,5.744
2025-03-21 00:00:00+00:00,5.652
2025-03-22 00:00:00+00:00,5.754
2025-03-23 00:00:00+00:00,5.834
2025-03-24 00:00:00+00:00,6.053
2025-03-25 00:00:00+00:00,6.199
2025-03-26 00:00:00+00:00,6.079
2025-03-27 00:00:00+00:00,6.098
2025-03-28 00:00:00+00:00,5.598
2025-03-29 00:00:00+00:00,5.349
2025-03-30 00:00:00+00:00,5.27
2025-03-31 00:00:00+00:00,5.311
2025-04-01 00:00:00+00:00,5.413
2025-04-02 00:00:00+00:00,5.012
2025-04-03 00:00:00+00:00,5.139
2025-04-04 00:00:00+00:00,5.058
2025-04-05 00:00:00+00:00,5.053
2025-04-06 00:00:00+00:00,4.587
2025-04-07 00:00:00+00:00,4.633
2025-04-08 00:00:00+00:00,4.622
2025-04-09 00:00:00+00:00,4.984
2025-04-10 00:00:00+00:00,4.809
2025-04-11 00:00:00+00:00,5.04
2025-04-12 00:00:00+00:00,5.233
2025-04-13 00:00:00+00:00,5.006
2025-04-14 00:00:00+00:00,4.883
2025-04-15 00:00:00+00:00,4.756
2025-04-16 00:00:00+00:00,4.646
2025-04-17 00:00:00+00:00,4.712
2025-04-18 00:00:00+00:00,4.748
2025-04-19 00:00:00+00:00,4.917
2025-04-20 00:00:00+00:00,4.877
2025-04-21 00:00:00+00:00,4.769
2025-04-22 00:00:00+00:00,5.1
2025-04-23 00:00:00+00:00,5.179
2025-04-24 00:00:00+00:00,5.195
2025-04-25 00:00:00+00:00,5.283
2025-04-26 00:00:00+00:00,5.263
2025-04-27 00:00:00+00:00,5.026
2025-04-28 00:00:00+00:00,5.101
2025-04-29 00:00:00+00:00,4.888
2025-04-30 00:00:00+00:00,4.913
2025-05-01 00:00:00+00:00,4.945
2025-05-02 00:00:00+00:00,4.993
2025-05-03 00:00:00+00:00,4.717
2025-05-04 00:00:00+00:00,4.605
2025-05-05 00:00:00+00:00,4.605
2025-05-06 00:00:00+00:00,4.632
2025-05-07 00:00:00+00:00,4.649
2025-05-08 00:00:00+00:00,5.219
2025-05-09 00:00:00+00:00,5.449
2025-05-10 00:00:00+00:00,5.838
2025-05-11 00:00:00+00:00,5.763
