date,INJ/USDT
2025-03-17 00:00:00+00:00,9.96
2025-03-18 00:00:00+00:00,9.66
2025-03-19 00:00:00+00:00,10.23
2025-03-20 00:00:00+00:00,9.91
2025-03-21 00:00:00+00:00,9.69
2025-03-22 00:00:00+00:00,9.9
2025-03-23 00:00:00+00:00,9.95
2025-03-24 00:00:00+00:00,10.5
2025-03-25 00:00:00+00:00,10.66
2025-03-26 00:00:00+00:00,10.52
2025-03-27 00:00:00+00:00,10.33
2025-03-28 00:00:00+00:00,9.22
2025-03-29 00:00:00+00:00,8.66
2025-03-30 00:00:00+00:00,8.69
2025-03-31 00:00:00+00:00,8.72
2025-04-01 00:00:00+00:00,8.95
2025-04-02 00:00:00+00:00,8.34
2025-04-03 00:00:00+00:00,8.41
2025-04-04 00:00:00+00:00,8.31
2025-04-05 00:00:00+00:00,8.27
2025-04-06 00:00:00+00:00,7.07
2025-04-07 00:00:00+00:00,7.25
2025-04-08 00:00:00+00:00,6.96
2025-04-09 00:00:00+00:00,7.99
2025-04-10 00:00:00+00:00,7.83
2025-04-11 00:00:00+00:00,8.25
2025-04-12 00:00:00+00:00,8.39
2025-04-13 00:00:00+00:00,8.0
2025-04-14 00:00:00+00:00,8.0
2025-04-15 00:00:00+00:00,7.72
2025-04-16 00:00:00+00:00,7.66
2025-04-17 00:00:00+00:00,7.72
2025-04-18 00:00:00+00:00,7.9
2025-04-19 00:00:00+00:00,8.37
2025-04-20 00:00:00+00:00,8.53
2025-04-21 00:00:00+00:00,8.61
2025-04-22 00:00:00+00:00,9.39
2025-04-23 00:00:00+00:00,9.53
2025-04-24 00:00:00+00:00,10.1
2025-04-25 00:00:00+00:00,10.02
2025-04-26 00:00:00+00:00,10.3
2025-04-27 00:00:00+00:00,9.68
2025-04-28 00:00:00+00:00,9.98
2025-04-29 00:00:00+00:00,9.57
2025-04-30 00:00:00+00:00,9.64
2025-05-01 00:00:00+00:00,10.16
2025-05-02 00:00:00+00:00,10.27
2025-05-03 00:00:00+00:00,9.63
2025-05-04 00:00:00+00:00,9.28
2025-05-05 00:00:00+00:00,9.34
2025-05-06 00:00:00+00:00,9.24
2025-05-07 00:00:00+00:00,9.55
2025-05-08 00:00:00+00:00,11.19
2025-05-09 00:00:00+00:00,11.81
2025-05-10 00:00:00+00:00,13.45
2025-05-11 00:00:00+00:00,13.16
2025-05-12 00:00:00+00:00,13.76
2025-05-13 00:00:00+00:00,13.69
2025-05-14 00:00:00+00:00,13.22
2025-05-15 00:00:00+00:00,12.25
2025-05-16 00:00:00+00:00,11.95
2025-05-17 00:00:00+00:00,11.6
2025-05-18 00:00:00+00:00,12.34
2025-05-19 00:00:00+00:00,11.81
2025-05-20 00:00:00+00:00,12.12
2025-05-21 00:00:00+00:00,12.4
2025-05-22 00:00:00+00:00,14.05
2025-05-23 00:00:00+00:00,12.91
2025-05-24 00:00:00+00:00,13.31
2025-05-25 00:00:00+00:00,13.1
2025-05-26 00:00:00+00:00,13.75
2025-05-27 00:00:00+00:00,14.66
2025-05-28 00:00:00+00:00,15.03
2025-05-29 00:00:00+00:00,13.91
2025-05-30 00:00:00+00:00,12.19
2025-05-31 00:00:00+00:00,12.11
2025-06-01 00:00:00+00:00,12.14
2025-06-02 00:00:00+00:00,12.42
2025-06-03 00:00:00+00:00,12.5
2025-06-04 00:00:00+00:00,12.02
2025-06-05 00:00:00+00:00,11.29
2025-06-06 00:00:00+00:00,11.89
2025-06-07 00:00:00+00:00,13.08
2025-06-08 00:00:00+00:00,13.27
2025-06-09 00:00:00+00:00,13.76
2025-06-10 00:00:00+00:00,14.04
2025-06-11 00:00:00+00:00,13.28
2025-06-12 00:00:00+00:00,12.29
2025-06-13 00:00:00+00:00,11.76
2025-06-14 00:00:00+00:00,11.45
2025-06-15 00:00:00+00:00,11.44
2025-06-16 00:00:00+00:00,11.6
2025-06-17 00:00:00+00:00,10.96
2025-06-18 00:00:00+00:00,11.41
2025-06-19 00:00:00+00:00,11.41
2025-06-20 00:00:00+00:00,10.92
2025-06-21 00:00:00+00:00,10.1
2025-06-22 00:00:00+00:00,9.71
2025-06-23 00:00:00+00:00,10.89
2025-06-24 00:00:00+00:00,11.58
2025-06-25 00:00:00+00:00,11.09
2025-06-26 00:00:00+00:00,10.63
2025-06-27 00:00:00+00:00,10.53
2025-06-28 00:00:00+00:00,10.98
2025-06-29 00:00:00+00:00,11.44
2025-06-30 00:00:00+00:00,10.76
