date,LDO/USDT
2025-01-09 00:00:00+00:00,1.589
2025-01-10 00:00:00+00:00,1.624
2025-01-11 00:00:00+00:00,1.592
2025-01-12 00:00:00+00:00,1.561
2025-01-13 00:00:00+00:00,1.623
2025-01-14 00:00:00+00:00,1.845
2025-01-15 00:00:00+00:00,2.081
2025-01-16 00:00:00+00:00,1.966
2025-01-17 00:00:00+00:00,1.994
2025-01-18 00:00:00+00:00,1.771
2025-01-19 00:00:00+00:00,1.621
2025-01-20 00:00:00+00:00,1.823
2025-01-21 00:00:00+00:00,1.903
2025-01-22 00:00:00+00:00,1.856
2025-01-23 00:00:00+00:00,1.822
2025-01-24 00:00:00+00:00,2.003
2025-01-25 00:00:00+00:00,1.996
2025-01-26 00:00:00+00:00,2.086
2025-01-27 00:00:00+00:00,1.917
2025-01-28 00:00:00+00:00,1.779
2025-01-29 00:00:00+00:00,1.897
2025-01-30 00:00:00+00:00,2.099
2025-01-31 00:00:00+00:00,2.302
2025-02-01 00:00:00+00:00,2.038
2025-02-02 00:00:00+00:00,1.905
2025-02-03 00:00:00+00:00,1.859
2025-02-04 00:00:00+00:00,1.708
2025-02-05 00:00:00+00:00,1.692
2025-02-06 00:00:00+00:00,1.672
2025-02-07 00:00:00+00:00,1.562
2025-02-08 00:00:00+00:00,1.528
2025-02-09 00:00:00+00:00,1.5
2025-02-10 00:00:00+00:00,1.582
2025-02-11 00:00:00+00:00,1.587
2025-02-12 00:00:00+00:00,1.744
2025-02-13 00:00:00+00:00,1.684
2025-02-14 00:00:00+00:00,1.858
2025-02-15 00:00:00+00:00,1.812
2025-02-16 00:00:00+00:00,1.785
2025-02-17 00:00:00+00:00,1.867
2025-02-18 00:00:00+00:00,1.749
2025-02-19 00:00:00+00:00,1.719
2025-02-20 00:00:00+00:00,1.779
2025-02-21 00:00:00+00:00,1.606
2025-02-22 00:00:00+00:00,1.689
2025-02-23 00:00:00+00:00,1.698
2025-02-24 00:00:00+00:00,1.411
2025-02-25 00:00:00+00:00,1.409
2025-02-26 00:00:00+00:00,1.349
2025-02-27 00:00:00+00:00,1.351
2025-02-28 00:00:00+00:00,1.27
2025-03-01 00:00:00+00:00,1.249
2025-03-02 00:00:00+00:00,1.374
2025-03-03 00:00:00+00:00,1.1
2025-03-04 00:00:00+00:00,1.082
2025-03-05 00:00:00+00:00,1.177
2025-03-06 00:00:00+00:00,1.149
2025-03-07 00:00:00+00:00,1.069
2025-03-08 00:00:00+00:00,1.07
2025-03-09 00:00:00+00:00,0.99
2025-03-10 00:00:00+00:00,0.894
2025-03-11 00:00:00+00:00,0.924
2025-03-12 00:00:00+00:00,0.92
2025-03-13 00:00:00+00:00,0.901
2025-03-14 00:00:00+00:00,0.952
2025-03-15 00:00:00+00:00,0.963
2025-03-16 00:00:00+00:00,0.922
2025-03-17 00:00:00+00:00,0.962
2025-03-18 00:00:00+00:00,0.949
2025-03-19 00:00:00+00:00,1.039
2025-03-20 00:00:00+00:00,1.02
2025-03-21 00:00:00+00:00,0.992
2025-03-22 00:00:00+00:00,1.015
2025-03-23 00:00:00+00:00,1.04
2025-03-24 00:00:00+00:00,1.074
2025-03-25 00:00:00+00:00,1.06
2025-03-26 00:00:00+00:00,1.022
2025-03-27 00:00:00+00:00,1.015
2025-03-28 00:00:00+00:00,0.928
2025-03-29 00:00:00+00:00,0.873
2025-03-30 00:00:00+00:00,0.858
2025-03-31 00:00:00+00:00,0.874
2025-04-01 00:00:00+00:00,0.899
2025-04-02 00:00:00+00:00,0.811
2025-04-03 00:00:00+00:00,0.833
2025-04-04 00:00:00+00:00,0.838
2025-04-05 00:00:00+00:00,0.826
2025-04-06 00:00:00+00:00,0.693
2025-04-07 00:00:00+00:00,0.693
2025-04-08 00:00:00+00:00,0.63
2025-04-09 00:00:00+00:00,0.74
2025-04-10 00:00:00+00:00,0.713
2025-04-11 00:00:00+00:00,0.732
2025-04-12 00:00:00+00:00,0.757
2025-04-13 00:00:00+00:00,0.721
2025-04-14 00:00:00+00:00,0.706
2025-04-15 00:00:00+00:00,0.685
2025-04-16 00:00:00+00:00,0.686
2025-04-17 00:00:00+00:00,0.683
2025-04-18 00:00:00+00:00,0.699
2025-04-19 00:00:00+00:00,0.71
2025-04-20 00:00:00+00:00,0.716
2025-04-21 00:00:00+00:00,0.713
2025-04-22 00:00:00+00:00,0.783
2025-04-23 00:00:00+00:00,0.813
2025-04-24 00:00:00+00:00,0.837
2025-04-25 00:00:00+00:00,0.854
2025-04-26 00:00:00+00:00,0.87
2025-04-27 00:00:00+00:00,0.835
2025-04-28 00:00:00+00:00,0.839
2025-04-29 00:00:00+00:00,0.827
2025-04-30 00:00:00+00:00,0.83
2025-05-01 00:00:00+00:00,0.858
2025-05-02 00:00:00+00:00,0.86
2025-05-03 00:00:00+00:00,0.822
2025-05-04 00:00:00+00:00,0.799
2025-05-05 00:00:00+00:00,0.785
2025-05-06 00:00:00+00:00,0.778
2025-05-07 00:00:00+00:00,0.78
2025-05-08 00:00:00+00:00,0.965
2025-05-09 00:00:00+00:00,1.031
2025-05-10 00:00:00+00:00,1.164
2025-05-11 00:00:00+00:00,1.098
