date,LTC/USDT
2025-03-17 00:00:00+00:00,92.3
2025-03-18 00:00:00+00:00,90.03
2025-03-19 00:00:00+00:00,94.09
2025-03-20 00:00:00+00:00,93.29
2025-03-21 00:00:00+00:00,90.84
2025-03-22 00:00:00+00:00,91.37
2025-03-23 00:00:00+00:00,91.48
2025-03-24 00:00:00+00:00,93.77
2025-03-25 00:00:00+00:00,94.36
2025-03-26 00:00:00+00:00,92.42
2025-03-27 00:00:00+00:00,92.79
2025-03-28 00:00:00+00:00,87.35
2025-03-29 00:00:00+00:00,85.46
2025-03-30 00:00:00+00:00,86.1
2025-03-31 00:00:00+00:00,82.97
2025-04-01 00:00:00+00:00,84.48
2025-04-02 00:00:00+00:00,81.54
2025-04-03 00:00:00+00:00,83.45
2025-04-04 00:00:00+00:00,84.41
2025-04-05 00:00:00+00:00,82.67
2025-04-06 00:00:00+00:00,70.62
2025-04-07 00:00:00+00:00,70.99
2025-04-08 00:00:00+00:00,69.15
2025-04-09 00:00:00+00:00,76.03
2025-04-10 00:00:00+00:00,73.81
2025-04-11 00:00:00+00:00,76.19
2025-04-12 00:00:00+00:00,78.62
2025-04-13 00:00:00+00:00,77.85
2025-04-14 00:00:00+00:00,77.18
2025-04-15 00:00:00+00:00,75.27
2025-04-16 00:00:00+00:00,74.33
2025-04-17 00:00:00+00:00,74.95
2025-04-18 00:00:00+00:00,76.0
2025-04-19 00:00:00+00:00,76.1
2025-04-20 00:00:00+00:00,77.79
2025-04-21 00:00:00+00:00,78.15
2025-04-22 00:00:00+00:00,83.49
2025-04-23 00:00:00+00:00,83.28
2025-04-24 00:00:00+00:00,84.29
2025-04-25 00:00:00+00:00,86.28
2025-04-26 00:00:00+00:00,87.06
2025-04-27 00:00:00+00:00,85.39
2025-04-28 00:00:00+00:00,85.67
2025-04-29 00:00:00+00:00,85.57
2025-04-30 00:00:00+00:00,83.51
2025-05-01 00:00:00+00:00,88.85
2025-05-02 00:00:00+00:00,87.97
2025-05-03 00:00:00+00:00,86.55
2025-05-04 00:00:00+00:00,85.05
2025-05-05 00:00:00+00:00,83.25
2025-05-06 00:00:00+00:00,91.6
2025-05-07 00:00:00+00:00,89.53
2025-05-08 00:00:00+00:00,94.99
2025-05-09 00:00:00+00:00,100.52
2025-05-10 00:00:00+00:00,105.27
2025-05-11 00:00:00+00:00,100.12
2025-05-12 00:00:00+00:00,103.84
2025-05-13 00:00:00+00:00,103.41
2025-05-14 00:00:00+00:00,100.95
2025-05-15 00:00:00+00:00,99.26
2025-05-16 00:00:00+00:00,99.48
2025-05-17 00:00:00+00:00,96.06
2025-05-18 00:00:00+00:00,100.94
2025-05-19 00:00:00+00:00,98.25
2025-05-20 00:00:00+00:00,94.46
2025-05-21 00:00:00+00:00,97.09
2025-05-22 00:00:00+00:00,100.26
2025-05-23 00:00:00+00:00,95.26
2025-05-24 00:00:00+00:00,95.63
2025-05-25 00:00:00+00:00,95.6
2025-05-26 00:00:00+00:00,95.02
2025-05-27 00:00:00+00:00,95.9
2025-05-28 00:00:00+00:00,95.37
2025-05-29 00:00:00+00:00,93.21
2025-05-30 00:00:00+00:00,85.64
2025-05-31 00:00:00+00:00,87.03
2025-06-01 00:00:00+00:00,88.39
2025-06-02 00:00:00+00:00,89.52
2025-06-03 00:00:00+00:00,89.5
2025-06-04 00:00:00+00:00,87.99
2025-06-05 00:00:00+00:00,83.58
2025-06-06 00:00:00+00:00,87.25
2025-06-07 00:00:00+00:00,88.31
2025-06-08 00:00:00+00:00,87.18
2025-06-09 00:00:00+00:00,90.73
2025-06-10 00:00:00+00:00,93.33
2025-06-11 00:00:00+00:00,91.56
2025-06-12 00:00:00+00:00,86.13
2025-06-13 00:00:00+00:00,86.55
2025-06-14 00:00:00+00:00,85.18
2025-06-15 00:00:00+00:00,86.3
2025-06-16 00:00:00+00:00,86.67
