date,MANA/USDT
2025-03-17 00:00:00+00:00,0.2765
2025-03-18 00:00:00+00:00,0.2696
2025-03-19 00:00:00+00:00,0.2777
2025-03-20 00:00:00+00:00,0.269
2025-03-21 00:00:00+00:00,0.2615
2025-03-22 00:00:00+00:00,0.2623
2025-03-23 00:00:00+00:00,0.2649
2025-03-24 00:00:00+00:00,0.2796
2025-03-25 00:00:00+00:00,0.2826
2025-03-26 00:00:00+00:00,0.2811
2025-03-27 00:00:00+00:00,0.2829
2025-03-28 00:00:00+00:00,0.2574
2025-03-29 00:00:00+00:00,0.2448
2025-03-30 00:00:00+00:00,0.2471
2025-03-31 00:00:00+00:00,0.2443
2025-04-01 00:00:00+00:00,0.2561
2025-04-02 00:00:00+00:00,0.2357
2025-04-03 00:00:00+00:00,0.2404
2025-04-04 00:00:00+00:00,0.2425
2025-04-05 00:00:00+00:00,0.2453
2025-04-06 00:00:00+00:00,0.2114
2025-04-07 00:00:00+00:00,0.2127
2025-04-08 00:00:00+00:00,0.2058
2025-04-09 00:00:00+00:00,0.228
2025-04-10 00:00:00+00:00,0.2406
2025-04-11 00:00:00+00:00,0.2504
2025-04-12 00:00:00+00:00,0.2692
2025-04-13 00:00:00+00:00,0.268
2025-04-14 00:00:00+00:00,0.2759
2025-04-15 00:00:00+00:00,0.2686
2025-04-16 00:00:00+00:00,0.2663
2025-04-17 00:00:00+00:00,0.2672
2025-04-18 00:00:00+00:00,0.2737
2025-04-19 00:00:00+00:00,0.2818
2025-04-20 00:00:00+00:00,0.2859
2025-04-21 00:00:00+00:00,0.3024
2025-04-22 00:00:00+00:00,0.3114
2025-04-23 00:00:00+00:00,0.3148
2025-04-24 00:00:00+00:00,0.324
2025-04-25 00:00:00+00:00,0.3293
2025-04-26 00:00:00+00:00,0.3266
2025-04-27 00:00:00+00:00,0.3067
2025-04-28 00:00:00+00:00,0.3194
2025-04-29 00:00:00+00:00,0.308
2025-04-30 00:00:00+00:00,0.3158
2025-05-01 00:00:00+00:00,0.3157
2025-05-02 00:00:00+00:00,0.3168
2025-05-03 00:00:00+00:00,0.3001
2025-05-04 00:00:00+00:00,0.2912
2025-05-05 00:00:00+00:00,0.2982
2025-05-06 00:00:00+00:00,0.2919
2025-05-07 00:00:00+00:00,0.2983
2025-05-08 00:00:00+00:00,0.3316
2025-05-09 00:00:00+00:00,0.3525
2025-05-10 00:00:00+00:00,0.3843
2025-05-11 00:00:00+00:00,0.3666
2025-05-12 00:00:00+00:00,0.3671
2025-05-13 00:00:00+00:00,0.3764
2025-05-14 00:00:00+00:00,0.3592
2025-05-15 00:00:00+00:00,0.3412
2025-05-16 00:00:00+00:00,0.3361
2025-05-17 00:00:00+00:00,0.3259
2025-05-18 00:00:00+00:00,0.342
2025-05-19 00:00:00+00:00,0.3243
2025-05-20 00:00:00+00:00,0.3229
2025-05-21 00:00:00+00:00,0.3212
2025-05-22 00:00:00+00:00,0.3424
2025-05-23 00:00:00+00:00,0.3129
2025-05-24 00:00:00+00:00,0.3098
2025-05-25 00:00:00+00:00,0.3146
2025-05-26 00:00:00+00:00,0.3076
2025-05-27 00:00:00+00:00,0.3133
2025-05-28 00:00:00+00:00,0.3086
2025-05-29 00:00:00+00:00,0.2938
2025-05-30 00:00:00+00:00,0.2709
2025-05-31 00:00:00+00:00,0.2736
2025-06-01 00:00:00+00:00,0.2768
2025-06-02 00:00:00+00:00,0.2839
2025-06-03 00:00:00+00:00,0.2825
