date,ME/USDT
2024-12-10 00:00:00+00:00,5.671
2024-12-11 00:00:00+00:00,5.428
2024-12-12 00:00:00+00:00,4.488
2024-12-13 00:00:00+00:00,4.268
2024-12-14 00:00:00+00:00,3.891
2024-12-15 00:00:00+00:00,3.851
2024-12-16 00:00:00+00:00,3.546
2024-12-17 00:00:00+00:00,3.038
2024-12-18 00:00:00+00:00,2.793
2024-12-19 00:00:00+00:00,2.765
2024-12-20 00:00:00+00:00,3.492
2024-12-21 00:00:00+00:00,3.143
2024-12-22 00:00:00+00:00,3.1
2024-12-23 00:00:00+00:00,3.11
2024-12-24 00:00:00+00:00,3.187
2024-12-25 00:00:00+00:00,3.466
2024-12-26 00:00:00+00:00,3.938
2024-12-27 00:00:00+00:00,4.028
2024-12-28 00:00:00+00:00,3.5
2024-12-29 00:00:00+00:00,3.409
2024-12-30 00:00:00+00:00,3.186
2024-12-31 00:00:00+00:00,3.108
2025-01-01 00:00:00+00:00,3.181
2025-01-02 00:00:00+00:00,3.238
2025-01-03 00:00:00+00:00,3.369
2025-01-04 00:00:00+00:00,3.352
2025-01-05 00:00:00+00:00,3.451
2025-01-06 00:00:00+00:00,3.368
2025-01-07 00:00:00+00:00,3.017
2025-01-08 00:00:00+00:00,2.832
2025-01-09 00:00:00+00:00,2.68
2025-01-10 00:00:00+00:00,2.78
2025-01-11 00:00:00+00:00,2.797
2025-01-12 00:00:00+00:00,2.701
2025-01-13 00:00:00+00:00,2.529
2025-01-14 00:00:00+00:00,2.597
2025-01-15 00:00:00+00:00,2.714
2025-01-16 00:00:00+00:00,2.576
2025-01-17 00:00:00+00:00,2.674
2025-01-18 00:00:00+00:00,2.475
2025-01-19 00:00:00+00:00,2.108
2025-01-20 00:00:00+00:00,2.06
2025-01-21 00:00:00+00:00,2.098
2025-01-22 00:00:00+00:00,2.047
2025-01-23 00:00:00+00:00,2.094
2025-01-24 00:00:00+00:00,1.984
2025-01-25 00:00:00+00:00,1.999
2025-01-26 00:00:00+00:00,1.934
2025-01-27 00:00:00+00:00,1.892
2025-01-28 00:00:00+00:00,1.757
