date,NEAR/USDT
2025-03-17 00:00:00+00:00,2.637
2025-03-18 00:00:00+00:00,2.586
2025-03-19 00:00:00+00:00,2.791
2025-03-20 00:00:00+00:00,2.741
2025-03-21 00:00:00+00:00,2.715
2025-03-22 00:00:00+00:00,2.732
2025-03-23 00:00:00+00:00,2.778
2025-03-24 00:00:00+00:00,2.921
2025-03-25 00:00:00+00:00,3.026
2025-03-26 00:00:00+00:00,2.984
2025-03-27 00:00:00+00:00,3.013
2025-03-28 00:00:00+00:00,2.734
2025-03-29 00:00:00+00:00,2.566
2025-03-30 00:00:00+00:00,2.593
2025-03-31 00:00:00+00:00,2.509
2025-04-01 00:00:00+00:00,2.649
2025-04-02 00:00:00+00:00,2.449
2025-04-03 00:00:00+00:00,2.509
2025-04-04 00:00:00+00:00,2.508
2025-04-05 00:00:00+00:00,2.443
2025-04-06 00:00:00+00:00,2.162
2025-04-07 00:00:00+00:00,2.118
2025-04-08 00:00:00+00:00,1.908
2025-04-09 00:00:00+00:00,2.102
2025-04-10 00:00:00+00:00,2.004
2025-04-11 00:00:00+00:00,2.089
2025-04-12 00:00:00+00:00,2.212
2025-04-13 00:00:00+00:00,2.094
2025-04-14 00:00:00+00:00,2.115
2025-04-15 00:00:00+00:00,2.039
2025-04-16 00:00:00+00:00,1.967
2025-04-17 00:00:00+00:00,2.052
2025-04-18 00:00:00+00:00,2.056
2025-04-19 00:00:00+00:00,2.182
2025-04-20 00:00:00+00:00,2.243
2025-04-21 00:00:00+00:00,2.217
2025-04-22 00:00:00+00:00,2.404
2025-04-23 00:00:00+00:00,2.47
2025-04-24 00:00:00+00:00,2.544
2025-04-25 00:00:00+00:00,2.619
2025-04-26 00:00:00+00:00,2.623
2025-04-27 00:00:00+00:00,2.488
2025-04-28 00:00:00+00:00,2.584
2025-04-29 00:00:00+00:00,2.529
2025-04-30 00:00:00+00:00,2.463
2025-05-01 00:00:00+00:00,2.542
2025-05-02 00:00:00+00:00,2.51
2025-05-03 00:00:00+00:00,2.422
2025-05-04 00:00:00+00:00,2.322
2025-05-05 00:00:00+00:00,2.315
2025-05-06 00:00:00+00:00,2.329
2025-05-07 00:00:00+00:00,2.284
2025-05-08 00:00:00+00:00,2.736
2025-05-09 00:00:00+00:00,2.901
2025-05-10 00:00:00+00:00,3.35
2025-05-11 00:00:00+00:00,3.14
2025-05-12 00:00:00+00:00,3.187
2025-05-13 00:00:00+00:00,3.21
2025-05-14 00:00:00+00:00,3.051
2025-05-15 00:00:00+00:00,2.882
2025-05-16 00:00:00+00:00,2.795
2025-05-17 00:00:00+00:00,2.693
2025-05-18 00:00:00+00:00,2.866
2025-05-19 00:00:00+00:00,2.769
2025-05-20 00:00:00+00:00,2.813
2025-05-21 00:00:00+00:00,2.863
