date,OG/USDT
2024-11-03 00:00:00+00:00,5.588
2024-11-04 00:00:00+00:00,5.495
2024-11-05 00:00:00+00:00,5.547
2024-11-06 00:00:00+00:00,5.746
2024-11-07 00:00:00+00:00,6.677
2024-11-08 00:00:00+00:00,6.103
2024-11-09 00:00:00+00:00,6.111
2024-11-10 00:00:00+00:00,6.174
2024-11-11 00:00:00+00:00,6.034
2024-11-12 00:00:00+00:00,5.584
2024-11-13 00:00:00+00:00,5.146
2024-11-14 00:00:00+00:00,4.942
2024-11-15 00:00:00+00:00,5.103
2024-11-16 00:00:00+00:00,5.225
2024-11-17 00:00:00+00:00,5.233
2024-11-18 00:00:00+00:00,5.231
2024-11-19 00:00:00+00:00,5.088
2024-11-20 00:00:00+00:00,4.797
2024-11-21 00:00:00+00:00,4.959
2024-11-22 00:00:00+00:00,4.866
2024-11-23 00:00:00+00:00,5.01
2024-11-24 00:00:00+00:00,5.087
2024-11-25 00:00:00+00:00,5.682
2024-11-26 00:00:00+00:00,5.923
2024-11-27 00:00:00+00:00,5.681
2024-11-28 00:00:00+00:00,5.527
2024-11-29 00:00:00+00:00,5.583
2024-11-30 00:00:00+00:00,5.684
2024-12-01 00:00:00+00:00,5.745
2024-12-02 00:00:00+00:00,5.564
2024-12-03 00:00:00+00:00,5.725
2024-12-04 00:00:00+00:00,5.811
2024-12-05 00:00:00+00:00,5.761
2024-12-06 00:00:00+00:00,5.873
2024-12-07 00:00:00+00:00,5.968
2024-12-08 00:00:00+00:00,6.03
2024-12-09 00:00:00+00:00,5.225
2024-12-10 00:00:00+00:00,5.047
2024-12-11 00:00:00+00:00,5.294
2024-12-12 00:00:00+00:00,5.456
2024-12-13 00:00:00+00:00,5.376
2024-12-14 00:00:00+00:00,5.272
2024-12-15 00:00:00+00:00,5.259
2024-12-16 00:00:00+00:00,5.294
2024-12-17 00:00:00+00:00,5.469
2024-12-18 00:00:00+00:00,4.931
2024-12-19 00:00:00+00:00,4.769
2024-12-20 00:00:00+00:00,4.807
2024-12-21 00:00:00+00:00,4.689
2024-12-22 00:00:00+00:00,4.628
2024-12-23 00:00:00+00:00,4.836
2024-12-24 00:00:00+00:00,4.944
2024-12-25 00:00:00+00:00,5.147
2024-12-26 00:00:00+00:00,4.829
2024-12-27 00:00:00+00:00,4.73
2024-12-28 00:00:00+00:00,4.9
2024-12-29 00:00:00+00:00,4.754
2024-12-30 00:00:00+00:00,4.905
2024-12-31 00:00:00+00:00,4.761
2025-01-01 00:00:00+00:00,4.825
2025-01-02 00:00:00+00:00,4.889
2025-01-03 00:00:00+00:00,5.029
2025-01-04 00:00:00+00:00,4.93
2025-01-05 00:00:00+00:00,4.948
2025-01-06 00:00:00+00:00,5.012
2025-01-07 00:00:00+00:00,4.767
2025-01-08 00:00:00+00:00,4.714
2025-01-09 00:00:00+00:00,4.675
2025-01-10 00:00:00+00:00,4.661
2025-01-11 00:00:00+00:00,4.665
2025-01-12 00:00:00+00:00,4.62
2025-01-13 00:00:00+00:00,4.546
2025-01-14 00:00:00+00:00,4.689
2025-01-15 00:00:00+00:00,4.824
2025-01-16 00:00:00+00:00,4.875
2025-01-17 00:00:00+00:00,4.865
2025-01-18 00:00:00+00:00,4.602
2025-01-19 00:00:00+00:00,4.06
2025-01-20 00:00:00+00:00,3.986
2025-01-21 00:00:00+00:00,4.012
2025-01-22 00:00:00+00:00,4.103
2025-01-23 00:00:00+00:00,4.052
2025-01-24 00:00:00+00:00,3.926
2025-01-25 00:00:00+00:00,3.889
2025-01-26 00:00:00+00:00,3.827
2025-01-27 00:00:00+00:00,3.763
2025-01-28 00:00:00+00:00,4.148
2025-01-29 00:00:00+00:00,4.184
2025-01-30 00:00:00+00:00,4.033
2025-01-31 00:00:00+00:00,4.07
2025-02-01 00:00:00+00:00,3.817
2025-02-02 00:00:00+00:00,3.766
2025-02-03 00:00:00+00:00,3.713
2025-02-04 00:00:00+00:00,3.628
2025-02-05 00:00:00+00:00,3.49
2025-02-06 00:00:00+00:00,3.32
2025-02-07 00:00:00+00:00,3.342
2025-02-08 00:00:00+00:00,3.469
2025-02-09 00:00:00+00:00,3.478
2025-02-10 00:00:00+00:00,3.598
2025-02-11 00:00:00+00:00,3.691
2025-02-12 00:00:00+00:00,3.853
2025-02-13 00:00:00+00:00,3.761
2025-02-14 00:00:00+00:00,4.157
2025-02-15 00:00:00+00:00,3.931
2025-02-16 00:00:00+00:00,3.913
