date,PENDLE/USDT
2025-01-09 00:00:00+00:00,3.933
2025-01-10 00:00:00+00:00,3.937
2025-01-11 00:00:00+00:00,3.933
2025-01-12 00:00:00+00:00,3.953
2025-01-13 00:00:00+00:00,3.729
2025-01-14 00:00:00+00:00,3.836
2025-01-15 00:00:00+00:00,4.036
2025-01-16 00:00:00+00:00,3.801
2025-01-17 00:00:00+00:00,4.35
2025-01-18 00:00:00+00:00,4.019
2025-01-19 00:00:00+00:00,3.666
2025-01-20 00:00:00+00:00,3.736
2025-01-21 00:00:00+00:00,3.794
2025-01-22 00:00:00+00:00,3.595
2025-01-23 00:00:00+00:00,3.595
2025-01-24 00:00:00+00:00,3.658
2025-01-25 00:00:00+00:00,3.7
2025-01-26 00:00:00+00:00,3.668
2025-01-27 00:00:00+00:00,3.513
2025-01-28 00:00:00+00:00,3.144
2025-01-29 00:00:00+00:00,3.285
2025-01-30 00:00:00+00:00,3.564
2025-01-31 00:00:00+00:00,3.735
2025-02-01 00:00:00+00:00,3.263
2025-02-02 00:00:00+00:00,2.676
2025-02-03 00:00:00+00:00,3.113
2025-02-04 00:00:00+00:00,2.804
2025-02-05 00:00:00+00:00,3.003
2025-02-06 00:00:00+00:00,2.89
2025-02-07 00:00:00+00:00,3.151
2025-02-08 00:00:00+00:00,3.24
2025-02-09 00:00:00+00:00,3.181
2025-02-10 00:00:00+00:00,3.471
2025-02-11 00:00:00+00:00,3.614
2025-02-12 00:00:00+00:00,3.598
2025-02-13 00:00:00+00:00,3.404
2025-02-14 00:00:00+00:00,3.68
2025-02-15 00:00:00+00:00,3.627
2025-02-16 00:00:00+00:00,3.543
2025-02-17 00:00:00+00:00,3.444
2025-02-18 00:00:00+00:00,3.231
2025-02-19 00:00:00+00:00,3.289
2025-02-20 00:00:00+00:00,3.549
2025-02-21 00:00:00+00:00,3.394
2025-02-22 00:00:00+00:00,3.496
2025-02-23 00:00:00+00:00,3.416
2025-02-24 00:00:00+00:00,2.941
2025-02-25 00:00:00+00:00,2.892
2025-02-26 00:00:00+00:00,2.749
2025-02-27 00:00:00+00:00,2.942
2025-02-28 00:00:00+00:00,2.872
2025-03-01 00:00:00+00:00,2.854
2025-03-02 00:00:00+00:00,3.081
2025-03-03 00:00:00+00:00,2.467
2025-03-04 00:00:00+00:00,2.471
2025-03-05 00:00:00+00:00,2.522
2025-03-06 00:00:00+00:00,2.444
2025-03-07 00:00:00+00:00,2.419
2025-03-08 00:00:00+00:00,2.391
2025-03-09 00:00:00+00:00,2.063
2025-03-10 00:00:00+00:00,1.91
2025-03-11 00:00:00+00:00,2.079
2025-03-12 00:00:00+00:00,2.075
2025-03-13 00:00:00+00:00,2.033
2025-03-14 00:00:00+00:00,2.121
2025-03-15 00:00:00+00:00,2.194
2025-03-16 00:00:00+00:00,2.064
2025-03-17 00:00:00+00:00,2.318
2025-03-18 00:00:00+00:00,2.396
2025-03-19 00:00:00+00:00,2.526
2025-03-20 00:00:00+00:00,2.511
2025-03-21 00:00:00+00:00,2.506
2025-03-22 00:00:00+00:00,2.641
2025-03-23 00:00:00+00:00,2.676
2025-03-24 00:00:00+00:00,2.851
2025-03-25 00:00:00+00:00,2.937
2025-03-26 00:00:00+00:00,2.892
2025-03-27 00:00:00+00:00,2.875
2025-03-28 00:00:00+00:00,2.708
2025-03-29 00:00:00+00:00,2.502
2025-03-30 00:00:00+00:00,2.528
2025-03-31 00:00:00+00:00,2.717
2025-04-01 00:00:00+00:00,3.036
2025-04-02 00:00:00+00:00,2.965
2025-04-03 00:00:00+00:00,3.184
2025-04-04 00:00:00+00:00,3.192
2025-04-05 00:00:00+00:00,3.062
2025-04-06 00:00:00+00:00,2.642
2025-04-07 00:00:00+00:00,2.862
2025-04-08 00:00:00+00:00,2.716
2025-04-09 00:00:00+00:00,3.348
2025-04-10 00:00:00+00:00,3.176
2025-04-11 00:00:00+00:00,3.255
2025-04-12 00:00:00+00:00,3.456
2025-04-13 00:00:00+00:00,3.22
2025-04-14 00:00:00+00:00,3.107
2025-04-15 00:00:00+00:00,3.046
2025-04-16 00:00:00+00:00,3.145
2025-04-17 00:00:00+00:00,3.109
2025-04-18 00:00:00+00:00,3.173
2025-04-19 00:00:00+00:00,3.173
2025-04-20 00:00:00+00:00,3.115
2025-04-21 00:00:00+00:00,3.238
2025-04-22 00:00:00+00:00,3.46
2025-04-23 00:00:00+00:00,3.269
2025-04-24 00:00:00+00:00,3.437
2025-04-25 00:00:00+00:00,3.56
2025-04-26 00:00:00+00:00,3.458
2025-04-27 00:00:00+00:00,3.299
2025-04-28 00:00:00+00:00,3.373
2025-04-29 00:00:00+00:00,3.323
2025-04-30 00:00:00+00:00,3.442
2025-05-01 00:00:00+00:00,3.515
2025-05-02 00:00:00+00:00,3.615
2025-05-03 00:00:00+00:00,3.333
2025-05-04 00:00:00+00:00,3.214
2025-05-05 00:00:00+00:00,3.235
2025-05-06 00:00:00+00:00,3.21
