date,PIVX/USDT
2025-03-17 00:00:00+00:00,0.167
2025-03-18 00:00:00+00:00,0.1665
2025-03-19 00:00:00+00:00,0.1715
2025-03-20 00:00:00+00:00,0.1679
2025-03-21 00:00:00+00:00,0.1627
2025-03-22 00:00:00+00:00,0.1675
2025-03-23 00:00:00+00:00,0.1641
2025-03-24 00:00:00+00:00,0.1705
2025-03-25 00:00:00+00:00,0.1696
2025-03-26 00:00:00+00:00,0.163
2025-03-27 00:00:00+00:00,0.1577
2025-03-28 00:00:00+00:00,0.1456
2025-03-29 00:00:00+00:00,0.1395
2025-03-30 00:00:00+00:00,0.1376
2025-03-31 00:00:00+00:00,0.1403
2025-04-01 00:00:00+00:00,0.1361
2025-04-02 00:00:00+00:00,0.1294
2025-04-03 00:00:00+00:00,0.1244
2025-04-04 00:00:00+00:00,0.1247
2025-04-05 00:00:00+00:00,0.1244
2025-04-06 00:00:00+00:00,0.1121
2025-04-07 00:00:00+00:00,0.1161
2025-04-08 00:00:00+00:00,0.1086
2025-04-09 00:00:00+00:00,0.1242
2025-04-10 00:00:00+00:00,0.1199
2025-04-11 00:00:00+00:00,0.1237
2025-04-12 00:00:00+00:00,0.1269
2025-04-13 00:00:00+00:00,0.1174
2025-04-14 00:00:00+00:00,0.117
2025-04-15 00:00:00+00:00,0.1163
2025-04-16 00:00:00+00:00,0.1144
2025-04-17 00:00:00+00:00,0.1175
2025-04-18 00:00:00+00:00,0.1224
2025-04-19 00:00:00+00:00,0.1273
2025-04-20 00:00:00+00:00,0.13
2025-04-21 00:00:00+00:00,0.1319
2025-04-22 00:00:00+00:00,0.1392
2025-04-23 00:00:00+00:00,0.1427
2025-04-24 00:00:00+00:00,0.1438
2025-04-25 00:00:00+00:00,0.148
2025-04-26 00:00:00+00:00,0.1516
2025-04-27 00:00:00+00:00,0.1423
2025-04-28 00:00:00+00:00,0.1444
2025-04-29 00:00:00+00:00,0.1381
2025-04-30 00:00:00+00:00,0.1602
2025-05-01 00:00:00+00:00,0.1817
2025-05-02 00:00:00+00:00,0.1783
2025-05-03 00:00:00+00:00,0.1752
2025-05-04 00:00:00+00:00,0.1669
2025-05-05 00:00:00+00:00,0.1694
2025-05-06 00:00:00+00:00,0.1615
2025-05-07 00:00:00+00:00,0.1605
2025-05-08 00:00:00+00:00,0.1709
2025-05-09 00:00:00+00:00,0.1772
2025-05-10 00:00:00+00:00,0.1829
2025-05-11 00:00:00+00:00,0.1777
2025-05-12 00:00:00+00:00,0.1775
2025-05-13 00:00:00+00:00,0.1799
2025-05-14 00:00:00+00:00,0.1732
2025-05-15 00:00:00+00:00,0.1589
2025-05-16 00:00:00+00:00,0.1608
2025-05-17 00:00:00+00:00,0.1593
2025-05-18 00:00:00+00:00,0.1616
2025-05-19 00:00:00+00:00,0.1582
2025-05-20 00:00:00+00:00,0.1615
2025-05-21 00:00:00+00:00,0.1611
2025-05-22 00:00:00+00:00,0.166
2025-05-23 00:00:00+00:00,0.1535
2025-05-24 00:00:00+00:00,0.1536
2025-05-25 00:00:00+00:00,0.1522
2025-05-26 00:00:00+00:00,0.1487
2025-05-27 00:00:00+00:00,0.1536
2025-05-28 00:00:00+00:00,0.1524
