date,QNT/USDT
2025-01-09 00:00:00+00:00,102.5
2025-01-10 00:00:00+00:00,103.7
2025-01-11 00:00:00+00:00,107.7
2025-01-12 00:00:00+00:00,104.5
2025-01-13 00:00:00+00:00,101.8
2025-01-14 00:00:00+00:00,105.0
2025-01-15 00:00:00+00:00,120.5
2025-01-16 00:00:00+00:00,119.0
2025-01-17 00:00:00+00:00,121.5
2025-01-18 00:00:00+00:00,115.3
2025-01-19 00:00:00+00:00,103.9
2025-01-20 00:00:00+00:00,105.2
2025-01-21 00:00:00+00:00,116.1
2025-01-22 00:00:00+00:00,112.9
2025-01-23 00:00:00+00:00,108.2
2025-01-24 00:00:00+00:00,106.5
2025-01-25 00:00:00+00:00,107.1
2025-01-26 00:00:00+00:00,105.1
2025-01-27 00:00:00+00:00,101.1
2025-01-28 00:00:00+00:00,97.0
2025-01-29 00:00:00+00:00,101.6
2025-01-30 00:00:00+00:00,110.7
2025-01-31 00:00:00+00:00,112.0
2025-02-01 00:00:00+00:00,103.3
2025-02-02 00:00:00+00:00,89.2
2025-02-03 00:00:00+00:00,96.4
2025-02-04 00:00:00+00:00,91.3
2025-02-05 00:00:00+00:00,88.8
2025-02-06 00:00:00+00:00,84.1
2025-02-07 00:00:00+00:00,87.4
2025-02-08 00:00:00+00:00,86.4
2025-02-09 00:00:00+00:00,87.0
2025-02-10 00:00:00+00:00,88.5
2025-02-11 00:00:00+00:00,88.6
2025-02-12 00:00:00+00:00,92.8
2025-02-13 00:00:00+00:00,91.4
2025-02-14 00:00:00+00:00,95.1
2025-02-15 00:00:00+00:00,94.4
2025-02-16 00:00:00+00:00,94.5
2025-02-17 00:00:00+00:00,97.2
2025-02-18 00:00:00+00:00,95.6
2025-02-19 00:00:00+00:00,98.1
2025-02-20 00:00:00+00:00,98.8
2025-02-21 00:00:00+00:00,94.8
2025-02-22 00:00:00+00:00,96.3
2025-02-23 00:00:00+00:00,94.9
2025-02-24 00:00:00+00:00,85.2
2025-02-25 00:00:00+00:00,100.8
2025-02-26 00:00:00+00:00,101.5
2025-02-27 00:00:00+00:00,97.4
2025-02-28 00:00:00+00:00,96.4
2025-03-01 00:00:00+00:00,92.2
2025-03-02 00:00:00+00:00,98.3
2025-03-03 00:00:00+00:00,87.6
2025-03-04 00:00:00+00:00,88.0
2025-03-05 00:00:00+00:00,88.4
2025-03-06 00:00:00+00:00,84.2
2025-03-07 00:00:00+00:00,78.8
2025-03-08 00:00:00+00:00,85.1
2025-03-09 00:00:00+00:00,76.8
2025-03-10 00:00:00+00:00,71.1
2025-03-11 00:00:00+00:00,76.1
2025-03-12 00:00:00+00:00,76.5
2025-03-13 00:00:00+00:00,75.1
2025-03-14 00:00:00+00:00,75.9
2025-03-15 00:00:00+00:00,78.8
2025-03-16 00:00:00+00:00,76.9
2025-03-17 00:00:00+00:00,77.6
2025-03-18 00:00:00+00:00,78.2
2025-03-19 00:00:00+00:00,80.1
2025-03-20 00:00:00+00:00,76.9
2025-03-21 00:00:00+00:00,76.0
2025-03-22 00:00:00+00:00,77.2
2025-03-23 00:00:00+00:00,77.0
2025-03-24 00:00:00+00:00,79.4
2025-03-25 00:00:00+00:00,79.3
2025-03-26 00:00:00+00:00,76.6
2025-03-27 00:00:00+00:00,75.9
2025-03-28 00:00:00+00:00,71.5
2025-03-29 00:00:00+00:00,69.2
2025-03-30 00:00:00+00:00,69.5
2025-03-31 00:00:00+00:00,68.7
2025-04-01 00:00:00+00:00,70.3
2025-04-02 00:00:00+00:00,66.2
2025-04-03 00:00:00+00:00,68.2
2025-04-04 00:00:00+00:00,68.1
2025-04-05 00:00:00+00:00,68.1
2025-04-06 00:00:00+00:00,64.5
2025-04-07 00:00:00+00:00,63.6
2025-04-08 00:00:00+00:00,59.9
2025-04-09 00:00:00+00:00,66.7
2025-04-10 00:00:00+00:00,64.1
2025-04-11 00:00:00+00:00,65.1
2025-04-12 00:00:00+00:00,68.6
2025-04-13 00:00:00+00:00,67.1
2025-04-14 00:00:00+00:00,65.2
2025-04-15 00:00:00+00:00,64.7
2025-04-16 00:00:00+00:00,64.4
2025-04-17 00:00:00+00:00,65.5
2025-04-18 00:00:00+00:00,63.4
2025-04-19 00:00:00+00:00,65.8
2025-04-20 00:00:00+00:00,66.7
2025-04-21 00:00:00+00:00,66.4
2025-04-22 00:00:00+00:00,69.1
2025-04-23 00:00:00+00:00,72.6
2025-04-24 00:00:00+00:00,75.1
2025-04-25 00:00:00+00:00,74.6
2025-04-26 00:00:00+00:00,76.6
2025-04-27 00:00:00+00:00,74.1
2025-04-28 00:00:00+00:00,75.8
2025-04-29 00:00:00+00:00,75.1
2025-04-30 00:00:00+00:00,75.0
2025-05-01 00:00:00+00:00,82.5
2025-05-02 00:00:00+00:00,85.2
2025-05-03 00:00:00+00:00,83.8
2025-05-04 00:00:00+00:00,90.1
2025-05-05 00:00:00+00:00,84.3
2025-05-06 00:00:00+00:00,86.8
2025-05-07 00:00:00+00:00,90.0
2025-05-08 00:00:00+00:00,95.4
2025-05-09 00:00:00+00:00,95.1
2025-05-10 00:00:00+00:00,101.7
2025-05-11 00:00:00+00:00,98.8
2025-05-12 00:00:00+00:00,98.2
2025-05-13 00:00:00+00:00,98.5
2025-05-14 00:00:00+00:00,99.9
2025-05-15 00:00:00+00:00,96.5
2025-05-16 00:00:00+00:00,91.95
2025-05-17 00:00:00+00:00,91.19
2025-05-18 00:00:00+00:00,96.81
2025-05-19 00:00:00+00:00,93.42
2025-05-20 00:00:00+00:00,96.62
2025-05-21 00:00:00+00:00,98.08
2025-05-22 00:00:00+00:00,98.11
2025-05-23 00:00:00+00:00,94.01
2025-05-24 00:00:00+00:00,95.6
2025-05-25 00:00:00+00:00,94.89
2025-05-26 00:00:00+00:00,104.77
2025-05-27 00:00:00+00:00,111.53
2025-05-28 00:00:00+00:00,117.22
2025-05-29 00:00:00+00:00,113.7
2025-05-30 00:00:00+00:00,105.7
2025-05-31 00:00:00+00:00,107.85
2025-06-01 00:00:00+00:00,106.55
2025-06-02 00:00:00+00:00,107.83
2025-06-03 00:00:00+00:00,116.43
2025-06-04 00:00:00+00:00,116.4
2025-06-05 00:00:00+00:00,111.05
2025-06-06 00:00:00+00:00,113.94
2025-06-07 00:00:00+00:00,115.3
2025-06-08 00:00:00+00:00,119.43
2025-06-09 00:00:00+00:00,122.67
