date,RENDER/USDT
2025-03-17 00:00:00+00:00,3.221
2025-03-18 00:00:00+00:00,3.23
2025-03-19 00:00:00+00:00,3.429
2025-03-20 00:00:00+00:00,3.318
2025-03-21 00:00:00+00:00,3.212
2025-03-22 00:00:00+00:00,3.316
2025-03-23 00:00:00+00:00,3.471
2025-03-24 00:00:00+00:00,3.789
2025-03-25 00:00:00+00:00,4.038
2025-03-26 00:00:00+00:00,3.922
2025-03-27 00:00:00+00:00,3.923
2025-03-28 00:00:00+00:00,3.728
2025-03-29 00:00:00+00:00,3.506
2025-03-30 00:00:00+00:00,3.414
2025-03-31 00:00:00+00:00,3.404
2025-04-01 00:00:00+00:00,3.693
2025-04-02 00:00:00+00:00,3.31
2025-04-03 00:00:00+00:00,3.302
2025-04-04 00:00:00+00:00,3.232
2025-04-05 00:00:00+00:00,3.166
2025-04-06 00:00:00+00:00,2.784
2025-04-07 00:00:00+00:00,2.962
2025-04-08 00:00:00+00:00,2.824
2025-04-09 00:00:00+00:00,3.38
2025-04-10 00:00:00+00:00,3.465
2025-04-11 00:00:00+00:00,3.717
2025-04-12 00:00:00+00:00,3.955
2025-04-13 00:00:00+00:00,3.778
2025-04-14 00:00:00+00:00,3.929
2025-04-15 00:00:00+00:00,3.723
2025-04-16 00:00:00+00:00,3.635
2025-04-17 00:00:00+00:00,4.023
2025-04-18 00:00:00+00:00,3.887
2025-04-19 00:00:00+00:00,4.222
2025-04-20 00:00:00+00:00,4.349
2025-04-21 00:00:00+00:00,4.385
2025-04-22 00:00:00+00:00,4.508
2025-04-23 00:00:00+00:00,4.481
2025-04-24 00:00:00+00:00,4.495
2025-04-25 00:00:00+00:00,4.416
2025-04-26 00:00:00+00:00,4.502
2025-04-27 00:00:00+00:00,4.258
2025-04-28 00:00:00+00:00,4.458
2025-04-29 00:00:00+00:00,4.44
2025-04-30 00:00:00+00:00,4.458
2025-05-01 00:00:00+00:00,4.625
2025-05-02 00:00:00+00:00,4.844
2025-05-03 00:00:00+00:00,4.572
2025-05-04 00:00:00+00:00,4.301
2025-05-05 00:00:00+00:00,4.379
2025-05-06 00:00:00+00:00,4.31
2025-05-07 00:00:00+00:00,4.208
2025-05-08 00:00:00+00:00,4.718
2025-05-09 00:00:00+00:00,4.979
2025-05-10 00:00:00+00:00,5.466
2025-05-11 00:00:00+00:00,5.208
2025-05-12 00:00:00+00:00,5.167
2025-05-13 00:00:00+00:00,5.309
2025-05-14 00:00:00+00:00,5.098
2025-05-15 00:00:00+00:00,4.767
2025-05-16 00:00:00+00:00,4.631
2025-05-17 00:00:00+00:00,4.534
2025-05-18 00:00:00+00:00,4.679
