date,SEI/USDT
2024-11-03 00:00:00+00:00,0.3483
2024-11-04 00:00:00+00:00,0.3374
2024-11-05 00:00:00+00:00,0.3514
2024-11-06 00:00:00+00:00,0.41
2024-11-07 00:00:00+00:00,0.4157
2024-11-08 00:00:00+00:00,0.4189
2024-11-09 00:00:00+00:00,0.4504
2024-11-10 00:00:00+00:00,0.4674
2024-11-11 00:00:00+00:00,0.5146
2024-11-12 00:00:00+00:00,0.4831
2024-11-13 00:00:00+00:00,0.4512
2024-11-14 00:00:00+00:00,0.4368
2024-11-15 00:00:00+00:00,0.4601
2024-11-16 00:00:00+00:00,0.5427
2024-11-17 00:00:00+00:00,0.5
2024-11-18 00:00:00+00:00,0.5162
2024-11-19 00:00:00+00:00,0.4905
2024-11-20 00:00:00+00:00,0.4607
2024-11-21 00:00:00+00:00,0.4842
2024-11-22 00:00:00+00:00,0.5169
2024-11-23 00:00:00+00:00,0.5354
2024-11-24 00:00:00+00:00,0.6623
2024-11-25 00:00:00+00:00,0.6543
2024-11-26 00:00:00+00:00,0.6937
2024-11-27 00:00:00+00:00,0.674
2024-11-28 00:00:00+00:00,0.6597
2024-11-29 00:00:00+00:00,0.6744
2024-11-30 00:00:00+00:00,0.6652
2024-12-01 00:00:00+00:00,0.6534
2024-12-02 00:00:00+00:00,0.6432
2024-12-03 00:00:00+00:00,0.6938
2024-12-04 00:00:00+00:00,0.6899
2024-12-05 00:00:00+00:00,0.7007
2024-12-06 00:00:00+00:00,0.7061
2024-12-07 00:00:00+00:00,0.6948
2024-12-08 00:00:00+00:00,0.6911
2024-12-09 00:00:00+00:00,0.5658
2024-12-10 00:00:00+00:00,0.5502
2024-12-11 00:00:00+00:00,0.5997
2024-12-12 00:00:00+00:00,0.6096
2024-12-13 00:00:00+00:00,0.6016
2024-12-14 00:00:00+00:00,0.5758
2024-12-15 00:00:00+00:00,0.5954
2024-12-16 00:00:00+00:00,0.5642
2024-12-17 00:00:00+00:00,0.5278
2024-12-18 00:00:00+00:00,0.4737
2024-12-19 00:00:00+00:00,0.4328
2024-12-20 00:00:00+00:00,0.4413
2024-12-21 00:00:00+00:00,0.4213
2024-12-22 00:00:00+00:00,0.4191
2024-12-23 00:00:00+00:00,0.457
2024-12-24 00:00:00+00:00,0.47
2024-12-25 00:00:00+00:00,0.4552
2024-12-26 00:00:00+00:00,0.4198
2024-12-27 00:00:00+00:00,0.416
2024-12-28 00:00:00+00:00,0.4262
2024-12-29 00:00:00+00:00,0.4105
2024-12-30 00:00:00+00:00,0.4036
2024-12-31 00:00:00+00:00,0.3967
2025-01-01 00:00:00+00:00,0.4208
2025-01-02 00:00:00+00:00,0.4305
2025-01-03 00:00:00+00:00,0.4577
2025-01-04 00:00:00+00:00,0.4709
2025-01-05 00:00:00+00:00,0.4585
2025-01-06 00:00:00+00:00,0.4645
2025-01-07 00:00:00+00:00,0.4138
2025-01-08 00:00:00+00:00,0.3951
2025-01-09 00:00:00+00:00,0.3744
2025-01-10 00:00:00+00:00,0.389
2025-01-11 00:00:00+00:00,0.389
2025-01-12 00:00:00+00:00,0.3826
2025-01-13 00:00:00+00:00,0.3642
2025-01-14 00:00:00+00:00,0.3774
2025-01-15 00:00:00+00:00,0.4058
2025-01-16 00:00:00+00:00,0.4043
2025-01-17 00:00:00+00:00,0.4238
2025-01-18 00:00:00+00:00,0.3935
2025-01-19 00:00:00+00:00,0.3476
2025-01-20 00:00:00+00:00,0.3507
2025-01-21 00:00:00+00:00,0.3606
2025-01-22 00:00:00+00:00,0.3471
2025-01-23 00:00:00+00:00,0.3419
2025-01-24 00:00:00+00:00,0.3405
2025-01-25 00:00:00+00:00,0.3456
2025-01-26 00:00:00+00:00,0.3373
2025-01-27 00:00:00+00:00,0.318
2025-01-28 00:00:00+00:00,0.2948
2025-01-29 00:00:00+00:00,0.3056
2025-01-30 00:00:00+00:00,0.3294
2025-01-31 00:00:00+00:00,0.3328
2025-02-01 00:00:00+00:00,0.2992
2025-02-02 00:00:00+00:00,0.2547
2025-02-03 00:00:00+00:00,0.2565
2025-02-04 00:00:00+00:00,0.2419
2025-02-05 00:00:00+00:00,0.2318
2025-02-06 00:00:00+00:00,0.2185
2025-02-07 00:00:00+00:00,0.217
2025-02-08 00:00:00+00:00,0.2279
2025-02-09 00:00:00+00:00,0.2249
2025-02-10 00:00:00+00:00,0.2333
2025-02-11 00:00:00+00:00,0.2275
2025-02-12 00:00:00+00:00,0.2408
2025-02-13 00:00:00+00:00,0.2338
2025-02-14 00:00:00+00:00,0.2427
2025-02-15 00:00:00+00:00,0.2374
2025-02-16 00:00:00+00:00,0.2332
2025-02-17 00:00:00+00:00,0.2308
2025-02-18 00:00:00+00:00,0.2215
2025-02-19 00:00:00+00:00,0.2317
2025-02-20 00:00:00+00:00,0.2657
2025-02-21 00:00:00+00:00,0.2555
2025-02-22 00:00:00+00:00,0.2792
