date,SOL/USDT
2025-01-09 00:00:00+00:00,184.95
2025-01-10 00:00:00+00:00,187.68
2025-01-11 00:00:00+00:00,188.09
2025-01-12 00:00:00+00:00,188.51
2025-01-13 00:00:00+00:00,182.87
2025-01-14 00:00:00+00:00,187.57
2025-01-15 00:00:00+00:00,205.86
2025-01-16 00:00:00+00:00,211.14
2025-01-17 00:00:00+00:00,219.51
2025-01-18 00:00:00+00:00,261.97
2025-01-19 00:00:00+00:00,252.42
2025-01-20 00:00:00+00:00,242.19
2025-01-21 00:00:00+00:00,250.33
2025-01-22 00:00:00+00:00,257.36
2025-01-23 00:00:00+00:00,253.11
2025-01-24 00:00:00+00:00,253.37
2025-01-25 00:00:00+00:00,256.41
2025-01-26 00:00:00+00:00,240.5
2025-01-27 00:00:00+00:00,234.89
2025-01-28 00:00:00+00:00,227.06
2025-01-29 00:00:00+00:00,228.16
2025-01-30 00:00:00+00:00,238.31
2025-01-31 00:00:00+00:00,231.77
2025-02-01 00:00:00+00:00,213.03
2025-02-02 00:00:00+00:00,203.51
2025-02-03 00:00:00+00:00,216.28
2025-02-04 00:00:00+00:00,206.64
2025-02-05 00:00:00+00:00,196.12
2025-02-06 00:00:00+00:00,189.54
2025-02-07 00:00:00+00:00,191.99
2025-02-08 00:00:00+00:00,199.32
2025-02-09 00:00:00+00:00,200.47
2025-02-10 00:00:00+00:00,200.47
2025-02-11 00:00:00+00:00,197.96
2025-02-12 00:00:00+00:00,196.78
2025-02-13 00:00:00+00:00,194.25
2025-02-14 00:00:00+00:00,199.39
2025-02-15 00:00:00+00:00,194.48
2025-02-16 00:00:00+00:00,188.27
2025-02-17 00:00:00+00:00,177.53
2025-02-18 00:00:00+00:00,169.32
2025-02-19 00:00:00+00:00,168.93
2025-02-20 00:00:00+00:00,176.0
2025-02-21 00:00:00+00:00,168.94
2025-02-22 00:00:00+00:00,172.07
2025-02-23 00:00:00+00:00,167.94
2025-02-24 00:00:00+00:00,141.81
2025-02-25 00:00:00+00:00,144.33
2025-02-26 00:00:00+00:00,135.32
2025-02-27 00:00:00+00:00,137.68
2025-02-28 00:00:00+00:00,148.18
2025-03-01 00:00:00+00:00,143.66
2025-03-02 00:00:00+00:00,178.71
2025-03-03 00:00:00+00:00,142.16
2025-03-04 00:00:00+00:00,144.79
2025-03-05 00:00:00+00:00,146.28
2025-03-06 00:00:00+00:00,143.31
2025-03-07 00:00:00+00:00,139.39
2025-03-08 00:00:00+00:00,137.01
2025-03-09 00:00:00+00:00,126.51
2025-03-10 00:00:00+00:00,118.32
2025-03-11 00:00:00+00:00,125.35
2025-03-12 00:00:00+00:00,126.62
2025-03-13 00:00:00+00:00,123.37
2025-03-14 00:00:00+00:00,133.54
2025-03-15 00:00:00+00:00,135.86
2025-03-16 00:00:00+00:00,126.13
2025-03-17 00:00:00+00:00,128.01
2025-03-18 00:00:00+00:00,125.33
2025-03-19 00:00:00+00:00,135.33
2025-03-20 00:00:00+00:00,127.6
2025-03-21 00:00:00+00:00,128.48
2025-03-22 00:00:00+00:00,128.51
2025-03-23 00:00:00+00:00,132.84
2025-03-24 00:00:00+00:00,141.01
2025-03-25 00:00:00+00:00,143.64
2025-03-26 00:00:00+00:00,137.34
2025-03-27 00:00:00+00:00,138.43
2025-03-28 00:00:00+00:00,129.49
