date,STRK/USDT
2025-01-09 00:00:00+00:00,0.427
2025-01-10 00:00:00+00:00,0.4362
2025-01-11 00:00:00+00:00,0.4349
2025-01-12 00:00:00+00:00,0.4292
2025-01-13 00:00:00+00:00,0.4096
2025-01-14 00:00:00+00:00,0.4287
2025-01-15 00:00:00+00:00,0.447
2025-01-16 00:00:00+00:00,0.4232
2025-01-17 00:00:00+00:00,0.4539
2025-01-18 00:00:00+00:00,0.4191
2025-01-19 00:00:00+00:00,0.3858
2025-01-20 00:00:00+00:00,0.3809
2025-01-21 00:00:00+00:00,0.3963
2025-01-22 00:00:00+00:00,0.3729
2025-01-23 00:00:00+00:00,0.3765
2025-01-24 00:00:00+00:00,0.3662
2025-01-25 00:00:00+00:00,0.3707
2025-01-26 00:00:00+00:00,0.3641
2025-01-27 00:00:00+00:00,0.3602
2025-01-28 00:00:00+00:00,0.3246
2025-01-29 00:00:00+00:00,0.3394
2025-01-30 00:00:00+00:00,0.353
2025-01-31 00:00:00+00:00,0.3552
2025-02-01 00:00:00+00:00,0.3197
2025-02-02 00:00:00+00:00,0.261
2025-02-03 00:00:00+00:00,0.2712
2025-02-04 00:00:00+00:00,0.2555
2025-02-05 00:00:00+00:00,0.2512
2025-02-06 00:00:00+00:00,0.2305
2025-02-07 00:00:00+00:00,0.227
2025-02-08 00:00:00+00:00,0.2415
2025-02-09 00:00:00+00:00,0.2378
2025-02-10 00:00:00+00:00,0.2456
2025-02-11 00:00:00+00:00,0.2351
2025-02-12 00:00:00+00:00,0.2458
2025-02-13 00:00:00+00:00,0.2336
2025-02-14 00:00:00+00:00,0.2394
2025-02-15 00:00:00+00:00,0.2287
2025-02-16 00:00:00+00:00,0.2298
2025-02-17 00:00:00+00:00,0.2305
2025-02-18 00:00:00+00:00,0.221
2025-02-19 00:00:00+00:00,0.2251
2025-02-20 00:00:00+00:00,0.2343
2025-02-21 00:00:00+00:00,0.2245
2025-02-22 00:00:00+00:00,0.2339
2025-02-23 00:00:00+00:00,0.2302
2025-02-24 00:00:00+00:00,0.1976
2025-02-25 00:00:00+00:00,0.2064
2025-02-26 00:00:00+00:00,0.214
2025-02-27 00:00:00+00:00,0.2145
2025-02-28 00:00:00+00:00,0.2155
2025-03-01 00:00:00+00:00,0.2072
2025-03-02 00:00:00+00:00,0.23
2025-03-03 00:00:00+00:00,0.1976
2025-03-04 00:00:00+00:00,0.1803
2025-03-05 00:00:00+00:00,0.1867
2025-03-06 00:00:00+00:00,0.187
2025-03-07 00:00:00+00:00,0.1841
2025-03-08 00:00:00+00:00,0.1765
2025-03-09 00:00:00+00:00,0.1551
2025-03-10 00:00:00+00:00,0.1454
2025-03-11 00:00:00+00:00,0.1572
2025-03-12 00:00:00+00:00,0.1686
2025-03-13 00:00:00+00:00,0.1702
2025-03-14 00:00:00+00:00,0.1754
2025-03-15 00:00:00+00:00,0.1871
2025-03-16 00:00:00+00:00,0.1759
2025-03-17 00:00:00+00:00,0.1812
2025-03-18 00:00:00+00:00,0.1748
2025-03-19 00:00:00+00:00,0.1761
2025-03-20 00:00:00+00:00,0.1676
2025-03-21 00:00:00+00:00,0.1616
2025-03-22 00:00:00+00:00,0.1671
2025-03-23 00:00:00+00:00,0.1689
2025-03-24 00:00:00+00:00,0.1771
2025-03-25 00:00:00+00:00,0.1789
2025-03-26 00:00:00+00:00,0.1758
2025-03-27 00:00:00+00:00,0.1735
2025-03-28 00:00:00+00:00,0.1579
2025-03-29 00:00:00+00:00,0.1475
2025-03-30 00:00:00+00:00,0.1512
2025-03-31 00:00:00+00:00,0.1485
2025-04-01 00:00:00+00:00,0.1498
2025-04-02 00:00:00+00:00,0.1358
2025-04-03 00:00:00+00:00,0.1371
2025-04-04 00:00:00+00:00,0.1401
2025-04-05 00:00:00+00:00,0.1382
2025-04-06 00:00:00+00:00,0.1226
2025-04-07 00:00:00+00:00,0.125
2025-04-08 00:00:00+00:00,0.1201
2025-04-09 00:00:00+00:00,0.1378
2025-04-10 00:00:00+00:00,0.1284
2025-04-11 00:00:00+00:00,0.1331
2025-04-12 00:00:00+00:00,0.1337
2025-04-13 00:00:00+00:00,0.1245
2025-04-14 00:00:00+00:00,0.1208
2025-04-15 00:00:00+00:00,0.1272
2025-04-16 00:00:00+00:00,0.1186
2025-04-17 00:00:00+00:00,0.1205
2025-04-18 00:00:00+00:00,0.124
2025-04-19 00:00:00+00:00,0.1306
2025-04-20 00:00:00+00:00,0.1334
2025-04-21 00:00:00+00:00,0.1354
2025-04-22 00:00:00+00:00,0.1431
2025-04-23 00:00:00+00:00,0.1509
2025-04-24 00:00:00+00:00,0.1523
2025-04-25 00:00:00+00:00,0.1543
2025-04-26 00:00:00+00:00,0.1598
2025-04-27 00:00:00+00:00,0.1475
2025-04-28 00:00:00+00:00,0.1515
2025-04-29 00:00:00+00:00,0.1452
2025-04-30 00:00:00+00:00,0.1452
2025-05-01 00:00:00+00:00,0.1448
2025-05-02 00:00:00+00:00,0.1436
2025-05-03 00:00:00+00:00,0.1311
2025-05-04 00:00:00+00:00,0.1313
2025-05-05 00:00:00+00:00,0.1296
2025-05-06 00:00:00+00:00,0.1305
2025-05-07 00:00:00+00:00,0.1286
2025-05-08 00:00:00+00:00,0.15
2025-05-09 00:00:00+00:00,0.1719
2025-05-10 00:00:00+00:00,0.1915
2025-05-11 00:00:00+00:00,0.1796
