date,SUI/USDT
2024-11-03 00:00:00+00:00,1.9466
2024-11-04 00:00:00+00:00,1.8495
2024-11-05 00:00:00+00:00,2.009
2024-11-06 00:00:00+00:00,2.3042
2024-11-07 00:00:00+00:00,2.319
2024-11-08 00:00:00+00:00,2.2883
2024-11-09 00:00:00+00:00,2.7477
2024-11-10 00:00:00+00:00,3.0331
2024-11-11 00:00:00+00:00,3.2726
2024-11-12 00:00:00+00:00,3.2151
2024-11-13 00:00:00+00:00,3.3039
2024-11-14 00:00:00+00:00,3.3534
2024-11-15 00:00:00+00:00,3.6107
2024-11-16 00:00:00+00:00,3.7607
2024-11-17 00:00:00+00:00,3.7839
2024-11-18 00:00:00+00:00,3.6992
2024-11-19 00:00:00+00:00,3.724
2024-11-20 00:00:00+00:00,3.5247
2024-11-21 00:00:00+00:00,3.6252
2024-11-22 00:00:00+00:00,3.5653
2024-11-23 00:00:00+00:00,3.4367
2024-11-24 00:00:00+00:00,3.3958
2024-11-25 00:00:00+00:00,3.1926
2024-11-26 00:00:00+00:00,3.4944
2024-11-27 00:00:00+00:00,3.4332
2024-11-28 00:00:00+00:00,3.4436
2024-11-29 00:00:00+00:00,3.4856
2024-11-30 00:00:00+00:00,3.4758
2024-12-01 00:00:00+00:00,3.4763
2024-12-02 00:00:00+00:00,3.3894
2024-12-03 00:00:00+00:00,3.6951
2024-12-04 00:00:00+00:00,3.6737
2024-12-05 00:00:00+00:00,4.2274
2024-12-06 00:00:00+00:00,4.2171
2024-12-07 00:00:00+00:00,4.2589
2024-12-08 00:00:00+00:00,4.2322
2024-12-09 00:00:00+00:00,3.8379
2024-12-10 00:00:00+00:00,3.7135
2024-12-11 00:00:00+00:00,4.3728
2024-12-12 00:00:00+00:00,4.6209
2024-12-13 00:00:00+00:00,4.7623
2024-12-14 00:00:00+00:00,4.4592
2024-12-15 00:00:00+00:00,4.7834
2024-12-16 00:00:00+00:00,4.6286
2024-12-17 00:00:00+00:00,4.6409
