date,TIA/USDT
2025-03-17 00:00:00+00:00,3.388
2025-03-18 00:00:00+00:00,3.231
2025-03-19 00:00:00+00:00,3.418
2025-03-20 00:00:00+00:00,3.351
2025-03-21 00:00:00+00:00,3.296
2025-03-22 00:00:00+00:00,3.381
2025-03-23 00:00:00+00:00,3.545
2025-03-24 00:00:00+00:00,3.647
2025-03-25 00:00:00+00:00,3.687
2025-03-26 00:00:00+00:00,3.583
2025-03-27 00:00:00+00:00,3.709
2025-03-28 00:00:00+00:00,3.429
2025-03-29 00:00:00+00:00,3.216
2025-03-30 00:00:00+00:00,3.246
2025-03-31 00:00:00+00:00,3.064
2025-04-01 00:00:00+00:00,3.146
2025-04-02 00:00:00+00:00,2.915
2025-04-03 00:00:00+00:00,2.838
2025-04-04 00:00:00+00:00,2.731
2025-04-05 00:00:00+00:00,2.697
2025-04-06 00:00:00+00:00,2.349
2025-04-07 00:00:00+00:00,2.48
2025-04-08 00:00:00+00:00,2.333
2025-04-09 00:00:00+00:00,2.557
2025-04-10 00:00:00+00:00,2.448
2025-04-11 00:00:00+00:00,2.528
2025-04-12 00:00:00+00:00,2.65
2025-04-13 00:00:00+00:00,2.418
2025-04-14 00:00:00+00:00,2.481
2025-04-15 00:00:00+00:00,2.438
2025-04-16 00:00:00+00:00,2.281
2025-04-17 00:00:00+00:00,2.351
2025-04-18 00:00:00+00:00,2.382
2025-04-19 00:00:00+00:00,2.481
2025-04-20 00:00:00+00:00,2.532
2025-04-21 00:00:00+00:00,2.563
2025-04-22 00:00:00+00:00,2.768
2025-04-23 00:00:00+00:00,2.765
2025-04-24 00:00:00+00:00,2.871
2025-04-25 00:00:00+00:00,2.865
2025-04-26 00:00:00+00:00,2.947
2025-04-27 00:00:00+00:00,2.862
2025-04-28 00:00:00+00:00,2.928
2025-04-29 00:00:00+00:00,2.737
2025-04-30 00:00:00+00:00,2.688
2025-05-01 00:00:00+00:00,2.633
2025-05-02 00:00:00+00:00,2.554
2025-05-03 00:00:00+00:00,2.45
2025-05-04 00:00:00+00:00,2.389
2025-05-05 00:00:00+00:00,2.357
2025-05-06 00:00:00+00:00,2.358
2025-05-07 00:00:00+00:00,2.438
2025-05-08 00:00:00+00:00,2.742
2025-05-09 00:00:00+00:00,3.058
2025-05-10 00:00:00+00:00,3.342
2025-05-11 00:00:00+00:00,3.211
2025-05-12 00:00:00+00:00,3.169
2025-05-13 00:00:00+00:00,3.316
2025-05-14 00:00:00+00:00,3.056
2025-05-15 00:00:00+00:00,2.756
2025-05-16 00:00:00+00:00,2.677
2025-05-17 00:00:00+00:00,2.578
2025-05-18 00:00:00+00:00,2.706
2025-05-19 00:00:00+00:00,2.636
2025-05-20 00:00:00+00:00,2.68
2025-05-21 00:00:00+00:00,2.645
2025-05-22 00:00:00+00:00,2.837
2025-05-23 00:00:00+00:00,2.486
2025-05-24 00:00:00+00:00,2.537
2025-05-25 00:00:00+00:00,2.559
2025-05-26 00:00:00+00:00,2.596
2025-05-27 00:00:00+00:00,2.647
2025-05-28 00:00:00+00:00,2.616
2025-05-29 00:00:00+00:00,2.505
2025-05-30 00:00:00+00:00,2.152
2025-05-31 00:00:00+00:00,2.203
2025-06-01 00:00:00+00:00,2.22
2025-06-02 00:00:00+00:00,2.25
2025-06-03 00:00:00+00:00,2.248
2025-06-04 00:00:00+00:00,2.152
2025-06-05 00:00:00+00:00,1.969
2025-06-06 00:00:00+00:00,1.95
2025-06-07 00:00:00+00:00,2.055
2025-06-08 00:00:00+00:00,2.009
2025-06-09 00:00:00+00:00,2.128
2025-06-10 00:00:00+00:00,2.205
2025-06-11 00:00:00+00:00,2.106
2025-06-12 00:00:00+00:00,1.927
2025-06-13 00:00:00+00:00,1.804
2025-06-14 00:00:00+00:00,1.793
2025-06-15 00:00:00+00:00,1.757
2025-06-16 00:00:00+00:00,1.719
2025-06-17 00:00:00+00:00,1.655
2025-06-18 00:00:00+00:00,1.686
2025-06-19 00:00:00+00:00,1.641
2025-06-20 00:00:00+00:00,1.575
2025-06-21 00:00:00+00:00,1.466
2025-06-22 00:00:00+00:00,1.402
2025-06-23 00:00:00+00:00,1.588
2025-06-24 00:00:00+00:00,1.684
2025-06-25 00:00:00+00:00,1.579
2025-06-26 00:00:00+00:00,1.426
2025-06-27 00:00:00+00:00,1.442
2025-06-28 00:00:00+00:00,1.479
2025-06-29 00:00:00+00:00,1.534
2025-06-30 00:00:00+00:00,1.389
2025-07-01 00:00:00+00:00,1.352
2025-07-02 00:00:00+00:00,1.574
2025-07-03 00:00:00+00:00,1.647
2025-07-04 00:00:00+00:00,1.511
2025-07-05 00:00:00+00:00,1.489
2025-07-06 00:00:00+00:00,1.619
2025-07-07 00:00:00+00:00,1.573
2025-07-08 00:00:00+00:00,1.598
2025-07-09 00:00:00+00:00,1.692
2025-07-10 00:00:00+00:00,1.843
2025-07-11 00:00:00+00:00,1.933
2025-07-12 00:00:00+00:00,1.858
2025-07-13 00:00:00+00:00,1.89
2025-07-14 00:00:00+00:00,1.861
