date,TON/USDT
2025-01-09 00:00:00+00:00,5.2
2025-01-10 00:00:00+00:00,5.381
2025-01-11 00:00:00+00:00,5.4
2025-01-12 00:00:00+00:00,5.307
2025-01-13 00:00:00+00:00,5.298
2025-01-14 00:00:00+00:00,5.362
2025-01-15 00:00:00+00:00,5.516
2025-01-16 00:00:00+00:00,5.475
2025-01-17 00:00:00+00:00,5.585
2025-01-18 00:00:00+00:00,5.29
2025-01-19 00:00:00+00:00,4.864
2025-01-20 00:00:00+00:00,5.03
2025-01-21 00:00:00+00:00,5.205
2025-01-22 00:00:00+00:00,5.295
2025-01-23 00:00:00+00:00,5.125
2025-01-24 00:00:00+00:00,5.069
2025-01-25 00:00:00+00:00,5.079
2025-01-26 00:00:00+00:00,4.93
2025-01-27 00:00:00+00:00,5.01
2025-01-28 00:00:00+00:00,4.784
2025-01-29 00:00:00+00:00,4.825
2025-01-30 00:00:00+00:00,4.822
2025-01-31 00:00:00+00:00,4.827
2025-02-01 00:00:00+00:00,4.605
2025-02-02 00:00:00+00:00,4.061
2025-02-03 00:00:00+00:00,4.075
2025-02-04 00:00:00+00:00,3.786
2025-02-05 00:00:00+00:00,3.781
2025-02-06 00:00:00+00:00,3.741
2025-02-07 00:00:00+00:00,3.716
2025-02-08 00:00:00+00:00,3.738
2025-02-09 00:00:00+00:00,3.811
2025-02-10 00:00:00+00:00,3.818
2025-02-11 00:00:00+00:00,3.746
2025-02-12 00:00:00+00:00,3.832
2025-02-13 00:00:00+00:00,3.712
2025-02-14 00:00:00+00:00,3.846
2025-02-15 00:00:00+00:00,3.793
2025-02-16 00:00:00+00:00,3.779
2025-02-17 00:00:00+00:00,3.763
2025-02-18 00:00:00+00:00,3.675
2025-02-19 00:00:00+00:00,3.547
2025-02-20 00:00:00+00:00,3.602
2025-02-21 00:00:00+00:00,3.565
2025-02-22 00:00:00+00:00,3.741
2025-02-23 00:00:00+00:00,3.767
2025-02-24 00:00:00+00:00,3.412
2025-02-25 00:00:00+00:00,3.549
2025-02-26 00:00:00+00:00,3.501
2025-02-27 00:00:00+00:00,3.421
2025-02-28 00:00:00+00:00,3.328
2025-03-01 00:00:00+00:00,3.322
2025-03-02 00:00:00+00:00,3.507
2025-03-03 00:00:00+00:00,3.063
2025-03-04 00:00:00+00:00,3.121
2025-03-05 00:00:00+00:00,3.033
2025-03-06 00:00:00+00:00,3.037
2025-03-07 00:00:00+00:00,2.99
2025-03-08 00:00:00+00:00,2.954
2025-03-09 00:00:00+00:00,2.648
2025-03-10 00:00:00+00:00,2.523
2025-03-11 00:00:00+00:00,2.641
2025-03-12 00:00:00+00:00,2.749
2025-03-13 00:00:00+00:00,2.766
2025-03-14 00:00:00+00:00,2.924
2025-03-15 00:00:00+00:00,3.584
