date,TRUMP/USDT
2025-01-19 00:00:00+00:00,46.5
2025-01-20 00:00:00+00:00,36.5
2025-01-21 00:00:00+00:00,43.76
2025-01-22 00:00:00+00:00,36.86
2025-01-23 00:00:00+00:00,34.69
2025-01-24 00:00:00+00:00,30.18
2025-01-25 00:00:00+00:00,28.89
2025-01-26 00:00:00+00:00,27.38
2025-01-27 00:00:00+00:00,28.0
2025-01-28 00:00:00+00:00,27.34
2025-01-29 00:00:00+00:00,27.25
2025-01-30 00:00:00+00:00,26.06
2025-01-31 00:00:00+00:00,24.14
2025-02-01 00:00:00+00:00,19.7
2025-02-02 00:00:00+00:00,21.01
2025-02-03 00:00:00+00:00,19.66
2025-02-04 00:00:00+00:00,17.19
2025-02-05 00:00:00+00:00,18.17
2025-02-06 00:00:00+00:00,17.08
2025-02-07 00:00:00+00:00,16.57
2025-02-08 00:00:00+00:00,17.25
2025-02-09 00:00:00+00:00,15.88
2025-02-10 00:00:00+00:00,15.91
2025-02-11 00:00:00+00:00,15.35
2025-02-12 00:00:00+00:00,15.45
2025-02-13 00:00:00+00:00,16.3
2025-02-14 00:00:00+00:00,21.58
2025-02-15 00:00:00+00:00,18.66
2025-02-16 00:00:00+00:00,18.75
2025-02-17 00:00:00+00:00,17.18
2025-02-18 00:00:00+00:00,16.38
2025-02-19 00:00:00+00:00,17.03
2025-02-20 00:00:00+00:00,17.09
2025-02-21 00:00:00+00:00,15.9
2025-02-22 00:00:00+00:00,16.52
2025-02-23 00:00:00+00:00,16.13
2025-02-24 00:00:00+00:00,12.95
2025-02-25 00:00:00+00:00,13.25
2025-02-26 00:00:00+00:00,13.3
2025-02-27 00:00:00+00:00,12.59
2025-02-28 00:00:00+00:00,12.95
2025-03-01 00:00:00+00:00,13.17
2025-03-02 00:00:00+00:00,16.96
2025-03-03 00:00:00+00:00,12.83
2025-03-04 00:00:00+00:00,12.97
2025-03-05 00:00:00+00:00,13.22
2025-03-06 00:00:00+00:00,13.08
2025-03-07 00:00:00+00:00,12.36
2025-03-08 00:00:00+00:00,12.02
2025-03-09 00:00:00+00:00,10.71
2025-03-10 00:00:00+00:00,10.3
2025-03-11 00:00:00+00:00,10.5
2025-03-12 00:00:00+00:00,10.57
2025-03-13 00:00:00+00:00,10.73
2025-03-14 00:00:00+00:00,11.88
2025-03-15 00:00:00+00:00,12.18
2025-03-16 00:00:00+00:00,11.22
2025-03-17 00:00:00+00:00,11.43
2025-03-18 00:00:00+00:00,11.03
2025-03-19 00:00:00+00:00,11.65
2025-03-20 00:00:00+00:00,11.05
2025-03-21 00:00:00+00:00,10.86
2025-03-22 00:00:00+00:00,10.75
2025-03-23 00:00:00+00:00,11.51
2025-03-24 00:00:00+00:00,11.89
2025-03-25 00:00:00+00:00,11.6
2025-03-26 00:00:00+00:00,11.39
2025-03-27 00:00:00+00:00,11.11
2025-03-28 00:00:00+00:00,10.35
2025-03-29 00:00:00+00:00,10.08
2025-03-30 00:00:00+00:00,10.22
2025-03-31 00:00:00+00:00,10.01
2025-04-01 00:00:00+00:00,10.39
2025-04-02 00:00:00+00:00,9.16
2025-04-03 00:00:00+00:00,9.47
2025-04-04 00:00:00+00:00,9.35
2025-04-05 00:00:00+00:00,9.23
2025-04-06 00:00:00+00:00,7.93
2025-04-07 00:00:00+00:00,7.83
2025-04-08 00:00:00+00:00,7.57
2025-04-09 00:00:00+00:00,8.17
2025-04-10 00:00:00+00:00,7.92
2025-04-11 00:00:00+00:00,8.05
2025-04-12 00:00:00+00:00,8.69
2025-04-13 00:00:00+00:00,8.26
2025-04-14 00:00:00+00:00,7.88
2025-04-15 00:00:00+00:00,7.82
2025-04-16 00:00:00+00:00,7.72
2025-04-17 00:00:00+00:00,7.56
2025-04-18 00:00:00+00:00,7.79
2025-04-19 00:00:00+00:00,8.41
2025-04-20 00:00:00+00:00,8.18
2025-04-21 00:00:00+00:00,8.31
2025-04-22 00:00:00+00:00,9.23
2025-04-23 00:00:00+00:00,13.29
2025-04-24 00:00:00+00:00,12.21
2025-04-25 00:00:00+00:00,13.34
2025-04-26 00:00:00+00:00,15.61
2025-04-27 00:00:00+00:00,14.86
2025-04-28 00:00:00+00:00,14.67
2025-04-29 00:00:00+00:00,12.97
2025-04-30 00:00:00+00:00,13.16
2025-05-01 00:00:00+00:00,12.75
2025-05-02 00:00:00+00:00,13.22
2025-05-03 00:00:00+00:00,11.32
2025-05-04 00:00:00+00:00,10.97
2025-05-05 00:00:00+00:00,11.17
2025-05-06 00:00:00+00:00,11.05
2025-05-07 00:00:00+00:00,10.98
2025-05-08 00:00:00+00:00,12.6
2025-05-09 00:00:00+00:00,14.27
2025-05-10 00:00:00+00:00,14.93
2025-05-11 00:00:00+00:00,13.75
2025-05-12 00:00:00+00:00,13.07
2025-05-13 00:00:00+00:00,13.77
2025-05-14 00:00:00+00:00,13.37
2025-05-15 00:00:00+00:00,12.77
2025-05-16 00:00:00+00:00,12.63
2025-05-17 00:00:00+00:00,12.66
2025-05-18 00:00:00+00:00,13.24
2025-05-19 00:00:00+00:00,12.86
2025-05-20 00:00:00+00:00,14.44
2025-05-21 00:00:00+00:00,14.38
2025-05-22 00:00:00+00:00,14.71
2025-05-23 00:00:00+00:00,12.54
2025-05-24 00:00:00+00:00,12.93
2025-05-25 00:00:00+00:00,12.82
2025-05-26 00:00:00+00:00,12.73
2025-05-27 00:00:00+00:00,12.77
2025-05-28 00:00:00+00:00,12.48
2025-05-29 00:00:00+00:00,11.95
2025-05-30 00:00:00+00:00,10.83
