date,UNI/USDT
2025-03-17 00:00:00+00:00,6.297
2025-03-18 00:00:00+00:00,6.374
2025-03-19 00:00:00+00:00,6.984
2025-03-20 00:00:00+00:00,6.912
2025-03-21 00:00:00+00:00,6.781
2025-03-22 00:00:00+00:00,6.737
2025-03-23 00:00:00+00:00,6.688
2025-03-24 00:00:00+00:00,7.088
2025-03-25 00:00:00+00:00,6.967
2025-03-26 00:00:00+00:00,6.721
2025-03-27 00:00:00+00:00,6.725
2025-03-28 00:00:00+00:00,6.174
2025-03-29 00:00:00+00:00,5.96
2025-03-30 00:00:00+00:00,5.871
2025-03-31 00:00:00+00:00,5.971
2025-04-01 00:00:00+00:00,6.265
2025-04-02 00:00:00+00:00,5.836
2025-04-03 00:00:00+00:00,5.869
2025-04-04 00:00:00+00:00,5.909
2025-04-05 00:00:00+00:00,5.866
2025-04-06 00:00:00+00:00,5.101
2025-04-07 00:00:00+00:00,5.121
2025-04-08 00:00:00+00:00,4.776
2025-04-09 00:00:00+00:00,5.414
2025-04-10 00:00:00+00:00,5.023
2025-04-11 00:00:00+00:00,5.235
2025-04-12 00:00:00+00:00,5.502
2025-04-13 00:00:00+00:00,5.332
2025-04-14 00:00:00+00:00,5.347
2025-04-15 00:00:00+00:00,5.185
2025-04-16 00:00:00+00:00,5.151
2025-04-17 00:00:00+00:00,5.181
2025-04-18 00:00:00+00:00,5.174
2025-04-19 00:00:00+00:00,5.317
2025-04-20 00:00:00+00:00,5.252
2025-04-21 00:00:00+00:00,5.274
2025-04-22 00:00:00+00:00,5.81
2025-04-23 00:00:00+00:00,6.033
2025-04-24 00:00:00+00:00,5.811
2025-04-25 00:00:00+00:00,5.828
2025-04-26 00:00:00+00:00,5.813
2025-04-27 00:00:00+00:00,5.5
2025-04-28 00:00:00+00:00,5.436
2025-04-29 00:00:00+00:00,5.271
2025-04-30 00:00:00+00:00,5.269
2025-05-01 00:00:00+00:00,5.317
2025-05-02 00:00:00+00:00,5.248
