date,VIRTUAL/USDT
2025-04-11 00:00:00+00:00,0.528
2025-04-12 00:00:00+00:00,0.6136
2025-04-13 00:00:00+00:00,0.5408
2025-04-14 00:00:00+00:00,0.5777
2025-04-15 00:00:00+00:00,0.5585
2025-04-16 00:00:00+00:00,0.5368
2025-04-17 00:00:00+00:00,0.5565
2025-04-18 00:00:00+00:00,0.5869
2025-04-19 00:00:00+00:00,0.5827
2025-04-20 00:00:00+00:00,0.5734
2025-04-21 00:00:00+00:00,0.5677
2025-04-22 00:00:00+00:00,0.6898
2025-04-23 00:00:00+00:00,0.7264
2025-04-24 00:00:00+00:00,0.7751
2025-04-25 00:00:00+00:00,0.9239
2025-04-26 00:00:00+00:00,1.1062
2025-04-27 00:00:00+00:00,1.0685
2025-04-28 00:00:00+00:00,1.4029
2025-04-29 00:00:00+00:00,1.3789
2025-04-30 00:00:00+00:00,1.5391
2025-05-01 00:00:00+00:00,1.6394
2025-05-02 00:00:00+00:00,1.7599
2025-05-03 00:00:00+00:00,1.6927
2025-05-04 00:00:00+00:00,1.638
2025-05-05 00:00:00+00:00,1.6538
2025-05-06 00:00:00+00:00,1.4898
2025-05-07 00:00:00+00:00,1.3919
2025-05-08 00:00:00+00:00,2.0871
2025-05-09 00:00:00+00:00,1.9484
2025-05-10 00:00:00+00:00,2.0124
2025-05-11 00:00:00+00:00,1.9472
2025-05-12 00:00:00+00:00,1.9963
2025-05-13 00:00:00+00:00,2.0465
2025-05-14 00:00:00+00:00,1.9888
2025-05-15 00:00:00+00:00,1.8256
2025-05-16 00:00:00+00:00,1.7953
2025-05-17 00:00:00+00:00,1.6861
2025-05-18 00:00:00+00:00,2.0322
2025-05-19 00:00:00+00:00,1.9482
2025-05-20 00:00:00+00:00,1.9398
2025-05-21 00:00:00+00:00,1.985
2025-05-22 00:00:00+00:00,2.0506
2025-05-23 00:00:00+00:00,1.9393
2025-05-24 00:00:00+00:00,2.006
2025-05-25 00:00:00+00:00,2.0315
2025-05-26 00:00:00+00:00,2.1323
