date,WIF/USDT
2024-11-03 00:00:00+00:00,2.078
2024-11-04 00:00:00+00:00,1.923
2024-11-05 00:00:00+00:00,2.103
2024-11-06 00:00:00+00:00,2.407
2024-11-07 00:00:00+00:00,2.388
2024-11-08 00:00:00+00:00,2.318
2024-11-09 00:00:00+00:00,2.486
2024-11-10 00:00:00+00:00,2.744
2024-11-11 00:00:00+00:00,3.125
2024-11-12 00:00:00+00:00,3.25
2024-11-13 00:00:00+00:00,4.163
2024-11-14 00:00:00+00:00,3.59
2024-11-15 00:00:00+00:00,3.895
2024-11-16 00:00:00+00:00,3.604
2024-11-17 00:00:00+00:00,3.615
2024-11-18 00:00:00+00:00,3.451
2024-11-19 00:00:00+00:00,3.289
2024-11-20 00:00:00+00:00,3.049
2024-11-21 00:00:00+00:00,3.265
2024-11-22 00:00:00+00:00,3.209
2024-11-23 00:00:00+00:00,3.271
2024-11-24 00:00:00+00:00,3.169
2024-11-25 00:00:00+00:00,3.182
2024-11-26 00:00:00+00:00,3.013
2024-11-27 00:00:00+00:00,3.115
2024-11-28 00:00:00+00:00,3.077
2024-11-29 00:00:00+00:00,3.286
2024-11-30 00:00:00+00:00,3.178
2024-12-01 00:00:00+00:00,3.438
2024-12-02 00:00:00+00:00,3.119
2024-12-03 00:00:00+00:00,3.277
2024-12-04 00:00:00+00:00,3.194
2024-12-05 00:00:00+00:00,3.346
2024-12-06 00:00:00+00:00,3.484
2024-12-07 00:00:00+00:00,3.879
2024-12-08 00:00:00+00:00,3.717
2024-12-09 00:00:00+00:00,3.048
2024-12-10 00:00:00+00:00,2.846
2024-12-11 00:00:00+00:00,3.046
2024-12-12 00:00:00+00:00,2.947
2024-12-13 00:00:00+00:00,2.958
2024-12-14 00:00:00+00:00,2.844
2024-12-15 00:00:00+00:00,2.855
2024-12-16 00:00:00+00:00,2.745
2024-12-17 00:00:00+00:00,2.711
2024-12-18 00:00:00+00:00,2.306
2024-12-19 00:00:00+00:00,2.067
2024-12-20 00:00:00+00:00,2.107
2024-12-21 00:00:00+00:00,1.889
2024-12-22 00:00:00+00:00,1.918
2024-12-23 00:00:00+00:00,2.031
2024-12-24 00:00:00+00:00,2.051
2024-12-25 00:00:00+00:00,1.98
2024-12-26 00:00:00+00:00,1.84
2024-12-27 00:00:00+00:00,1.827
2024-12-28 00:00:00+00:00,1.926
2024-12-29 00:00:00+00:00,1.835
2024-12-30 00:00:00+00:00,1.826
2024-12-31 00:00:00+00:00,1.863
2025-01-01 00:00:00+00:00,1.858
2025-01-02 00:00:00+00:00,2.025
2025-01-03 00:00:00+00:00,2.166
2025-01-04 00:00:00+00:00,2.177
2025-01-05 00:00:00+00:00,2.103
2025-01-06 00:00:00+00:00,2.085
2025-01-07 00:00:00+00:00,1.853
2025-01-08 00:00:00+00:00,1.709
2025-01-09 00:00:00+00:00,1.542
2025-01-10 00:00:00+00:00,1.558
2025-01-11 00:00:00+00:00,1.577
2025-01-12 00:00:00+00:00,1.545
2025-01-13 00:00:00+00:00,1.491
2025-01-14 00:00:00+00:00,1.553
2025-01-15 00:00:00+00:00,1.771
2025-01-16 00:00:00+00:00,1.762
2025-01-17 00:00:00+00:00,1.873
2025-01-18 00:00:00+00:00,1.77
2025-01-19 00:00:00+00:00,1.536
2025-01-20 00:00:00+00:00,1.391
2025-01-21 00:00:00+00:00,1.454
2025-01-22 00:00:00+00:00,1.417
2025-01-23 00:00:00+00:00,1.418
2025-01-24 00:00:00+00:00,1.285
2025-01-25 00:00:00+00:00,1.279
2025-01-26 00:00:00+00:00,1.211
2025-01-27 00:00:00+00:00,1.182
2025-01-28 00:00:00+00:00,1.057
2025-01-29 00:00:00+00:00,1.185
2025-01-30 00:00:00+00:00,1.154
2025-01-31 00:00:00+00:00,1.136
2025-02-01 00:00:00+00:00,1.008
2025-02-02 00:00:00+00:00,0.949
2025-02-03 00:00:00+00:00,0.86
2025-02-04 00:00:00+00:00,0.803
2025-02-05 00:00:00+00:00,0.795
2025-02-06 00:00:00+00:00,0.712
2025-02-07 00:00:00+00:00,0.678
2025-02-08 00:00:00+00:00,0.718
2025-02-09 00:00:00+00:00,0.642
2025-02-10 00:00:00+00:00,0.658
2025-02-11 00:00:00+00:00,0.627
2025-02-12 00:00:00+00:00,0.605
2025-02-13 00:00:00+00:00,0.591
2025-02-14 00:00:00+00:00,0.729
2025-02-15 00:00:00+00:00,0.687
2025-02-16 00:00:00+00:00,0.658
2025-02-17 00:00:00+00:00,0.631
2025-02-18 00:00:00+00:00,0.615
2025-02-19 00:00:00+00:00,0.609
2025-02-20 00:00:00+00:00,0.646
2025-02-21 00:00:00+00:00,0.643
2025-02-22 00:00:00+00:00,0.703
2025-02-23 00:00:00+00:00,0.659
2025-02-24 00:00:00+00:00,0.556
2025-02-25 00:00:00+00:00,0.549
2025-02-26 00:00:00+00:00,0.579
2025-02-27 00:00:00+00:00,0.585
2025-02-28 00:00:00+00:00,0.629
2025-03-01 00:00:00+00:00,0.611
2025-03-02 00:00:00+00:00,0.761
2025-03-03 00:00:00+00:00,0.643
2025-03-04 00:00:00+00:00,0.574
2025-03-05 00:00:00+00:00,0.583
2025-03-06 00:00:00+00:00,0.571
2025-03-07 00:00:00+00:00,0.534
2025-03-08 00:00:00+00:00,0.534
2025-03-09 00:00:00+00:00,0.442
2025-03-10 00:00:00+00:00,0.428
2025-03-11 00:00:00+00:00,0.448
2025-03-12 00:00:00+00:00,0.48
2025-03-13 00:00:00+00:00,0.471
2025-03-14 00:00:00+00:00,0.508
2025-03-15 00:00:00+00:00,0.501
2025-03-16 00:00:00+00:00,0.465
2025-03-17 00:00:00+00:00,0.501
2025-03-18 00:00:00+00:00,0.481
2025-03-19 00:00:00+00:00,0.517
2025-03-20 00:00:00+00:00,0.507
2025-03-21 00:00:00+00:00,0.489
2025-03-22 00:00:00+00:00,0.508
2025-03-23 00:00:00+00:00,0.517
2025-03-24 00:00:00+00:00,0.558
2025-03-25 00:00:00+00:00,0.549
2025-03-26 00:00:00+00:00,0.528
2025-03-27 00:00:00+00:00,0.52
2025-03-28 00:00:00+00:00,0.461
2025-03-29 00:00:00+00:00,0.433
2025-03-30 00:00:00+00:00,0.436
2025-03-31 00:00:00+00:00,0.42
2025-04-01 00:00:00+00:00,0.422
2025-04-02 00:00:00+00:00,0.374
2025-04-03 00:00:00+00:00,0.384
2025-04-04 00:00:00+00:00,0.389
2025-04-05 00:00:00+00:00,0.386
2025-04-06 00:00:00+00:00,0.335
2025-04-07 00:00:00+00:00,0.343
2025-04-08 00:00:00+00:00,0.319
2025-04-09 00:00:00+00:00,0.372
2025-04-10 00:00:00+00:00,0.366
2025-04-11 00:00:00+00:00,0.396
2025-04-12 00:00:00+00:00,0.468
2025-04-13 00:00:00+00:00,0.445
2025-04-14 00:00:00+00:00,0.431
2025-04-15 00:00:00+00:00,0.389
2025-04-16 00:00:00+00:00,0.378
2025-04-17 00:00:00+00:00,0.377
2025-04-18 00:00:00+00:00,0.402
2025-04-19 00:00:00+00:00,0.418
2025-04-20 00:00:00+00:00,0.429
2025-04-21 00:00:00+00:00,0.423
2025-04-22 00:00:00+00:00,0.5
2025-04-23 00:00:00+00:00,0.54
2025-04-24 00:00:00+00:00,0.555
2025-04-25 00:00:00+00:00,0.639
2025-04-26 00:00:00+00:00,0.652
2025-04-27 00:00:00+00:00,0.615
2025-04-28 00:00:00+00:00,0.619
2025-04-29 00:00:00+00:00,0.603
2025-04-30 00:00:00+00:00,0.633
2025-05-01 00:00:00+00:00,0.616
2025-05-02 00:00:00+00:00,0.644
2025-05-03 00:00:00+00:00,0.568
2025-05-04 00:00:00+00:00,0.548
2025-05-05 00:00:00+00:00,0.548
2025-05-06 00:00:00+00:00,0.562
2025-05-07 00:00:00+00:00,0.575
2025-05-08 00:00:00+00:00,0.692
2025-05-09 00:00:00+00:00,0.749
2025-05-10 00:00:00+00:00,0.946
2025-05-11 00:00:00+00:00,0.911
2025-05-12 00:00:00+00:00,1.149
2025-05-13 00:00:00+00:00,1.176
2025-05-14 00:00:00+00:00,1.132
2025-05-15 00:00:00+00:00,0.986
2025-05-16 00:00:00+00:00,1.004
2025-05-17 00:00:00+00:00,0.931
2025-05-18 00:00:00+00:00,1.069
2025-05-19 00:00:00+00:00,0.992
