date,WLD/USDT
2025-01-09 00:00:00+00:00,2.119
2025-01-10 00:00:00+00:00,2.161
2025-01-11 00:00:00+00:00,2.192
2025-01-12 00:00:00+00:00,2.145
2025-01-13 00:00:00+00:00,1.961
2025-01-14 00:00:00+00:00,2.038
2025-01-15 00:00:00+00:00,2.212
2025-01-16 00:00:00+00:00,2.149
2025-01-17 00:00:00+00:00,2.295
2025-01-18 00:00:00+00:00,2.145
2025-01-19 00:00:00+00:00,1.907
2025-01-20 00:00:00+00:00,1.894
2025-01-21 00:00:00+00:00,2.128
2025-01-22 00:00:00+00:00,2.314
2025-01-23 00:00:00+00:00,2.261
2025-01-24 00:00:00+00:00,2.133
2025-01-25 00:00:00+00:00,2.099
2025-01-26 00:00:00+00:00,1.991
2025-01-27 00:00:00+00:00,1.906
2025-01-28 00:00:00+00:00,1.632
2025-01-29 00:00:00+00:00,1.724
2025-01-30 00:00:00+00:00,1.766
2025-01-31 00:00:00+00:00,1.772
2025-02-01 00:00:00+00:00,1.613
2025-02-02 00:00:00+00:00,1.391
2025-02-03 00:00:00+00:00,1.421
2025-02-04 00:00:00+00:00,1.314
2025-02-05 00:00:00+00:00,1.287
2025-02-06 00:00:00+00:00,1.201
2025-02-07 00:00:00+00:00,1.205
2025-02-08 00:00:00+00:00,1.247
2025-02-09 00:00:00+00:00,1.222
2025-02-10 00:00:00+00:00,1.259
2025-02-11 00:00:00+00:00,1.244
2025-02-12 00:00:00+00:00,1.284
2025-02-13 00:00:00+00:00,1.224
2025-02-14 00:00:00+00:00,1.296
2025-02-15 00:00:00+00:00,1.233
2025-02-16 00:00:00+00:00,1.22
2025-02-17 00:00:00+00:00,1.204
2025-02-18 00:00:00+00:00,1.138
2025-02-19 00:00:00+00:00,1.131
2025-02-20 00:00:00+00:00,1.201
2025-02-21 00:00:00+00:00,1.183
2025-02-22 00:00:00+00:00,1.256
2025-02-23 00:00:00+00:00,1.239
2025-02-24 00:00:00+00:00,1.053
2025-02-25 00:00:00+00:00,1.09
2025-02-26 00:00:00+00:00,1.111
2025-02-27 00:00:00+00:00,1.154
2025-02-28 00:00:00+00:00,1.11
2025-03-01 00:00:00+00:00,1.105
2025-03-02 00:00:00+00:00,1.213
2025-03-03 00:00:00+00:00,1.048
2025-03-04 00:00:00+00:00,0.945
2025-03-05 00:00:00+00:00,0.976
2025-03-06 00:00:00+00:00,0.96
2025-03-07 00:00:00+00:00,0.937
2025-03-08 00:00:00+00:00,0.888
2025-03-09 00:00:00+00:00,0.797
2025-03-10 00:00:00+00:00,0.756
2025-03-11 00:00:00+00:00,0.799
2025-03-12 00:00:00+00:00,0.841
2025-03-13 00:00:00+00:00,0.839
2025-03-14 00:00:00+00:00,0.87
2025-03-15 00:00:00+00:00,0.877
2025-03-16 00:00:00+00:00,0.833
2025-03-17 00:00:00+00:00,0.871
2025-03-18 00:00:00+00:00,0.837
2025-03-19 00:00:00+00:00,0.896
2025-03-20 00:00:00+00:00,0.858
2025-03-21 00:00:00+00:00,0.816
2025-03-22 00:00:00+00:00,0.825
2025-03-23 00:00:00+00:00,0.829
2025-03-24 00:00:00+00:00,0.905
2025-03-25 00:00:00+00:00,0.933
2025-03-26 00:00:00+00:00,0.929
2025-03-27 00:00:00+00:00,0.948
2025-03-28 00:00:00+00:00,0.84
2025-03-29 00:00:00+00:00,0.779
2025-03-30 00:00:00+00:00,0.779
2025-03-31 00:00:00+00:00,0.769
2025-04-01 00:00:00+00:00,0.802
2025-04-02 00:00:00+00:00,0.724
2025-04-03 00:00:00+00:00,0.751
2025-04-04 00:00:00+00:00,0.759
2025-04-05 00:00:00+00:00,0.745
2025-04-06 00:00:00+00:00,0.632
2025-04-07 00:00:00+00:00,0.65
2025-04-08 00:00:00+00:00,0.618
2025-04-09 00:00:00+00:00,0.71
2025-04-10 00:00:00+00:00,0.694
2025-04-11 00:00:00+00:00,0.74
2025-04-12 00:00:00+00:00,0.781
2025-04-13 00:00:00+00:00,0.743
2025-04-14 00:00:00+00:00,0.74
2025-04-15 00:00:00+00:00,0.708
2025-04-16 00:00:00+00:00,0.691
