date,XLM/USDT
2025-03-17 00:00:00+00:00,0.273
2025-03-18 00:00:00+00:00,0.2733
2025-03-19 00:00:00+00:00,0.2907
2025-03-20 00:00:00+00:00,0.2814
2025-03-21 00:00:00+00:00,0.277
2025-03-22 00:00:00+00:00,0.274
2025-03-23 00:00:00+00:00,0.2831
2025-03-24 00:00:00+00:00,0.2907
2025-03-25 00:00:00+00:00,0.2938
2025-03-26 00:00:00+00:00,0.2854
2025-03-27 00:00:00+00:00,0.2864
2025-03-28 00:00:00+00:00,0.2747
2025-03-29 00:00:00+00:00,0.2673
2025-03-30 00:00:00+00:00,0.2669
2025-03-31 00:00:00+00:00,0.2639
2025-04-01 00:00:00+00:00,0.2721
2025-04-02 00:00:00+00:00,0.2581
2025-04-03 00:00:00+00:00,0.261
2025-04-04 00:00:00+00:00,0.2596
2025-04-05 00:00:00+00:00,0.2525
2025-04-06 00:00:00+00:00,0.2263
2025-04-07 00:00:00+00:00,0.2322
2025-04-08 00:00:00+00:00,0.2212
2025-04-09 00:00:00+00:00,0.2422
2025-04-10 00:00:00+00:00,0.2303
2025-04-11 00:00:00+00:00,0.2339
2025-04-12 00:00:00+00:00,0.2463
2025-04-13 00:00:00+00:00,0.238
2025-04-14 00:00:00+00:00,0.2399
2025-04-15 00:00:00+00:00,0.2355
2025-04-16 00:00:00+00:00,0.2357
2025-04-17 00:00:00+00:00,0.2394
2025-04-18 00:00:00+00:00,0.24
2025-04-19 00:00:00+00:00,0.2462
2025-04-20 00:00:00+00:00,0.2436
2025-04-21 00:00:00+00:00,0.2501
2025-04-22 00:00:00+00:00,0.265
2025-04-23 00:00:00+00:00,0.2663
2025-04-24 00:00:00+00:00,0.281
2025-04-25 00:00:00+00:00,0.2835
2025-04-26 00:00:00+00:00,0.2906
2025-04-27 00:00:00+00:00,0.2841
2025-04-28 00:00:00+00:00,0.2825
2025-04-29 00:00:00+00:00,0.2777
2025-04-30 00:00:00+00:00,0.271
2025-05-01 00:00:00+00:00,0.2735
2025-05-02 00:00:00+00:00,0.2746
2025-05-03 00:00:00+00:00,0.2692
2025-05-04 00:00:00+00:00,0.2654
2025-05-05 00:00:00+00:00,0.2583
2025-05-06 00:00:00+00:00,0.2628
2025-05-07 00:00:00+00:00,0.2603
2025-05-08 00:00:00+00:00,0.2912
2025-05-09 00:00:00+00:00,0.2953
2025-05-10 00:00:00+00:00,0.3217
2025-05-11 00:00:00+00:00,0.3064
2025-05-12 00:00:00+00:00,0.3127
2025-05-13 00:00:00+00:00,0.314
2025-05-14 00:00:00+00:00,0.3037
2025-05-15 00:00:00+00:00,0.2931
2025-05-16 00:00:00+00:00,0.2932
2025-05-17 00:00:00+00:00,0.2864
2025-05-18 00:00:00+00:00,0.2925
2025-05-19 00:00:00+00:00,0.2867
2025-05-20 00:00:00+00:00,0.2875
2025-05-21 00:00:00+00:00,0.2932
2025-05-22 00:00:00+00:00,0.3042
2025-05-23 00:00:00+00:00,0.2852
2025-05-24 00:00:00+00:00,0.286
2025-05-25 00:00:00+00:00,0.2878
2025-05-26 00:00:00+00:00,0.2858
2025-05-27 00:00:00+00:00,0.2871
2025-05-28 00:00:00+00:00,0.2853
2025-05-29 00:00:00+00:00,0.2788
2025-05-30 00:00:00+00:00,0.2651
2025-05-31 00:00:00+00:00,0.2641
2025-06-01 00:00:00+00:00,0.2674
2025-06-02 00:00:00+00:00,0.2719
2025-06-03 00:00:00+00:00,0.2728
2025-06-04 00:00:00+00:00,0.2666
2025-06-05 00:00:00+00:00,0.257
2025-06-06 00:00:00+00:00,0.2628
2025-06-07 00:00:00+00:00,0.2646
2025-06-08 00:00:00+00:00,0.2677
2025-06-09 00:00:00+00:00,0.2749
2025-06-10 00:00:00+00:00,0.2805
2025-06-11 00:00:00+00:00,0.2768
2025-06-12 00:00:00+00:00,0.2673
2025-06-13 00:00:00+00:00,0.2608
2025-06-14 00:00:00+00:00,0.2564
2025-06-15 00:00:00+00:00,0.2587
2025-06-16 00:00:00+00:00,0.2616
2025-06-17 00:00:00+00:00,0.2519
2025-06-18 00:00:00+00:00,0.2524
2025-06-19 00:00:00+00:00,0.2496
2025-06-20 00:00:00+00:00,0.242
2025-06-21 00:00:00+00:00,0.2372
2025-06-22 00:00:00+00:00,0.2289
2025-06-23 00:00:00+00:00,0.2457
2025-06-24 00:00:00+00:00,0.2488
2025-06-25 00:00:00+00:00,0.2413
2025-06-26 00:00:00+00:00,0.2342
2025-06-27 00:00:00+00:00,0.2368
2025-06-28 00:00:00+00:00,0.2389
2025-06-29 00:00:00+00:00,0.2403
2025-06-30 00:00:00+00:00,0.238
2025-07-01 00:00:00+00:00,0.2254
2025-07-02 00:00:00+00:00,0.238
2025-07-03 00:00:00+00:00,0.2426
2025-07-04 00:00:00+00:00,0.2377
2025-07-05 00:00:00+00:00,0.2383
2025-07-06 00:00:00+00:00,0.2505
2025-07-07 00:00:00+00:00,0.2481
2025-07-08 00:00:00+00:00,0.2596
2025-07-09 00:00:00+00:00,0.2883
2025-07-10 00:00:00+00:00,0.303
2025-07-11 00:00:00+00:00,0.3603
2025-07-12 00:00:00+00:00,0.3929
2025-07-13 00:00:00+00:00,0.4706
2025-07-14 00:00:00+00:00,0.4636
2025-07-15 00:00:00+00:00,0.4515
2025-07-16 00:00:00+00:00,0.4533
2025-07-17 00:00:00+00:00,0.4973
2025-07-18 00:00:00+00:00,0.4588
2025-07-19 00:00:00+00:00,0.461
2025-07-20 00:00:00+00:00,0.4625
2025-07-21 00:00:00+00:00,0.473
2025-07-22 00:00:00+00:00,0.4723
2025-07-23 00:00:00+00:00,0.4278
2025-07-24 00:00:00+00:00,0.4246
2025-07-25 00:00:00+00:00,0.4313
2025-07-26 00:00:00+00:00,0.4352
2025-07-27 00:00:00+00:00,0.4442
2025-07-28 00:00:00+00:00,0.4192
2025-07-29 00:00:00+00:00,0.4211
