date,XRP/USDT
2024-11-03 00:00:00+00:00,0.503
2024-11-04 00:00:00+00:00,0.5035
2024-11-05 00:00:00+00:00,0.514
2024-11-06 00:00:00+00:00,0.5418
2024-11-07 00:00:00+00:00,0.5556
2024-11-08 00:00:00+00:00,0.5537
2024-11-09 00:00:00+00:00,0.5593
2024-11-10 00:00:00+00:00,0.5884
2024-11-11 00:00:00+00:00,0.6207
2024-11-12 00:00:00+00:00,0.704
2024-11-13 00:00:00+00:00,0.6898
2024-11-14 00:00:00+00:00,0.7736
2024-11-15 00:00:00+00:00,0.8922
2024-11-16 00:00:00+00:00,1.1209
2024-11-17 00:00:00+00:00,1.0543
2024-11-18 00:00:00+00:00,1.1137
2024-11-19 00:00:00+00:00,1.1003
2024-11-20 00:00:00+00:00,1.1041
2024-11-21 00:00:00+00:00,1.247
2024-11-22 00:00:00+00:00,1.4726
2024-11-23 00:00:00+00:00,1.4685
2024-11-24 00:00:00+00:00,1.4331
2024-11-25 00:00:00+00:00,1.4142
2024-11-26 00:00:00+00:00,1.3984
2024-11-27 00:00:00+00:00,1.4696
2024-11-28 00:00:00+00:00,1.5421
2024-11-29 00:00:00+00:00,1.8006
2024-11-30 00:00:00+00:00,1.9513
2024-12-01 00:00:00+00:00,2.2937
2024-12-02 00:00:00+00:00,2.7245
2024-12-03 00:00:00+00:00,2.5102
2024-12-04 00:00:00+00:00,2.3574
2024-12-05 00:00:00+00:00,2.2446
2024-12-06 00:00:00+00:00,2.4257
2024-12-07 00:00:00+00:00,2.6099
2024-12-08 00:00:00+00:00,2.6013
2024-12-09 00:00:00+00:00,2.2124
2024-12-10 00:00:00+00:00,2.3709
2024-12-11 00:00:00+00:00,2.3941
2024-12-12 00:00:00+00:00,2.3384
2024-12-13 00:00:00+00:00,2.4217
2024-12-14 00:00:00+00:00,2.4005
2024-12-15 00:00:00+00:00,2.4469
2024-12-16 00:00:00+00:00,2.4841
2024-12-17 00:00:00+00:00,2.5673
2024-12-18 00:00:00+00:00,2.3103
2024-12-19 00:00:00+00:00,2.239
2024-12-20 00:00:00+00:00,2.2793
2024-12-21 00:00:00+00:00,2.238
2024-12-22 00:00:00+00:00,2.2031
2024-12-23 00:00:00+00:00,2.2617
2024-12-24 00:00:00+00:00,2.3238
2024-12-25 00:00:00+00:00,2.2973
2024-12-26 00:00:00+00:00,2.1559
2024-12-27 00:00:00+00:00,2.1466
2024-12-28 00:00:00+00:00,2.1843
2024-12-29 00:00:00+00:00,2.0942
2024-12-30 00:00:00+00:00,2.0587
2024-12-31 00:00:00+00:00,2.0836
2025-01-01 00:00:00+00:00,2.3328
2025-01-02 00:00:00+00:00,2.4024
2025-01-03 00:00:00+00:00,2.4547
2025-01-04 00:00:00+00:00,2.4201
2025-01-05 00:00:00+00:00,2.3994
2025-01-06 00:00:00+00:00,2.42
2025-01-07 00:00:00+00:00,2.2712
2025-01-08 00:00:00+00:00,2.3731
2025-01-09 00:00:00+00:00,2.2722
2025-01-10 00:00:00+00:00,2.3414
2025-01-11 00:00:00+00:00,2.5764
2025-01-12 00:00:00+00:00,2.5046
2025-01-13 00:00:00+00:00,2.5232
2025-01-14 00:00:00+00:00,2.6673
2025-01-15 00:00:00+00:00,3.1429
2025-01-16 00:00:00+00:00,3.2451
2025-01-17 00:00:00+00:00,3.2922
2025-01-18 00:00:00+00:00,3.2697
2025-01-19 00:00:00+00:00,2.9587
2025-01-20 00:00:00+00:00,3.1053
2025-01-21 00:00:00+00:00,3.1738
2025-01-22 00:00:00+00:00,3.1803
2025-01-23 00:00:00+00:00,3.1194
2025-01-24 00:00:00+00:00,3.1009
2025-01-25 00:00:00+00:00,3.108
2025-01-26 00:00:00+00:00,3.0223
2025-01-27 00:00:00+00:00,3.0552
2025-01-28 00:00:00+00:00,3.0572
2025-01-29 00:00:00+00:00,3.0683
2025-01-30 00:00:00+00:00,3.1276
2025-01-31 00:00:00+00:00,3.0361
2025-02-01 00:00:00+00:00,2.8778
2025-02-02 00:00:00+00:00,2.58
2025-02-03 00:00:00+00:00,2.7001
2025-02-04 00:00:00+00:00,2.5274
2025-02-05 00:00:00+00:00,2.381
2025-02-06 00:00:00+00:00,2.325
2025-02-07 00:00:00+00:00,2.3968
2025-02-08 00:00:00+00:00,2.419
2025-02-09 00:00:00+00:00,2.3928
2025-02-10 00:00:00+00:00,2.4237
