date,XTZ/USDT
2025-03-17 00:00:00+00:00,0.717
2025-03-18 00:00:00+00:00,0.709
2025-03-19 00:00:00+00:00,0.729
2025-03-20 00:00:00+00:00,0.709
2025-03-21 00:00:00+00:00,0.685
2025-03-22 00:00:00+00:00,0.692
2025-03-23 00:00:00+00:00,0.695
2025-03-24 00:00:00+00:00,0.723
2025-03-25 00:00:00+00:00,0.732
2025-03-26 00:00:00+00:00,0.722
2025-03-27 00:00:00+00:00,0.73
2025-03-28 00:00:00+00:00,0.679
2025-03-29 00:00:00+00:00,0.652
2025-03-30 00:00:00+00:00,0.654
2025-03-31 00:00:00+00:00,0.653
2025-04-01 00:00:00+00:00,0.662
2025-04-02 00:00:00+00:00,0.637
2025-04-03 00:00:00+00:00,0.65
2025-04-04 00:00:00+00:00,0.655
2025-04-05 00:00:00+00:00,0.656
2025-04-06 00:00:00+00:00,0.582
2025-04-07 00:00:00+00:00,0.595
2025-04-08 00:00:00+00:00,0.575
2025-04-09 00:00:00+00:00,0.605
2025-04-10 00:00:00+00:00,0.543
2025-04-11 00:00:00+00:00,0.543
2025-04-12 00:00:00+00:00,0.558
2025-04-13 00:00:00+00:00,0.504
2025-04-14 00:00:00+00:00,0.494
2025-04-15 00:00:00+00:00,0.494
2025-04-16 00:00:00+00:00,0.492
2025-04-17 00:00:00+00:00,0.498
2025-04-18 00:00:00+00:00,0.5
2025-04-19 00:00:00+00:00,0.505
2025-04-20 00:00:00+00:00,0.495
2025-04-21 00:00:00+00:00,0.501
2025-04-22 00:00:00+00:00,0.534
2025-04-23 00:00:00+00:00,0.541
2025-04-24 00:00:00+00:00,0.553
2025-04-25 00:00:00+00:00,0.566
2025-04-26 00:00:00+00:00,0.572
2025-04-27 00:00:00+00:00,0.55
2025-04-28 00:00:00+00:00,0.555
2025-04-29 00:00:00+00:00,0.555
2025-04-30 00:00:00+00:00,0.552
2025-05-01 00:00:00+00:00,0.565
2025-05-02 00:00:00+00:00,0.571
2025-05-03 00:00:00+00:00,0.557
2025-05-04 00:00:00+00:00,0.536
2025-05-05 00:00:00+00:00,0.54
2025-05-06 00:00:00+00:00,0.536
2025-05-07 00:00:00+00:00,0.541
2025-05-08 00:00:00+00:00,0.597
2025-05-09 00:00:00+00:00,0.631
2025-05-10 00:00:00+00:00,0.69
2025-05-11 00:00:00+00:00,0.667
2025-05-12 00:00:00+00:00,0.683
2025-05-13 00:00:00+00:00,0.694
2025-05-14 00:00:00+00:00,0.671
2025-05-15 00:00:00+00:00,0.639
2025-05-16 00:00:00+00:00,0.6354
2025-05-17 00:00:00+00:00,0.6121
2025-05-18 00:00:00+00:00,0.6356
2025-05-19 00:00:00+00:00,0.6154
2025-05-20 00:00:00+00:00,0.6244
2025-05-21 00:00:00+00:00,0.6352
2025-05-22 00:00:00+00:00,0.6569
2025-05-23 00:00:00+00:00,0.6166
2025-05-24 00:00:00+00:00,0.6157
2025-05-25 00:00:00+00:00,0.6192
2025-05-26 00:00:00+00:00,0.611
2025-05-27 00:00:00+00:00,0.6215
2025-05-28 00:00:00+00:00,0.6444
2025-05-29 00:00:00+00:00,0.6164
2025-05-30 00:00:00+00:00,0.5633
2025-05-31 00:00:00+00:00,0.571
2025-06-01 00:00:00+00:00,0.5711
2025-06-02 00:00:00+00:00,0.5805
2025-06-03 00:00:00+00:00,0.5862
2025-06-04 00:00:00+00:00,0.5757
2025-06-05 00:00:00+00:00,0.5404
2025-06-06 00:00:00+00:00,0.5551
2025-06-07 00:00:00+00:00,0.5705
2025-06-08 00:00:00+00:00,0.5718
