date,ZEC/USDT
2024-11-03 00:00:00+00:00,37.22
2024-11-04 00:00:00+00:00,36.93
2024-11-05 00:00:00+00:00,38.21
2024-11-06 00:00:00+00:00,43.24
2024-11-07 00:00:00+00:00,44.07
2024-11-08 00:00:00+00:00,46.19
2024-11-09 00:00:00+00:00,46.08
2024-11-10 00:00:00+00:00,45.49
2024-11-11 00:00:00+00:00,45.29
2024-11-12 00:00:00+00:00,41.98
2024-11-13 00:00:00+00:00,38.67
2024-11-14 00:00:00+00:00,36.77
2024-11-15 00:00:00+00:00,38.49
2024-11-16 00:00:00+00:00,44.98
2024-11-17 00:00:00+00:00,44.5
2024-11-18 00:00:00+00:00,44.85
2024-11-19 00:00:00+00:00,42.78
2024-11-20 00:00:00+00:00,41.45
2024-11-21 00:00:00+00:00,45.37
2024-11-22 00:00:00+00:00,45.85
2024-11-23 00:00:00+00:00,48.82
2024-11-24 00:00:00+00:00,52.6
2024-11-25 00:00:00+00:00,47.81
2024-11-26 00:00:00+00:00,51.24
2024-11-27 00:00:00+00:00,56.49
2024-11-28 00:00:00+00:00,55.72
2024-11-29 00:00:00+00:00,54.48
2024-11-30 00:00:00+00:00,59.26
2024-12-01 00:00:00+00:00,60.04
2024-12-02 00:00:00+00:00,74.59
2024-12-03 00:00:00+00:00,73.2
2024-12-04 00:00:00+00:00,69.6
2024-12-05 00:00:00+00:00,70.64
2024-12-06 00:00:00+00:00,70.36
2024-12-07 00:00:00+00:00,70.28
2024-12-08 00:00:00+00:00,74.25
2024-12-09 00:00:00+00:00,58.52
2024-12-10 00:00:00+00:00,58.73
2024-12-11 00:00:00+00:00,63.75
2024-12-12 00:00:00+00:00,59.43
2024-12-13 00:00:00+00:00,60.04
2024-12-14 00:00:00+00:00,58.38
2024-12-15 00:00:00+00:00,59.06
2024-12-16 00:00:00+00:00,56.45
2024-12-17 00:00:00+00:00,55.28
2024-12-18 00:00:00+00:00,50.69
2024-12-19 00:00:00+00:00,48.29
2024-12-20 00:00:00+00:00,54.41
2024-12-21 00:00:00+00:00,53.64
2024-12-22 00:00:00+00:00,58.58
2024-12-23 00:00:00+00:00,65.84
2024-12-24 00:00:00+00:00,69.31
2024-12-25 00:00:00+00:00,73.53
2024-12-26 00:00:00+00:00,68.94
2024-12-27 00:00:00+00:00,62.16
2024-12-28 00:00:00+00:00,62.77
2024-12-29 00:00:00+00:00,60.65
2024-12-30 00:00:00+00:00,58.29
2024-12-31 00:00:00+00:00,56.27
2025-01-01 00:00:00+00:00,58.22
2025-01-02 00:00:00+00:00,59.48
2025-01-03 00:00:00+00:00,60.91
2025-01-04 00:00:00+00:00,59.21
2025-01-05 00:00:00+00:00,58.45
2025-01-06 00:00:00+00:00,60.41
2025-01-07 00:00:00+00:00,52.27
2025-01-08 00:00:00+00:00,50.24
2025-01-09 00:00:00+00:00,46.99
2025-01-10 00:00:00+00:00,48.27
2025-01-11 00:00:00+00:00,48.54
2025-01-12 00:00:00+00:00,48.02
2025-01-13 00:00:00+00:00,48.44
2025-01-14 00:00:00+00:00,51.13
2025-01-15 00:00:00+00:00,55.37
2025-01-16 00:00:00+00:00,54.07
2025-01-17 00:00:00+00:00,54.86
2025-01-18 00:00:00+00:00,51.98
2025-01-19 00:00:00+00:00,46.93
2025-01-20 00:00:00+00:00,47.55
2025-01-21 00:00:00+00:00,49.1
2025-01-22 00:00:00+00:00,48.48
2025-01-23 00:00:00+00:00,48.61
2025-01-24 00:00:00+00:00,46.24
2025-01-25 00:00:00+00:00,46.42
2025-01-26 00:00:00+00:00,44.81
2025-01-27 00:00:00+00:00,43.18
2025-01-28 00:00:00+00:00,41.73
2025-01-29 00:00:00+00:00,42.41
2025-01-30 00:00:00+00:00,43.94
2025-01-31 00:00:00+00:00,43.24
2025-02-01 00:00:00+00:00,39.17
2025-02-02 00:00:00+00:00,33.24
2025-02-03 00:00:00+00:00,35.48
2025-02-04 00:00:00+00:00,32.13
2025-02-05 00:00:00+00:00,32.13
2025-02-06 00:00:00+00:00,29.87
2025-02-07 00:00:00+00:00,30.11
2025-02-08 00:00:00+00:00,31.9
2025-02-09 00:00:00+00:00,32.47
2025-02-10 00:00:00+00:00,32.5
2025-02-11 00:00:00+00:00,33.09
2025-02-12 00:00:00+00:00,32.68
2025-02-13 00:00:00+00:00,32.46
2025-02-14 00:00:00+00:00,33.04
2025-02-15 00:00:00+00:00,32.19
2025-02-16 00:00:00+00:00,34.16
2025-02-17 00:00:00+00:00,36.48
2025-02-18 00:00:00+00:00,33.86
2025-02-19 00:00:00+00:00,36.15
2025-02-20 00:00:00+00:00,36.6
2025-02-21 00:00:00+00:00,35.15
2025-02-22 00:00:00+00:00,35.91
2025-02-23 00:00:00+00:00,35.9
2025-02-24 00:00:00+00:00,33.03
2025-02-25 00:00:00+00:00,33.54
2025-02-26 00:00:00+00:00,36.1
2025-02-27 00:00:00+00:00,36.71
2025-02-28 00:00:00+00:00,37.62
2025-03-01 00:00:00+00:00,37.81
2025-03-02 00:00:00+00:00,41.27
2025-03-03 00:00:00+00:00,36.35
2025-03-04 00:00:00+00:00,35.06
2025-03-05 00:00:00+00:00,36.42
2025-03-06 00:00:00+00:00,34.11
2025-03-07 00:00:00+00:00,32.99
2025-03-08 00:00:00+00:00,32.59
2025-03-09 00:00:00+00:00,29.84
2025-03-10 00:00:00+00:00,29.17
2025-03-11 00:00:00+00:00,30.29
2025-03-12 00:00:00+00:00,30.23
2025-03-13 00:00:00+00:00,31.02
2025-03-14 00:00:00+00:00,32.32
2025-03-15 00:00:00+00:00,32.3
2025-03-16 00:00:00+00:00,32.8
2025-03-17 00:00:00+00:00,34.25
2025-03-18 00:00:00+00:00,33.14
2025-03-19 00:00:00+00:00,34.27
2025-03-20 00:00:00+00:00,33.91
2025-03-21 00:00:00+00:00,30.85
2025-03-22 00:00:00+00:00,31.09
2025-03-23 00:00:00+00:00,31.04
2025-03-24 00:00:00+00:00,32.44
2025-03-25 00:00:00+00:00,36.51
2025-03-26 00:00:00+00:00,39.02
2025-03-27 00:00:00+00:00,37.19
2025-03-28 00:00:00+00:00,36.9
2025-03-29 00:00:00+00:00,36.27
2025-03-30 00:00:00+00:00,37.44
2025-03-31 00:00:00+00:00,39.37
2025-04-01 00:00:00+00:00,40.64
2025-04-02 00:00:00+00:00,38.87
2025-04-03 00:00:00+00:00,38.86
2025-04-04 00:00:00+00:00,39.43
2025-04-05 00:00:00+00:00,37.52
2025-04-06 00:00:00+00:00,35.79
2025-04-07 00:00:00+00:00,33.84
2025-04-08 00:00:00+00:00,35.03
2025-04-09 00:00:00+00:00,36.45
2025-04-10 00:00:00+00:00,36.29
2025-04-11 00:00:00+00:00,35.39
2025-04-12 00:00:00+00:00,34.83
2025-04-13 00:00:00+00:00,31.04
2025-04-14 00:00:00+00:00,31.14
2025-04-15 00:00:00+00:00,30.8
2025-04-16 00:00:00+00:00,31.08
2025-04-17 00:00:00+00:00,30.75
2025-04-18 00:00:00+00:00,30.88
2025-04-19 00:00:00+00:00,31.67
2025-04-20 00:00:00+00:00,31.0
2025-04-21 00:00:00+00:00,31.21
2025-04-22 00:00:00+00:00,33.03
2025-04-23 00:00:00+00:00,34.25
2025-04-24 00:00:00+00:00,34.28
2025-04-25 00:00:00+00:00,34.18
2025-04-26 00:00:00+00:00,33.43
2025-04-27 00:00:00+00:00,32.55
2025-04-28 00:00:00+00:00,35.63
2025-04-29 00:00:00+00:00,34.56
2025-04-30 00:00:00+00:00,36.09
2025-05-01 00:00:00+00:00,37.41
2025-05-02 00:00:00+00:00,36.28
2025-05-03 00:00:00+00:00,35.82
