date,ZEN/USDT
2025-01-09 00:00:00+00:00,23.72
2025-01-10 00:00:00+00:00,24.54
2025-01-11 00:00:00+00:00,24.08
2025-01-12 00:00:00+00:00,23.12
2025-01-13 00:00:00+00:00,20.53
2025-01-14 00:00:00+00:00,24.26
2025-01-15 00:00:00+00:00,31.8
2025-01-16 00:00:00+00:00,30.3
2025-01-17 00:00:00+00:00,29.76
2025-01-18 00:00:00+00:00,24.37
2025-01-19 00:00:00+00:00,22.85
2025-01-20 00:00:00+00:00,22.3
2025-01-21 00:00:00+00:00,22.43
2025-01-22 00:00:00+00:00,22.56
2025-01-23 00:00:00+00:00,22.98
2025-01-24 00:00:00+00:00,20.4
2025-01-25 00:00:00+00:00,19.97
2025-01-26 00:00:00+00:00,18.53
2025-01-27 00:00:00+00:00,18.92
2025-01-28 00:00:00+00:00,17.34
2025-01-29 00:00:00+00:00,18.15
2025-01-30 00:00:00+00:00,19.35
2025-01-31 00:00:00+00:00,19.24
2025-02-01 00:00:00+00:00,16.98
2025-02-02 00:00:00+00:00,14.2
2025-02-03 00:00:00+00:00,13.76
2025-02-04 00:00:00+00:00,12.62
2025-02-05 00:00:00+00:00,12.11
2025-02-06 00:00:00+00:00,10.99
2025-02-07 00:00:00+00:00,11.31
2025-02-08 00:00:00+00:00,11.91
2025-02-09 00:00:00+00:00,11.27
2025-02-10 00:00:00+00:00,11.91
2025-02-11 00:00:00+00:00,12.0
2025-02-12 00:00:00+00:00,13.57
2025-02-13 00:00:00+00:00,14.92
2025-02-14 00:00:00+00:00,14.96
2025-02-15 00:00:00+00:00,15.75
2025-02-16 00:00:00+00:00,14.64
2025-02-17 00:00:00+00:00,14.08
2025-02-18 00:00:00+00:00,13.38
2025-02-19 00:00:00+00:00,13.38
2025-02-20 00:00:00+00:00,13.58
2025-02-21 00:00:00+00:00,12.66
2025-02-22 00:00:00+00:00,13.61
2025-02-23 00:00:00+00:00,13.44
2025-02-24 00:00:00+00:00,11.8
2025-02-25 00:00:00+00:00,12.11
2025-02-26 00:00:00+00:00,13.15
2025-02-27 00:00:00+00:00,13.51
2025-02-28 00:00:00+00:00,13.6
2025-03-01 00:00:00+00:00,12.55
2025-03-02 00:00:00+00:00,14.35
2025-03-03 00:00:00+00:00,11.7
2025-03-04 00:00:00+00:00,11.08
2025-03-05 00:00:00+00:00,11.38
2025-03-06 00:00:00+00:00,10.85
2025-03-07 00:00:00+00:00,10.43
2025-03-08 00:00:00+00:00,10.27
2025-03-09 00:00:00+00:00,9.25
2025-03-10 00:00:00+00:00,8.1
2025-03-11 00:00:00+00:00,8.71
2025-03-12 00:00:00+00:00,9.1
2025-03-13 00:00:00+00:00,8.94
2025-03-14 00:00:00+00:00,9.26
2025-03-15 00:00:00+00:00,9.27
2025-03-16 00:00:00+00:00,9.23
2025-03-17 00:00:00+00:00,9.54
2025-03-18 00:00:00+00:00,9.15
2025-03-19 00:00:00+00:00,9.71
2025-03-20 00:00:00+00:00,9.13
2025-03-21 00:00:00+00:00,8.88
2025-03-22 00:00:00+00:00,8.81
2025-03-23 00:00:00+00:00,8.96
2025-03-24 00:00:00+00:00,9.67
2025-03-25 00:00:00+00:00,10.11
2025-03-26 00:00:00+00:00,10.06
2025-03-27 00:00:00+00:00,9.98
2025-03-28 00:00:00+00:00,9.21
2025-03-29 00:00:00+00:00,9.06
2025-03-30 00:00:00+00:00,8.89
2025-03-31 00:00:00+00:00,8.77
2025-04-01 00:00:00+00:00,8.94
2025-04-02 00:00:00+00:00,8.06
2025-04-03 00:00:00+00:00,8.24
2025-04-04 00:00:00+00:00,8.38
2025-04-05 00:00:00+00:00,8.14
2025-04-06 00:00:00+00:00,7.19
2025-04-07 00:00:00+00:00,7.49
2025-04-08 00:00:00+00:00,7.21
2025-04-09 00:00:00+00:00,8.03
2025-04-10 00:00:00+00:00,7.79
2025-04-11 00:00:00+00:00,8.42
2025-04-12 00:00:00+00:00,8.75
2025-04-13 00:00:00+00:00,8.14
2025-04-14 00:00:00+00:00,8.23
2025-04-15 00:00:00+00:00,8.06
2025-04-16 00:00:00+00:00,8.12
2025-04-17 00:00:00+00:00,8.28
2025-04-18 00:00:00+00:00,8.6
2025-04-19 00:00:00+00:00,8.79
2025-04-20 00:00:00+00:00,8.75
2025-04-21 00:00:00+00:00,8.66
2025-04-22 00:00:00+00:00,9.34
2025-04-23 00:00:00+00:00,9.7
2025-04-24 00:00:00+00:00,9.63
2025-04-25 00:00:00+00:00,9.67
2025-04-26 00:00:00+00:00,9.67
2025-04-27 00:00:00+00:00,9.12
2025-04-28 00:00:00+00:00,9.42
2025-04-29 00:00:00+00:00,8.95
2025-04-30 00:00:00+00:00,8.96
2025-05-01 00:00:00+00:00,8.95
2025-05-02 00:00:00+00:00,9.06
2025-05-03 00:00:00+00:00,8.5
2025-05-04 00:00:00+00:00,8.37
2025-05-05 00:00:00+00:00,8.29
2025-05-06 00:00:00+00:00,8.26
2025-05-07 00:00:00+00:00,8.34
2025-05-08 00:00:00+00:00,9.45
2025-05-09 00:00:00+00:00,10.0
2025-05-10 00:00:00+00:00,10.8
2025-05-11 00:00:00+00:00,10.5
2025-05-12 00:00:00+00:00,10.26
2025-05-13 00:00:00+00:00,10.6
2025-05-14 00:00:00+00:00,10.27
2025-05-15 00:00:00+00:00,9.59
2025-05-16 00:00:00+00:00,9.16
2025-05-17 00:00:00+00:00,8.99
2025-05-18 00:00:00+00:00,9.51
2025-05-19 00:00:00+00:00,9.13
2025-05-20 00:00:00+00:00,9.16
2025-05-21 00:00:00+00:00,9.8
2025-05-22 00:00:00+00:00,10.48
2025-05-23 00:00:00+00:00,9.36
2025-05-24 00:00:00+00:00,9.44
2025-05-25 00:00:00+00:00,9.59
2025-05-26 00:00:00+00:00,9.45
2025-05-27 00:00:00+00:00,9.49
2025-05-28 00:00:00+00:00,9.46
2025-05-29 00:00:00+00:00,9.09
2025-05-30 00:00:00+00:00,8.55
2025-05-31 00:00:00+00:00,8.77
2025-06-01 00:00:00+00:00,10.27
2025-06-02 00:00:00+00:00,11.8
2025-06-03 00:00:00+00:00,11.6
2025-06-04 00:00:00+00:00,10.66
2025-06-05 00:00:00+00:00,10.47
2025-06-06 00:00:00+00:00,9.81
2025-06-07 00:00:00+00:00,10.2
2025-06-08 00:00:00+00:00,10.12
2025-06-09 00:00:00+00:00,10.83
2025-06-10 00:00:00+00:00,10.45
2025-06-11 00:00:00+00:00,9.79
2025-06-12 00:00:00+00:00,8.99
2025-06-13 00:00:00+00:00,8.89
2025-06-14 00:00:00+00:00,8.49
2025-06-15 00:00:00+00:00,8.6
2025-06-16 00:00:00+00:00,8.51
2025-06-17 00:00:00+00:00,8.18
2025-06-18 00:00:00+00:00,8.13
2025-06-19 00:00:00+00:00,8.01
2025-06-20 00:00:00+00:00,7.6
2025-06-21 00:00:00+00:00,7.18
2025-06-22 00:00:00+00:00,6.91
2025-06-23 00:00:00+00:00,7.52
2025-06-24 00:00:00+00:00,7.49
2025-06-25 00:00:00+00:00,7.2
2025-06-26 00:00:00+00:00,7.23
2025-06-27 00:00:00+00:00,7.31
2025-06-28 00:00:00+00:00,7.37
2025-06-29 00:00:00+00:00,7.76
2025-06-30 00:00:00+00:00,7.26
2025-07-01 00:00:00+00:00,6.93
2025-07-02 00:00:00+00:00,7.24
2025-07-03 00:00:00+00:00,7.2
2025-07-04 00:00:00+00:00,7.15
2025-07-05 00:00:00+00:00,7.14
2025-07-06 00:00:00+00:00,7.59
2025-07-07 00:00:00+00:00,7.29
2025-07-08 00:00:00+00:00,7.63
2025-07-09 00:00:00+00:00,7.8
2025-07-10 00:00:00+00:00,8.2
2025-07-11 00:00:00+00:00,8.09
2025-07-12 00:00:00+00:00,7.96
2025-07-13 00:00:00+00:00,8.27
2025-07-14 00:00:00+00:00,8.33
2025-07-15 00:00:00+00:00,8.5
2025-07-16 00:00:00+00:00,8.66
2025-07-17 00:00:00+00:00,9.08
2025-07-18 00:00:00+00:00,9.05
2025-07-19 00:00:00+00:00,9.32
2025-07-20 00:00:00+00:00,9.92
2025-07-21 00:00:00+00:00,10.18
2025-07-22 00:00:00+00:00,9.77
2025-07-23 00:00:00+00:00,8.87
2025-07-24 00:00:00+00:00,8.55
2025-07-25 00:00:00+00:00,8.7
2025-07-26 00:00:00+00:00,8.75
2025-07-27 00:00:00+00:00,8.96
2025-07-28 00:00:00+00:00,8.44
2025-07-29 00:00:00+00:00,8.38
2025-07-30 00:00:00+00:00,8.26
2025-07-31 00:00:00+00:00,7.93
2025-08-01 00:00:00+00:00,7.53
2025-08-02 00:00:00+00:00,7.4
2025-08-03 00:00:00+00:00,7.69
2025-08-04 00:00:00+00:00,7.98
2025-08-05 00:00:00+00:00,7.69
2025-08-06 00:00:00+00:00,7.82
2025-08-07 00:00:00+00:00,8.22
2025-08-08 00:00:00+00:00,8.28
2025-08-09 00:00:00+00:00,8.5
2025-08-10 00:00:00+00:00,8.59
2025-08-11 00:00:00+00:00,8.07
2025-08-12 00:00:00+00:00,8.43
2025-08-13 00:00:00+00:00,8.64
2025-08-14 00:00:00+00:00,7.87
2025-08-15 00:00:00+00:00,7.88
2025-08-16 00:00:00+00:00,7.98
2025-08-17 00:00:00+00:00,7.91
2025-08-18 00:00:00+00:00,7.6
2025-08-19 00:00:00+00:00,7.5
2025-08-20 00:00:00+00:00,7.72
2025-08-21 00:00:00+00:00,7.614
2025-08-22 00:00:00+00:00,8.361
2025-08-23 00:00:00+00:00,8.42
2025-08-24 00:00:00+00:00,8.307
2025-08-25 00:00:00+00:00,7.384
2025-08-26 00:00:00+00:00,7.918
2025-08-27 00:00:00+00:00,7.83
2025-08-28 00:00:00+00:00,7.706
2025-08-29 00:00:00+00:00,7.332
2025-08-30 00:00:00+00:00,7.255
2025-08-31 00:00:00+00:00,7.185
2025-09-01 00:00:00+00:00,6.934
2025-09-02 00:00:00+00:00,7.096
2025-09-03 00:00:00+00:00,7.171
2025-09-04 00:00:00+00:00,6.905
2025-09-05 00:00:00+00:00,7.212
2025-09-06 00:00:00+00:00,7.209
2025-09-07 00:00:00+00:00,7.285
2025-09-08 00:00:00+00:00,7.375
2025-09-09 00:00:00+00:00,7.443
2025-09-10 00:00:00+00:00,7.488
2025-09-11 00:00:00+00:00,7.56
2025-09-12 00:00:00+00:00,7.726
2025-09-13 00:00:00+00:00,7.917
2025-09-14 00:00:00+00:00,7.523
2025-09-15 00:00:00+00:00,7.286
2025-09-16 00:00:00+00:00,7.318
2025-09-17 00:00:00+00:00,7.548
2025-09-18 00:00:00+00:00,7.662
2025-09-19 00:00:00+00:00,7.388
2025-09-20 00:00:00+00:00,7.455
2025-09-21 00:00:00+00:00,7.323
2025-09-22 00:00:00+00:00,6.782
2025-09-23 00:00:00+00:00,6.821
2025-09-24 00:00:00+00:00,6.898
2025-09-25 00:00:00+00:00,6.248
2025-09-26 00:00:00+00:00,6.407
2025-09-27 00:00:00+00:00,6.384
2025-09-28 00:00:00+00:00,6.508
2025-09-29 00:00:00+00:00,7.162
2025-09-30 00:00:00+00:00,7.74
2025-10-01 00:00:00+00:00,9.34
2025-10-02 00:00:00+00:00,9.845
2025-10-03 00:00:00+00:00,9.556
2025-10-04 00:00:00+00:00,9.977
2025-10-05 00:00:00+00:00,9.758
2025-10-06 00:00:00+00:00,9.738
2025-10-07 00:00:00+00:00,9.474
2025-10-08 00:00:00+00:00,11.944
2025-10-09 00:00:00+00:00,12.06
2025-10-10 00:00:00+00:00,11.485
2025-10-11 00:00:00+00:00,13.147
2025-10-12 00:00:00+00:00,14.09
2025-10-13 00:00:00+00:00,13.508
2025-10-14 00:00:00+00:00,12.36
2025-10-15 00:00:00+00:00,12.014
2025-10-16 00:00:00+00:00,11.2
2025-10-17 00:00:00+00:00,11.294
2025-10-18 00:00:00+00:00,11.352
2025-10-19 00:00:00+00:00,11.275
2025-10-20 00:00:00+00:00,12.43
2025-10-21 00:00:00+00:00,12.019
2025-10-22 00:00:00+00:00,10.969
2025-10-23 00:00:00+00:00,10.713
2025-10-24 00:00:00+00:00,11.083
2025-10-25 00:00:00+00:00,11.29
2025-10-26 00:00:00+00:00,13.277
2025-10-27 00:00:00+00:00,13.64
2025-10-28 00:00:00+00:00,12.066
2025-10-29 00:00:00+00:00,12.563
2025-10-30 00:00:00+00:00,11.66
2025-10-31 00:00:00+00:00,14.553
2025-11-01 00:00:00+00:00,20.073
2025-11-02 00:00:00+00:00,17.485
2025-11-03 00:00:00+00:00,19.236
2025-11-04 00:00:00+00:00,19.896
2025-11-05 00:00:00+00:00,18.915
2025-11-06 00:00:00+00:00,18.755
2025-11-07 00:00:00+00:00,20.01
2025-11-08 00:00:00+00:00,14.466
2025-11-09 00:00:00+00:00,15.331
2025-11-10 00:00:00+00:00,12.965
2025-11-11 00:00:00+00:00,12.629
2025-11-12 00:00:00+00:00,13.126
2025-11-13 00:00:00+00:00,12.026
2025-11-14 00:00:00+00:00,13.362
2025-11-15 00:00:00+00:00,14.342
