date,ZK/USDT
2024-11-03 00:00:00+00:00,0.1199
2024-11-04 00:00:00+00:00,0.1155
2024-11-05 00:00:00+00:00,0.1204
2024-11-06 00:00:00+00:00,0.1381
2024-11-07 00:00:00+00:00,0.1399
2024-11-08 00:00:00+00:00,0.1374
2024-11-09 00:00:00+00:00,0.1451
2024-11-10 00:00:00+00:00,0.1481
2024-11-11 00:00:00+00:00,0.155
2024-11-12 00:00:00+00:00,0.1565
2024-11-13 00:00:00+00:00,0.145
2024-11-14 00:00:00+00:00,0.1362
2024-11-15 00:00:00+00:00,0.1441
2024-11-16 00:00:00+00:00,0.1507
2024-11-17 00:00:00+00:00,0.1452
2024-11-18 00:00:00+00:00,0.1543
2024-11-19 00:00:00+00:00,0.1443
2024-11-20 00:00:00+00:00,0.1343
2024-11-21 00:00:00+00:00,0.1489
2024-11-22 00:00:00+00:00,0.1557
2024-11-23 00:00:00+00:00,0.1659
2024-11-24 00:00:00+00:00,0.1741
2024-11-25 00:00:00+00:00,0.1727
2024-11-26 00:00:00+00:00,0.1649
2024-11-27 00:00:00+00:00,0.1817
2024-11-28 00:00:00+00:00,0.1798
2024-11-29 00:00:00+00:00,0.1868
2024-11-30 00:00:00+00:00,0.1897
2024-12-01 00:00:00+00:00,0.2158
2024-12-02 00:00:00+00:00,0.227
2024-12-03 00:00:00+00:00,0.225
2024-12-04 00:00:00+00:00,0.2251
2024-12-05 00:00:00+00:00,0.2282
2024-12-06 00:00:00+00:00,0.2568
2024-12-07 00:00:00+00:00,0.2618
2024-12-08 00:00:00+00:00,0.2554
2024-12-09 00:00:00+00:00,0.2087
2024-12-10 00:00:00+00:00,0.2166
2024-12-11 00:00:00+00:00,0.2377
2024-12-12 00:00:00+00:00,0.2341
2024-12-13 00:00:00+00:00,0.2325
2024-12-14 00:00:00+00:00,0.2246
2024-12-15 00:00:00+00:00,0.2322
2024-12-16 00:00:00+00:00,0.2238
2024-12-17 00:00:00+00:00,0.2095
2024-12-18 00:00:00+00:00,0.1982
2024-12-19 00:00:00+00:00,0.1756
2024-12-20 00:00:00+00:00,0.1885
2024-12-21 00:00:00+00:00,0.1719
2024-12-22 00:00:00+00:00,0.1743
2024-12-23 00:00:00+00:00,0.2004
2024-12-24 00:00:00+00:00,0.2052
2024-12-25 00:00:00+00:00,0.2121
