date,ZRO/USDT
2025-03-17 00:00:00+00:00,2.428
2025-03-18 00:00:00+00:00,2.411
2025-03-19 00:00:00+00:00,2.52
2025-03-20 00:00:00+00:00,2.638
2025-03-21 00:00:00+00:00,3.193
2025-03-22 00:00:00+00:00,3.321
2025-03-23 00:00:00+00:00,2.864
2025-03-24 00:00:00+00:00,2.842
2025-03-25 00:00:00+00:00,3.033
2025-03-26 00:00:00+00:00,2.983
2025-03-27 00:00:00+00:00,3.131
2025-03-28 00:00:00+00:00,2.847
2025-03-29 00:00:00+00:00,2.549
2025-03-30 00:00:00+00:00,2.839
2025-03-31 00:00:00+00:00,2.81
2025-04-01 00:00:00+00:00,2.824
2025-04-02 00:00:00+00:00,2.718
2025-04-03 00:00:00+00:00,2.824
2025-04-04 00:00:00+00:00,3.041
2025-04-05 00:00:00+00:00,3.014
2025-04-06 00:00:00+00:00,2.521
2025-04-07 00:00:00+00:00,2.567
2025-04-08 00:00:00+00:00,2.268
2025-04-09 00:00:00+00:00,2.621
2025-04-10 00:00:00+00:00,2.411
2025-04-11 00:00:00+00:00,2.549
2025-04-12 00:00:00+00:00,2.656
2025-04-13 00:00:00+00:00,2.413
2025-04-14 00:00:00+00:00,2.488
2025-04-15 00:00:00+00:00,2.433
2025-04-16 00:00:00+00:00,2.368
2025-04-17 00:00:00+00:00,2.433
2025-04-18 00:00:00+00:00,2.409
2025-04-19 00:00:00+00:00,2.498
2025-04-20 00:00:00+00:00,2.567
2025-04-21 00:00:00+00:00,2.494
2025-04-22 00:00:00+00:00,2.699
2025-04-23 00:00:00+00:00,2.77
2025-04-24 00:00:00+00:00,2.799
2025-04-25 00:00:00+00:00,2.871
2025-04-26 00:00:00+00:00,2.981
2025-04-27 00:00:00+00:00,2.857
2025-04-28 00:00:00+00:00,2.995
2025-04-29 00:00:00+00:00,2.915
2025-04-30 00:00:00+00:00,2.782
2025-05-01 00:00:00+00:00,2.775
2025-05-02 00:00:00+00:00,2.72
2025-05-03 00:00:00+00:00,2.502
2025-05-04 00:00:00+00:00,2.447
2025-05-05 00:00:00+00:00,2.493
2025-05-06 00:00:00+00:00,2.442
2025-05-07 00:00:00+00:00,2.453
2025-05-08 00:00:00+00:00,2.72
2025-05-09 00:00:00+00:00,2.981
2025-05-10 00:00:00+00:00,3.111
2025-05-11 00:00:00+00:00,3.002
2025-05-12 00:00:00+00:00,3.029
2025-05-13 00:00:00+00:00,3.23
2025-05-14 00:00:00+00:00,3.126
2025-05-15 00:00:00+00:00,2.848
2025-05-16 00:00:00+00:00,2.721
2025-05-17 00:00:00+00:00,2.574
2025-05-18 00:00:00+00:00,2.73
2025-05-19 00:00:00+00:00,2.723
2025-05-20 00:00:00+00:00,2.698
2025-05-21 00:00:00+00:00,2.721
2025-05-22 00:00:00+00:00,2.949
2025-05-23 00:00:00+00:00,2.646
2025-05-24 00:00:00+00:00,2.669
2025-05-25 00:00:00+00:00,2.711
2025-05-26 00:00:00+00:00,2.703
2025-05-27 00:00:00+00:00,2.717
2025-05-28 00:00:00+00:00,2.706
2025-05-29 00:00:00+00:00,2.594
2025-05-30 00:00:00+00:00,2.238
2025-05-31 00:00:00+00:00,2.268
2025-06-01 00:00:00+00:00,2.331
2025-06-02 00:00:00+00:00,2.358
2025-06-03 00:00:00+00:00,2.318
2025-06-04 00:00:00+00:00,2.227
2025-06-05 00:00:00+00:00,2.092
2025-06-06 00:00:00+00:00,2.092
2025-06-07 00:00:00+00:00,2.14
2025-06-08 00:00:00+00:00,2.11
2025-06-09 00:00:00+00:00,2.19
2025-06-10 00:00:00+00:00,2.326
2025-06-11 00:00:00+00:00,2.237
2025-06-12 00:00:00+00:00,2.048
2025-06-13 00:00:00+00:00,2.002
2025-06-14 00:00:00+00:00,1.944
2025-06-15 00:00:00+00:00,1.952
2025-06-16 00:00:00+00:00,1.911
2025-06-17 00:00:00+00:00,1.816
2025-06-18 00:00:00+00:00,1.898
2025-06-19 00:00:00+00:00,1.819
2025-06-20 00:00:00+00:00,1.726
2025-06-21 00:00:00+00:00,1.632
2025-06-22 00:00:00+00:00,1.615
2025-06-23 00:00:00+00:00,1.794
2025-06-24 00:00:00+00:00,1.859
2025-06-25 00:00:00+00:00,1.786
2025-06-26 00:00:00+00:00,1.677
2025-06-27 00:00:00+00:00,1.751
2025-06-28 00:00:00+00:00,1.825
2025-06-29 00:00:00+00:00,1.998
2025-06-30 00:00:00+00:00,1.907
2025-07-01 00:00:00+00:00,1.845
2025-07-02 00:00:00+00:00,1.929
2025-07-03 00:00:00+00:00,1.916
2025-07-04 00:00:00+00:00,1.776
2025-07-05 00:00:00+00:00,1.779
2025-07-06 00:00:00+00:00,1.821
2025-07-07 00:00:00+00:00,1.789
2025-07-08 00:00:00+00:00,1.824
2025-07-09 00:00:00+00:00,1.905
2025-07-10 00:00:00+00:00,2.071
2025-07-11 00:00:00+00:00,2.143
2025-07-12 00:00:00+00:00,2.079
2025-07-13 00:00:00+00:00,2.146
2025-07-14 00:00:00+00:00,2.172
2025-07-15 00:00:00+00:00,2.209
2025-07-16 00:00:00+00:00,2.228
2025-07-17 00:00:00+00:00,2.249
2025-07-18 00:00:00+00:00,2.249
2025-07-19 00:00:00+00:00,2.244
2025-07-20 00:00:00+00:00,2.276
2025-07-21 00:00:00+00:00,2.359
2025-07-22 00:00:00+00:00,2.269
2025-07-23 00:00:00+00:00,2.003
2025-07-24 00:00:00+00:00,1.912
2025-07-25 00:00:00+00:00,1.963
2025-07-26 00:00:00+00:00,1.964
2025-07-27 00:00:00+00:00,2.018
2025-07-28 00:00:00+00:00,1.861
2025-07-29 00:00:00+00:00,1.842
2025-07-30 00:00:00+00:00,1.818
2025-07-31 00:00:00+00:00,1.726
2025-08-01 00:00:00+00:00,1.708
2025-08-02 00:00:00+00:00,1.682
2025-08-03 00:00:00+00:00,1.741
2025-08-04 00:00:00+00:00,1.815
2025-08-05 00:00:00+00:00,1.758
2025-08-06 00:00:00+00:00,1.8
2025-08-07 00:00:00+00:00,1.845
2025-08-08 00:00:00+00:00,1.863
2025-08-09 00:00:00+00:00,1.952
2025-08-10 00:00:00+00:00,2.225
2025-08-11 00:00:00+00:00,2.311
2025-08-12 00:00:00+00:00,2.275
2025-08-13 00:00:00+00:00,2.36
2025-08-14 00:00:00+00:00,2.107
2025-08-15 00:00:00+00:00,2.112
2025-08-16 00:00:00+00:00,2.098
2025-08-17 00:00:00+00:00,2.134
2025-08-18 00:00:00+00:00,2.029
2025-08-19 00:00:00+00:00,1.917
2025-08-20 00:00:00+00:00,2.013
2025-08-21 00:00:00+00:00,1.922
2025-08-22 00:00:00+00:00,2.09
2025-08-23 00:00:00+00:00,2.098
2025-08-24 00:00:00+00:00,2.101
2025-08-25 00:00:00+00:00,1.884
2025-08-26 00:00:00+00:00,1.959
2025-08-27 00:00:00+00:00,1.931
2025-08-28 00:00:00+00:00,2.016
2025-08-29 00:00:00+00:00,1.945
2025-08-30 00:00:00+00:00,1.945
2025-08-31 00:00:00+00:00,1.877
2025-09-01 00:00:00+00:00,1.816
2025-09-02 00:00:00+00:00,1.872
2025-09-03 00:00:00+00:00,1.892
2025-09-04 00:00:00+00:00,1.804
2025-09-05 00:00:00+00:00,1.834
2025-09-06 00:00:00+00:00,1.835
2025-09-07 00:00:00+00:00,1.883
2025-09-08 00:00:00+00:00,1.972
2025-09-09 00:00:00+00:00,1.982
2025-09-10 00:00:00+00:00,2.016
2025-09-11 00:00:00+00:00,2.031
2025-09-12 00:00:00+00:00,2.029
2025-09-13 00:00:00+00:00,2.08
2025-09-14 00:00:00+00:00,1.987
2025-09-15 00:00:00+00:00,1.886
2025-09-16 00:00:00+00:00,1.928
2025-09-17 00:00:00+00:00,1.998
2025-09-18 00:00:00+00:00,2.074
2025-09-19 00:00:00+00:00,1.975
2025-09-20 00:00:00+00:00,2.035
2025-09-21 00:00:00+00:00,1.99
2025-09-22 00:00:00+00:00,1.918
2025-09-23 00:00:00+00:00,2.069
2025-09-24 00:00:00+00:00,2.158
2025-09-25 00:00:00+00:00,2.152
2025-09-26 00:00:00+00:00,2.36
2025-09-27 00:00:00+00:00,2.287
2025-09-28 00:00:00+00:00,2.292
2025-09-29 00:00:00+00:00,2.257
2025-09-30 00:00:00+00:00,2.001
2025-10-01 00:00:00+00:00,2.175
2025-10-02 00:00:00+00:00,2.286
2025-10-03 00:00:00+00:00,2.417
2025-10-04 00:00:00+00:00,2.312
2025-10-05 00:00:00+00:00,2.275
2025-10-06 00:00:00+00:00,2.422
2025-10-07 00:00:00+00:00,2.419
2025-10-08 00:00:00+00:00,2.431
2025-10-09 00:00:00+00:00,2.275
2025-10-10 00:00:00+00:00,1.799
2025-10-11 00:00:00+00:00,1.729
2025-10-12 00:00:00+00:00,1.956
2025-10-13 00:00:00+00:00,2.036
2025-10-14 00:00:00+00:00,1.919
2025-10-15 00:00:00+00:00,1.847
2025-10-16 00:00:00+00:00,1.72
2025-10-17 00:00:00+00:00,1.702
2025-10-18 00:00:00+00:00,1.706
2025-10-19 00:00:00+00:00,1.703
2025-10-20 00:00:00+00:00,1.73
2025-10-21 00:00:00+00:00,1.661
2025-10-22 00:00:00+00:00,1.656
2025-10-23 00:00:00+00:00,1.711
2025-10-24 00:00:00+00:00,1.691
2025-10-25 00:00:00+00:00,1.722
2025-10-26 00:00:00+00:00,1.76
2025-10-27 00:00:00+00:00,1.692
2025-10-28 00:00:00+00:00,1.659
2025-10-29 00:00:00+00:00,1.637
2025-10-30 00:00:00+00:00,1.539
2025-10-31 00:00:00+00:00,1.547
2025-11-01 00:00:00+00:00,1.629
2025-11-02 00:00:00+00:00,1.648
2025-11-03 00:00:00+00:00,1.436
2025-11-04 00:00:00+00:00,1.406
2025-11-05 00:00:00+00:00,1.473
2025-11-06 00:00:00+00:00,1.561
2025-11-07 00:00:00+00:00,1.684
2025-11-08 00:00:00+00:00,1.642
2025-11-09 00:00:00+00:00,1.701
2025-11-10 00:00:00+00:00,1.618
2025-11-11 00:00:00+00:00,1.508
2025-11-12 00:00:00+00:00,1.535
2025-11-13 00:00:00+00:00,1.542
2025-11-14 00:00:00+00:00,1.454
2025-11-15 00:00:00+00:00,1.474
2025-11-16 00:00:00+00:00,1.433
2025-11-17 00:00:00+00:00,1.387
2025-11-18 00:00:00+00:00,1.433
2025-11-19 00:00:00+00:00,1.404
2025-11-20 00:00:00+00:00,1.341
2025-11-21 00:00:00+00:00,1.243
2025-11-22 00:00:00+00:00,1.264
2025-11-23 00:00:00+00:00,1.252
2025-11-24 00:00:00+00:00,1.307
2025-11-25 00:00:00+00:00,1.345
2025-11-26 00:00:00+00:00,1.316
2025-11-27 00:00:00+00:00,1.35
2025-11-28 00:00:00+00:00,1.358
2025-11-29 00:00:00+00:00,1.32
2025-11-30 00:00:00+00:00,1.352
2025-12-01 00:00:00+00:00,1.246
2025-12-02 00:00:00+00:00,1.429
2025-12-03 00:00:00+00:00,1.409
2025-12-04 00:00:00+00:00,1.398
2025-12-05 00:00:00+00:00,1.372
2025-12-06 00:00:00+00:00,1.4
2025-12-07 00:00:00+00:00,1.364
2025-12-08 00:00:00+00:00,1.38
2025-12-09 00:00:00+00:00,1.462
2025-12-10 00:00:00+00:00,1.477
2025-12-11 00:00:00+00:00,1.445
2025-12-12 00:00:00+00:00,1.476
2025-12-13 00:00:00+00:00,1.534
2025-12-14 00:00:00+00:00,1.469
2025-12-15 00:00:00+00:00,1.448
2025-12-16 00:00:00+00:00,1.417
2025-12-17 00:00:00+00:00,1.317
2025-12-18 00:00:00+00:00,1.258
2025-12-19 00:00:00+00:00,1.353
2025-12-20 00:00:00+00:00,1.341
2025-12-21 00:00:00+00:00,1.283
2025-12-22 00:00:00+00:00,1.307
2025-12-23 00:00:00+00:00,1.298
2025-12-24 00:00:00+00:00,1.272
2025-12-25 00:00:00+00:00,1.236
2025-12-26 00:00:00+00:00,1.245
2025-12-27 00:00:00+00:00,1.261
2025-12-28 00:00:00+00:00,1.246
2025-12-29 00:00:00+00:00,1.242
2025-12-30 00:00:00+00:00,1.249
2025-12-31 00:00:00+00:00,1.227
2026-01-01 00:00:00+00:00,1.285
2026-01-02 00:00:00+00:00,1.343
2026-01-03 00:00:00+00:00,1.335
2026-01-04 00:00:00+00:00,1.402
2026-01-05 00:00:00+00:00,1.422
2026-01-06 00:00:00+00:00,1.442
2026-01-07 00:00:00+00:00,1.41
2026-01-08 00:00:00+00:00,1.439
2026-01-09 00:00:00+00:00,1.444
2026-01-10 00:00:00+00:00,1.473
2026-01-11 00:00:00+00:00,1.486
2026-01-12 00:00:00+00:00,1.461
2026-01-13 00:00:00+00:00,1.589
2026-01-14 00:00:00+00:00,1.666
2026-01-15 00:00:00+00:00,1.634
2026-01-16 00:00:00+00:00,1.651
2026-01-17 00:00:00+00:00,1.761
2026-01-18 00:00:00+00:00,1.724
2026-01-19 00:00:00+00:00,1.771
2026-01-20 00:00:00+00:00,1.752
