,symbol,base,quote,quoteVolume,last,timestamp
0,ETH/USDT,ETH,USDT,1066359926.072508,3187.43,2026-01-20T00:49:08.569934+00:00
1,BTC/USDT,BTC,USDT,970918150.4126039,92654.19,2026-01-20T00:49:08.569889+00:00
2,SOL/USDT,SOL,USDT,245250002.18801,133.78,2026-01-20T00:49:08.570754+00:00
3,XRP/USDT,XRP,USDT,222728206.73321,1.9892,2026-01-20T00:49:08.569983+00:00
4,USD1/USDT,USD1,USDT,155086250.8632,0.9995,2026-01-20T00:49:08.572974+00:00
5,BNB/USDT,BNB,USDT,143390122.45135,929.84,2026-01-20T00:49:08.569943+00:00
6,DOGE/USDT,DOGE,USDT,97377968.62721,0.12884,2026-01-20T00:49:08.570441+00:00
7,BREV/USDT,BREV,USDT,93597956.84882,0.2684,2026-01-20T00:49:08.573391+00:00
8,ZEC/USDT,ZEC,USDT,85918149.70031,369.23,2026-01-20T00:49:08.570348+00:00
9,DASH/USDT,DASH,USDT,85204131.91754,75.41,2026-01-20T00:49:08.570365+00:00
10,DUSK/USDT,DUSK,USDT,84607920.275,0.2129,2026-01-20T00:49:08.570446+00:00
11,SUI/USDT,SUI,USDT,74615271.19958,1.5587,2026-01-20T00:49:08.572286+00:00
12,TRX/USDT,TRX,USDT,70805434.53465,0.3108,2026-01-20T00:49:08.570011+00:00
13,ADA/USDT,ADA,USDT,58004072.09398,0.369,2026-01-20T00:49:08.569977+00:00
14,ARPA/USDT,ARPA,USDT,46732849.213796,0.01876,2026-01-20T00:49:08.570592+00:00
15,ASTER/USDT,ASTER,USDT,46162165.03541,0.62,2026-01-20T00:49:08.573251+00:00
16,LTC/USDT,LTC,USDT,43344864.49637,70.97,2026-01-20T00:49:08.569961+00:00
17,ICP/USDT,ICP,USDT,42756753.50393,3.865,2026-01-20T00:49:08.571521+00:00
18,PEPE/USDT,PEPE,USDT,41024666.40356744,5.24e-06,2026-01-20T00:49:08.572300+00:00
19,PAXG/USDT,PAXG,USDT,39623388.147959,4679.55,2026-01-20T00:49:08.571009+00:00
20,ROSE/USDT,ROSE,USDT,34825943.000357,0.01839,2026-01-20T00:49:08.571261+00:00
21,币安人生/USDT,币安人生,USDT,34661599.62935,0.2083,2026-01-20T00:49:08.573401+00:00
22,NEAR/USDT,NEAR,USDT,29135655.9284,1.59,2026-01-20T00:49:08.571188+00:00
23,LINK/USDT,LINK,USDT,28023748.9984,12.87,2026-01-20T00:49:08.570062+00:00
24,FOGO/USDT,FOGO,USDT,26850033.92681,0.03015,2026-01-20T00:49:08.573424+00:00
25,ENA/USDT,ENA,USDT,26368293.517274,0.1932,2026-01-20T00:49:08.572531+00:00
26,AVAX/USDT,AVAX,USDT,24969974.1898,12.69,2026-01-20T00:49:08.571135+00:00
27,AXS/USDT,AXS,USDT,23142532.14167,1.784,2026-01-20T00:49:08.571235+00:00
28,ZEN/USDT,ZEN,USDT,22857629.26126,10.941,2026-01-20T00:49:08.570840+00:00
29,RESOLV/USDT,RESOLV,USDT,22397983.83716,0.1165,2026-01-20T00:49:08.572996+00:00
