,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,93015.0,1858241031492,1,1858241031492,40109437590.0,95468.0,92263.0,-2151.1512072876503,-2.26041,-42889752496.878174,-2.25601,19977803.0,19977803.0,21000000.0,126080.0,-26.22512,2025-10-06T18:57:42.558Z,67.81,137072.4765,2013-07-06T00:00:00.000Z,,2026-01-19T09:24:51.911Z
1,ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3209.2,387332638395,2,387332638395,26885554749.0,3364.25,3190.76,-107.91881604614719,-3.25339,-13228984022.70227,-3.30261,120694585.0611229,120694585.0611229,,4946.05,-35.11591,2025-08-24T19:21:03.333Z,0.432979,741090.55637,2015-10-20T00:00:00.000Z,"{'times': 45.120116801784356, 'currency': 'btc', 'percentage': 4512.011680178435}",2026-01-19T09:24:52.693Z
2,tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999502,186901758174,3,192365971391,78398327037.0,0.999702,0.999412,-0.000122593913485014,-0.01226,105274547.0,0.05636,186994926138.2123,192461863191.0862,,1.32,-24.4593,2018-07-24T00:00:00.000Z,0.572521,74.57446,2015-03-02T00:00:00.000Z,,2026-01-19T09:24:53.130Z
3,binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,925.3,126116181073,4,126116181073,1946727941.0,952.61,911.56,-20.53419599742051,-2.17101,-2866264637.061157,-2.22221,136361083.28,136361083.28,200000000.0,1369.99,-32.45926,2025-10-13T08:41:24.131Z,0.0398177,2323747.11767,2017-10-19T00:00:00.000Z,,2026-01-19T09:24:51.546Z
4,ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.97,120056446160,5,197467183893,3428242098.0,2.06,1.93,-0.08157269684112989,-3.96653,-4973927247.200027,-3.97818,60789498738.0,99985727631.0,100000000000.0,3.65,-45.83793,2025-07-18T03:40:53.808Z,0.00268621,73422.03163,2014-05-22T00:00:00.000Z,,2026-01-19T09:24:51.716Z
5,usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999704,75842886376,6,75871038854,6044948157.0,1.0,0.999481,-0.000212140131407912,-0.02122,-158492548.85856628,-0.20854,75857801661.67207,75885959675.8797,,1.17,-14.75232,2019-05-08T00:40:28.300Z,0.877647,13.90744,2023-03-11T08:02:13.981Z,,2026-01-19T09:24:53.659Z
6,solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,133.73,75611957698,7,82704319178,5458727478.0,142.92,132.89,-8.720672436848758,-6.12189,-4938815013.075165,-6.13131,565584811.313188,618636366.2789582,,293.31,-54.40688,2025-01-19T11:15:27.957Z,0.500801,26603.2262,2020-05-11T19:35:23.449Z,,2026-01-19T09:24:52.055Z
7,tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.315119,29861254004,8,29862151074,777070819.0,0.320419,0.315282,-0.000652843311082729,-0.20674,-37673157.94579697,-0.126,94706550857.05977,94709395963.40106,,0.431288,-26.93532,2024-12-04T00:10:40.323Z,0.00180434,17364.51163,2017-11-12T00:00:00.000Z,"{'times': 164.85234455126385, 'currency': 'usd', 'percentage': 16485.234455126385}",2026-01-19T09:24:53.156Z
8,staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3208.9,28941648491,9,28941648491,16796089.0,3363.8,3190.75,-107.18646722679296,-3.23232,-882078900.9053726,-2.95764,9019179.925862482,9019179.925862482,,4932.89,-34.96396,2025-08-24T19:21:31.902Z,482.9,564.35777,2020-12-22T04:08:21.854Z,,2026-01-19T09:24:51.872Z
9,dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.127636,21490874528,10,21491113208,1797516573.0,0.137749,0.125946,-0.009644847745892027,-7.02563,-1614658291.0225983,-6.98819,168376333126.5791,168378203126.579,,0.731578,-82.55334,2021-05-08T05:08:23.458Z,8.69e-05,146770.47106,2015-05-06T00:00:00.000Z,,2026-01-19T09:24:46.707Z
